crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_412E38,['crypt'],sub_40AF96,['WriteFile'],,,sub_40BC50,['CreateFile'],,
sub_414D1D,['crypt'],sub_40569B,['WriteFile'],,,sub_40BC82,['CreateFile'],,
sub_41496C,['crypt'],sub_40CED5,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41C232,['crypt'],sub_427815,['WriteFile'],,,sub_40CED5,['CreateFile'],,
sub_412A2B,['crypt'],,,,,,,,
sub_41B8BD,['crypt'],,,,,,,,
sub_41406A,['crypt'],,,,,,,,
sub_4174B2,['crypt'],,,,,,,,
sub_415426,['crypt'],,,,,,,,
sub_41B141,['crypt'],,,,,,,,
sub_414316,['crypt'],,,,,,,,
sub_41F262,['crypt'],,,,,,,,
sub_4161B9,['crypt'],,,,,,,,
sub_42881B,['crypt'],,,,,,,,
sub_42E287,['crypt'],,,,,,,,
sub_42D1CA,['crypt'],,,,,,,,
sub_42B70D,['crypt'],,,,,,,,
sub_42520A,['crypt'],,,,,,,,
sub_4204B4,['crypt'],,,,,,,,
sub_42F700,['crypt'],,,,,,,,
sub_4298A0,['crypt'],,,,,,,,
sub_425616,['crypt'],,,,,,,,
sub_422E11,['crypt'],,,,,,,,
sub_42430E,['crypt'],,,,,,,,
sub_41D6B0,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41CD07,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41673D,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41BF6A,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41F9D1,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
