crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_145BAF2F0,['crypt'],main,['WriteFile'],sub_14CAA8180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_145BAF470,['crypt'],sub_1491F7670,['WriteFile'],sub_14CAA8690,"['FindFirstFile', 'FindNextFile']",sub_14424E7FC,['CreateFile'],,
sub_145BAF550,['crypt'],,,sub_14CAA8BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_145BAF690,['crypt'],,,,,,,,
sub_145BAF7A0,['crypt'],,,,,,,,
sub_145BAFB00,['crypt'],,,,,,,,
sub_145BAFCD0,['crypt'],,,,,,,,
sub_145BAFF20,['crypt'],,,,,,,,
sub_14E672080,['crypt'],,,,,,,,
sub_14E672390,['crypt'],,,,,,,,
sub_14E672600,['crypt'],,,,,,,,
sub_14E6726D0,['crypt'],,,,,,,,
sub_14E672920,['crypt'],,,,,,,,
sub_14E672980,['crypt'],,,,,,,,
sub_14E672A70,['crypt'],,,,,,,,
sub_14E672C10,['crypt'],,,,,,,,
sub_14E672FD0,['crypt'],,,,,,,,
sub_142EE80A0,['crypt'],,,,,,,,
sub_142EE8140,['crypt'],,,,,,,,
sub_142EE8290,['crypt'],,,,,,,,
sub_142EE8460,['crypt'],,,,,,,,
sub_142EE8530,['crypt'],,,,,,,,
sub_142EE87D0,['crypt'],,,,,,,,
sub_1467E90C0,['crypt'],,,,,,,,
sub_1467E9A10,['crypt'],,,,,,,,
sub_1467E9B00,['crypt'],,,,,,,,
sub_1467E9C20,['crypt'],,,,,,,,
sub_1467E9D40,['crypt'],,,,,,,,
sub_140C2D440,['crypt'],,,,,,,,
sub_140C2D560,['crypt'],,,,,,,,
sub_140C2D8E0,['crypt'],,,,,,,,
sub_140C2DA70,['crypt'],,,,,,,,
sub_140C2DBF0,['crypt'],,,,,,,,
sub_140C2DC80,['crypt'],,,,,,,,
sub_140C2DE90,['crypt'],,,,,,,,
sub_140C2DFE0,['crypt'],,,,,,,,
sub_141DBC070,['crypt'],,,,,,,,
sub_141DBC1C0,['crypt'],,,,,,,,
sub_141DBC240,['crypt'],,,,,,,,
sub_141DBC2D0,['crypt'],,,,,,,,
sub_141DBC350,['crypt'],,,,,,,,
sub_141DBC650,['crypt'],,,,,,,,
sub_141DBCA60,['crypt'],,,,,,,,
sub_141DBCAB0,['crypt'],,,,,,,,
sub_141DBCB10,['crypt'],,,,,,,,
sub_141DBCBE0,['crypt'],,,,,,,,
sub_141DBCD20,['crypt'],,,,,,,,
sub_141DBCD80,['crypt'],,,,,,,,
sub_141DBCDD0,['crypt'],,,,,,,,
sub_141DBCE30,['crypt'],,,,,,,,
sub_14F26B010,['crypt'],,,,,,,,
sub_14F26B090,['crypt'],,,,,,,,
sub_14F26B0E0,['crypt'],,,,,,,,
sub_14F26B150,['crypt'],,,,,,,,
sub_14F26B1E0,['crypt'],,,,,,,,
sub_14F26B300,['crypt'],,,,,,,,
sub_14F26B380,['crypt'],,,,,,,,
sub_14F26B400,['crypt'],,,,,,,,
sub_14F26B480,['crypt'],,,,,,,,
sub_14F26B500,['crypt'],,,,,,,,
