crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40ABD2,"['crypt', 'Crypt']",sub_40326B,['WriteFile'],sub_403828,"['FindFirstFile', 'FindNextFile']",sub_40F199,['ReadFile'],sub_40C68B,['Snapshot']
sub_4015FD,"['crypt', 'Encrypt']",sub_40F199,['WriteFile'],sub_4015FD,['PathFindFileName'],sub_4015FD,['CreateFile'],sub_4015FD,['encrypted']
sub_4073C7,"['crypt', 'Encrypt']",sub_4015FD,['WriteFile'],sub_40E866,['PathFindFileName'],sub_4073C7,['CreateFile'],sub_4073C7,['encrypted']
sub_40B63B,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",sub_4073C7,['WriteFile'],sub_40200D,"['FindFirstFile', 'FindNextFile']",sub_408A52,['CreateFile'],sub_40DA46,['Snapshot']
sub_4018F6,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",sub_408A52,['WriteFile'],,,sub_41E9FC,['CreateFile'],,
sub_4058B3,Potential encryption or cryptographic hash function involving data content and multiple bitwise operations.,sub_40200D,"['MoveFile', 'DeleteFile']",,,,,,
sub_408201,"The function appears to perform complex bitwise operations and data manipulation consistent with cryptographic algorithms, potentially similar to hash functions or block ciphers.",sub_404E74,['MoveFile'],,,,,,
sub_404007,Potential encryption or modification of data content read into memory. The function involves multiple bitwise operations on data arrays and matches the general characteristics of a cryptographic function.,sub_415AC2,['WriteFile'],,,,,,
sub_40AF04,Potential encryption or modification of data content using values and operations that suggest structured transformation consistent with encryption algorithms.,sub_415273,['WriteFile'],,,,,,
sub_405C35,Potential encryption or modification of data content read into memory. The function involves XOR operations and uses lookup tables for modification.,,,,,,,,
sub_4034DC,Potential encryption function involving various bitwise operations and rotations.,,,,,,,,
sub_408BB9,"This function appears to be setting up tables and constants used in AES encryption, including S-box initialization and lookup tables common in block cipher algorithms.",,,,,,,,
sub_4109C3,This function appears to implement AES encryption operations using Intel's AES-NI instruction set.,,,,,,,,
sub_41A75C,This function appears to be performing AES encryption based on the usage of AES instructions such as aesenc and aesenclast.,,,,,,,,
