crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40EDAD,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_40EC59,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_405131,['RijnDael_AES_LONG'],sub_40E64C,['WriteFile'],sub_40E64C,"['FindFirstFile', 'FindNextFile']",sub_40EC59,['CreateFile'],,
Function,['crypt'],,,,,sub_40E64C,['CreateFile'],,
sub_408F6D,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_40C106,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_40CAD7,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_40DE39,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_406E5A,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_40F225,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
