crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40EC81,['Crypt'],sub_405B43,['WriteFile'],sub_40C2F1,"['FindFirstFile', 'FindNextFile']",sub_40BAAE,['CreateFile'],sub_40837F,['Snapshot']
sub_403A1F,['Crypt'],,,,,sub_40CDC8,['CreateFile'],,
sub_40619C,['Crypt'],,,,,sub_4034CB,['ReadFile'],,
sub_4099FC,['Crypt'],,,,,,,,
sub_40E4B5,['Crypt'],,,,,,,,
sub_40986E,['Crypt'],,,,,,,,
sub_40F611,['Crypt'],,,,,,,,
sub_40FD8F,['Crypt'],,,,,,,,
sub_400D23,['Crypt'],,,,,,,,
sub_409ECE,['Crypt'],,,,,,,,
sub_4096CC,['Crypt'],,,,,,,,
sub_40A923,['Crypt'],,,,,,,,
sub_400421,['Crypt'],,,,,,,,
sub_40BFA6,['Crypt'],,,,,,,,
sub_400ED6,['Crypt'],,,,,,,,
sub_40DCD7,['Crypt'],,,,,,,,
sub_40586B,['Crypt'],,,,,,,,
sub_405ECF,['Crypt'],,,,,,,,
sub_40D0BE,['Crypt'],,,,,,,,
sub_407B35,['Crypt'],,,,,,,,
sub_40FB80,['Crypt'],,,,,,,,
sub_40FDA5,['Crypt'],,,,,,,,
sub_4082C3,['Crypt'],,,,,,,,
sub_40C7EA,['Crypt'],,,,,,,,
sub_406266,['Crypt'],,,,,,,,
sub_40A043,['Crypt'],,,,,,,,
sub_408F70,['Crypt'],,,,,,,,
sub_40E4E6,['Crypt'],,,,,,,,
sub_40604F,['Crypt'],,,,,,,,
sub_4073B9,['Crypt'],,,,,,,,
sub_405AF5,['Crypt'],,,,,,,,
sub_408FD9,['Crypt'],,,,,,,,
sub_40F94C,['Crypt'],,,,,,,,
sub_405F66,['Crypt'],,,,,,,,
sub_409CEE,['Crypt'],,,,,,,,
sub_40C614,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40CCAB,['Crypt'],,,,,,,,
sub_403C44,['Crypt'],,,,,,,,
sub_4013C2,['Crypt'],,,,,,,,
sub_40BC5F,['Crypt'],,,,,,,,
sub_402AB4,['Crypt'],,,,,,,,
sub_407F9A,['Crypt'],,,,,,,,
sub_408CF4,['Crypt'],,,,,,,,
sub_4039B8,['Crypt'],,,,,,,,
sub_40D8BD,['Crypt'],,,,,,,,
sub_40D50A,['Crypt'],,,,,,,,
sub_4004F7,['Crypt'],,,,,,,,
sub_400D9E,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40115A,['Crypt'],,,,,,,,
sub_400EE8,['Crypt'],,,,,,,,
sub_405DC8,['Crypt'],,,,,,,,
sub_40A981,['Crypt'],,,,,,,,
sub_40C40F,['Crypt'],,,,,,,,
sub_40E25C,['Crypt'],,,,,,,,
sub_40DF5B,['Crypt'],,,,,,,,
sub_4011A1,['Crypt'],,,,,,,,
sub_40C49E,['Crypt'],,,,,,,,
sub_4097C8,['Crypt'],,,,,,,,
sub_401D74,['Crypt'],,,,,,,,
sub_405680,['Crypt'],,,,,,,,
sub_403D60,['Crypt'],,,,,,,,
sub_40380E,['Crypt'],,,,,,,,
sub_4042A6,['Crypt'],,,,,,,,
sub_40157E,['Crypt'],,,,,,,,
sub_40CA3A,['Crypt'],,,,,,,,
sub_406709,['Crypt'],,,,,,,,
sub_40CE8B,['Crypt'],,,,,,,,
sub_4041B1,['Crypt'],,,,,,,,
sub_40E244,['Crypt'],,,,,,,,
sub_40723C,['Crypt'],,,,,,,,
sub_407E8B,['Crypt'],,,,,,,,
sub_40E646,['Crypt'],,,,,,,,
sub_40A0EB,['Crypt'],,,,,,,,
sub_40C8D6,['Crypt'],,,,,,,,
sub_409B3E,['Crypt'],,,,,,,,
sub_408C4E,['Crypt'],,,,,,,,
sub_40E7D4,['Crypt'],,,,,,,,
sub_40EB23,['Crypt'],,,,,,,,
sub_4044B0,['Crypt'],,,,,,,,
sub_407E7D,['Crypt'],,,,,,,,
sub_40385E,['Crypt'],,,,,,,,
sub_40C1D1,['Crypt'],,,,,,,,
sub_4028E8,['Crypt'],,,,,,,,
sub_4009BC,['Crypt'],,,,,,,,
sub_40A2D4,['Crypt'],,,,,,,,
sub_402254,"['crypt', 'Crypt']",,,,,,,,
sub_4024C1,['Crypt'],,,,,,,,
sub_406227,['Crypt'],,,,,,,,
sub_406F3F,['Crypt'],,,,,,,,
sub_40A2C1,['Crypt'],,,,,,,,
sub_4068B1,['Crypt'],,,,,,,,
sub_402F1F,['Crypt'],,,,,,,,
sub_40DC06,['Crypt'],,,,,,,,
sub_40C1DD,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40497C,['Crypt'],,,,,,,,
sub_409957,['Crypt'],,,,,,,,
sub_400963,['Crypt'],,,,,,,,
sub_40E9CB,['Crypt'],,,,,,,,
sub_40AEAB,['Crypt'],,,,,,,,
sub_40C295,['Crypt'],,,,,,,,
sub_40CB81,['Crypt'],,,,,,,,
sub_40A0AB,['Crypt'],,,,,,,,
sub_403A76,['Crypt'],,,,,,,,
sub_40678E,['Crypt'],,,,,,,,
sub_406A35,['Crypt'],,,,,,,,
sub_4016A8,['Crypt'],,,,,,,,
sub_404A1D,['Crypt'],,,,,,,,
sub_40EF49,['Crypt'],,,,,,,,
sub_404AB0,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40A400,['Crypt'],,,,,,,,
sub_40229A,['Crypt'],,,,,,,,
sub_40FB60,['Crypt'],,,,,,,,
sub_40050B,['Crypt'],,,,,,,,
sub_40226A,['Crypt'],,,,,,,,
sub_409956,['Crypt'],,,,,,,,
sub_400973,['Crypt'],,,,,,,,
sub_40CDCD,['Crypt'],,,,,,,,
sub_405FE7,['Crypt'],,,,,,,,
sub_4016D0,['Crypt'],,,,,,,,
sub_40E8FE,['Crypt'],,,,,,,,
sub_40956A,['Crypt'],,,,,,,,
sub_4053D1,['Crypt'],,,,,,,,
sub_4085AF,['Crypt'],,,,,,,,
sub_4099DA,['Crypt'],,,,,,,,
sub_401540,['Crypt'],,,,,,,,
sub_403EF5,['Crypt'],,,,,,,,
sub_40712D,['Crypt'],,,,,,,,
sub_405540,['Crypt'],,,,,,,,
sub_40EE03,['Crypt'],,,,,,,,
sub_40B87D,['Crypt'],,,,,,,,
sub_40E1D8,['Crypt'],,,,,,,,
sub_406388,['Crypt'],,,,,,,,
sub_40076B,['Crypt'],,,,,,,,
sub_40E4BC,['Crypt'],,,,,,,,
sub_41A3C3,['Crypt'],,,,,,,,
sub_41DB61,['Crypt'],,,,,,,,
sub_41BE29,['Crypt'],,,,,,,,
sub_41B058,['Crypt'],,,,,,,,
sub_411BB1,['Crypt'],,,,,,,,
sub_41B4FD,['Crypt'],,,,,,,,
sub_413663,['Crypt'],,,,,,,,
sub_4191CE,['Crypt'],,,,,,,,
sub_416AB1,['Crypt'],,,,,,,,
sub_41D290,['Crypt'],,,,,,,,
sub_412E0F,['Crypt'],,,,,,,,
sub_411C96,['Crypt'],,,,,,,,
sub_41B751,['Crypt'],,,,,,,,
sub_4175A8,['Crypt'],,,,,,,,
sub_418C81,['Crypt'],,,,,,,,
sub_41321A,['Crypt'],,,,,,,,
sub_41A461,['Crypt'],,,,,,,,
sub_41B6A8,['Crypt'],,,,,,,,
sub_413975,['Crypt'],,,,,,,,
sub_416A41,['Crypt'],,,,,,,,
sub_412281,['Crypt'],,,,,,,,
sub_412834,['Crypt'],,,,,,,,
sub_41B21E,['Crypt'],,,,,,,,
sub_41BC57,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4118B6,['Crypt'],,,,,,,,
sub_41F9B8,['Crypt'],,,,,,,,
sub_41BEFE,['Crypt'],,,,,,,,
sub_41E308,['Crypt'],,,,,,,,
sub_418F7E,['Crypt'],,,,,,,,
sub_41C3D9,['Crypt'],,,,,,,,
sub_41E738,['Crypt'],,,,,,,,
sub_416C93,['Crypt'],,,,,,,,
sub_41B0DE,['Crypt'],,,,,,,,
sub_41BF6E,['Crypt'],,,,,,,,
sub_41C907,['Crypt'],,,,,,,,
sub_417051,['Crypt'],,,,,,,,
sub_41A208,['Crypt'],,,,,,,,
sub_41BF36,['Crypt'],,,,,,,,
sub_41AD78,"['Crypt', 'CryptAcquireContext']",,,,,,,,
sub_411359,['Crypt'],,,,,,,,
sub_415C6B,['Crypt'],,,,,,,,
sub_413D33,['Crypt'],,,,,,,,
sub_41317F,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_412F9A,['Crypt'],,,,,,,,
sub_412786,"['CryptGenRandom', 'Crypt']",,,,,,,,
sub_41931B,['Crypt'],,,,,,,,
sub_41BA71,['Crypt'],,,,,,,,
sub_41B36F,['RijnDael_AES_inv_LONG'],,,,,,,,
sub_41BA72,['RijnDael_AES_LONG'],,,,,,,,
sub_422E1E,['RijnDael_AES_LONG'],,,,,,,,
sub_427142,['Crypt'],,,,,,,,
sub_423342,['Crypt'],,,,,,,,
sub_4201A5,['Crypt'],,,,,,,,
sub_420049,['Crypt'],,,,,,,,
sub_4216A3,['Crypt'],,,,,,,,
sub_42519E,['Crypt'],,,,,,,,
sub_42CC71,['Crypt'],,,,,,,,
sub_42DBD0,['Crypt'],,,,,,,,
sub_42FEB4,['Crypt'],,,,,,,,
sub_42850A,['Crypt'],,,,,,,,
sub_4202A5,['Crypt'],,,,,,,,
sub_4235E0,['Crypt'],,,,,,,,
sub_42E8BA,['Crypt'],,,,,,,,
sub_42D2A1,['Crypt'],,,,,,,,
sub_429EA9,['Crypt'],,,,,,,,
sub_43C5F6,['advapi32.dll'],,,,,,,,
sub_46B435,['Crypt'],,,,,,,,
sub_4609FB,['Crypt'],,,,,,,,
sub_463660,['Crypt'],,,,,,,,
sub_463F46,['Crypt'],,,,,,,,
sub_463CA5,['Crypt'],,,,,,,,
sub_465EBD,['Crypt'],,,,,,,,
sub_468079,['Crypt'],,,,,,,,
sub_46DD3C,['Crypt'],,,,,,,,
sub_46386A,['Crypt'],,,,,,,,
sub_46495A,['Crypt'],,,,,,,,
sub_46316F,['Crypt'],,,,,,,,
sub_463727,['Crypt'],,,,,,,,
sub_46EC80,['Crypt'],,,,,,,,
sub_468707,['Crypt'],,,,,,,,
