crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_1459162F0,['crypt'],main,['WriteFile'],sub_141427180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_145916470,['crypt'],sub_148FD1670,['WriteFile'],sub_141427690,"['FindFirstFile', 'FindNextFile']",sub_14B7037FC,['CreateFile'],,
sub_145916550,['crypt'],,,sub_141427BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_145916690,['crypt'],,,,,,,,
sub_1459167A0,['crypt'],,,,,,,,
sub_145916B00,['crypt'],,,,,,,,
sub_145916CD0,['crypt'],,,,,,,,
sub_145916F20,['crypt'],,,,,,,,
sub_1482F6080,['crypt'],,,,,,,,
sub_1482F6390,['crypt'],,,,,,,,
sub_1482F6600,['crypt'],,,,,,,,
sub_1482F66D0,['crypt'],,,,,,,,
sub_1482F6920,['crypt'],,,,,,,,
sub_1482F6980,['crypt'],,,,,,,,
sub_1482F6A70,['crypt'],,,,,,,,
sub_1482F6C10,['crypt'],,,,,,,,
sub_1482F6FD0,['crypt'],,,,,,,,
sub_14F1970A0,['crypt'],,,,,,,,
sub_14F197140,['crypt'],,,,,,,,
sub_14F197290,['crypt'],,,,,,,,
sub_14F197460,['crypt'],,,,,,,,
sub_14F197530,['crypt'],,,,,,,,
sub_14F1977D0,['crypt'],,,,,,,,
sub_14949D0C0,['crypt'],,,,,,,,
sub_14949DA10,['crypt'],,,,,,,,
sub_14949DB00,['crypt'],,,,,,,,
sub_14949DC20,['crypt'],,,,,,,,
sub_14949DD40,['crypt'],,,,,,,,
sub_144C27440,['crypt'],,,,,,,,
sub_144C27560,['crypt'],,,,,,,,
sub_144C278E0,['crypt'],,,,,,,,
sub_144C27A70,['crypt'],,,,,,,,
sub_144C27BF0,['crypt'],,,,,,,,
sub_144C27C80,['crypt'],,,,,,,,
sub_144C27E90,['crypt'],,,,,,,,
sub_144C27FE0,['crypt'],,,,,,,,
sub_1473B0070,['crypt'],,,,,,,,
sub_1473B01C0,['crypt'],,,,,,,,
sub_1473B0240,['crypt'],,,,,,,,
sub_1473B02D0,['crypt'],,,,,,,,
sub_1473B0350,['crypt'],,,,,,,,
sub_1473B0650,['crypt'],,,,,,,,
sub_1473B0A60,['crypt'],,,,,,,,
sub_1473B0AB0,['crypt'],,,,,,,,
sub_1473B0B10,['crypt'],,,,,,,,
sub_1473B0BE0,['crypt'],,,,,,,,
sub_1473B0D20,['crypt'],,,,,,,,
sub_1473B0D80,['crypt'],,,,,,,,
sub_1473B0DD0,['crypt'],,,,,,,,
sub_1473B0E30,['crypt'],,,,,,,,
sub_140C71010,['crypt'],,,,,,,,
sub_140C71090,['crypt'],,,,,,,,
sub_140C710E0,['crypt'],,,,,,,,
sub_140C71150,['crypt'],,,,,,,,
sub_140C711E0,['crypt'],,,,,,,,
sub_140C71300,['crypt'],,,,,,,,
sub_140C71380,['crypt'],,,,,,,,
sub_140C71400,['crypt'],,,,,,,,
sub_140C71480,['crypt'],,,,,,,,
sub_140C71500,['crypt'],,,,,,,,
sub_140C71580,['crypt'],,,,,,,,
sub_140C71670,['crypt'],,,,,,,,
sub_140C71770,['crypt'],,,,,,,,
sub_140C717F0,['crypt'],,,,,,,,
sub_140C718F0,['crypt'],,,,,,,,
sub_140C719F0,['crypt'],,,,,,,,
sub_140C71A70,['crypt'],,,,,,,,
sub_140C71CC0,['crypt'],,,,,,,,
sub_148FD1A70,['crypt'],,,,,,,,
sub_143BC2E00,['crypt'],,,,,,,,
sub_143BC2F50,['crypt'],,,,,,,,
sub_1446BE3D0,['crypt'],,,,,,,,
sub_1446BE700,['crypt'],,,,,,,,
sub_1446BE890,['crypt'],,,,,,,,
sub_1446BE980,['crypt'],,,,,,,,
sub_1446BEA60,['crypt'],,,,,,,,
sub_1446BEC50,['crypt'],,,,,,,,
sub_1446BECE0,['crypt'],,,,,,,,
sub_1446BED20,['crypt'],,,,,,,,
sub_1446BED70,['crypt'],,,,,,,,
sub_14988E1E0,['crypt'],,,,,,,,
sub_14988E350,['crypt'],,,,,,,,
sub_14988E520,['crypt'],,,,,,,,
sub_14988E6E0,['crypt'],,,,,,,,
sub_14988E7B0,['crypt'],,,,,,,,
sub_14988E840,['crypt'],,,,,,,,
sub_146CCE200,['crypt'],,,,,,,,
sub_146CCE3B0,['crypt'],,,,,,,,
sub_146CCE9B0,['crypt'],,,,,,,,
sub_146CCEC40,['crypt'],,,,,,,,
sub_146CCECD0,['crypt'],,,,,,,,
sub_146CCED40,['crypt'],,,,,,,,
sub_14AEDD040,['crypt'],,,,,,,,
sub_14AEDD330,['crypt'],,,,,,,,
sub_14AEDD500,['crypt'],,,,,,,,
sub_14AEDD760,['crypt'],,,,,,,,
sub_14AEDD8D0,['crypt'],,,,,,,,
sub_14AEDDD30,['crypt'],,,,,,,,
sub_14AEDDEA0,['crypt'],,,,,,,,
sub_14AEDDF50,['crypt'],,,,,,,,
sub_1479C8000,['crypt'],,,,,,,,
sub_1479C80B0,['crypt'],,,,,,,,
sub_1479C81E0,['crypt'],,,,,,,,
sub_1479C8500,['crypt'],,,,,,,,
sub_1479C8970,['crypt'],,,,,,,,
sub_1479C8A90,['crypt'],,,,,,,,
sub_1479C8D60,['crypt'],,,,,,,,
sub_1479C8E80,['crypt'],,,,,,,,
sub_1479C8FE0,['crypt'],,,,,,,,
sub_148CAE1A0,['crypt'],,,,,,,,
sub_148CAE2C0,['crypt'],,,,,,,,
sub_148CAE430,['crypt'],,,,,,,,
sub_148CAEE50,['crypt'],,,,,,,,
sub_14E1CCAC0,['crypt'],,,,,,,,
sub_14E1CCDE0,['crypt'],,,,,,,,
sub_14FCFD030,['crypt'],,,,,,,,
sub_14FCFD0F0,['crypt'],,,,,,,,
sub_14FCFD1A0,['crypt'],,,,,,,,
sub_14B10C070,['crypt'],,,,,,,,
sub_14B10C450,['crypt'],,,,,,,,
sub_14B10CA80,['crypt'],,,,,,,,
sub_14CBD7EA0,['crypt'],,,,,,,,
sub_144ECA1E0,['crypt'],,,,,,,,
sub_144ECA380,['crypt'],,,,,,,,
sub_144ECA490,['crypt'],,,,,,,,
sub_144ECA9E0,['crypt'],,,,,,,,
sub_14CD134D0,['crypt'],,,,,,,,
sub_14CD13850,['crypt'],,,,,,,,
sub_14CD13930,['crypt'],,,,,,,,
sub_14CD13C70,['crypt'],,,,,,,,
sub_140354040,['Crypt'],,,,,,,,
sub_140354920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140354B70,['Crypt'],,,,,,,,
sub_140354ED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14E1275E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14E1276B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14E1278C0,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_14E127F20,['Crypt'],,,,,,,,
sub_144926120,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_144926520,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1449268A0,['Crypt'],,,,,,,,
sub_144926BF0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_144926F70,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_143D84000,"['crypt', 'Crypt']",,,,,,,,
sub_143D842D0,['Crypt'],,,,,,,,
sub_143D84A80,['crypt'],,,,,,,,
sub_143D84BB0,['crypt'],,,,,,,,
sub_143D84C10,['crypt'],,,,,,,,
sub_147305050,['crypt'],,,,,,,,
sub_1473050D0,['crypt'],,,,,,,,
sub_147305180,['crypt'],,,,,,,,
sub_1473052F0,['crypt'],,,,,,,,
sub_147305410,['crypt'],,,,,,,,
sub_147305540,['crypt'],,,,,,,,
sub_1473055E0,['crypt'],,,,,,,,
sub_147305710,['crypt'],,,,,,,,
sub_1473057A0,['crypt'],,,,,,,,
sub_147305FD0,['crypt'],,,,,,,,
sub_145439EA0,['crypt'],,,,,,,,
sub_145439F30,['crypt'],,,,,,,,
sub_1488A34B0,['crypt'],,,,,,,,
sub_1488A38F0,['crypt'],,,,,,,,
sub_1488A3B30,['crypt'],,,,,,,,
sub_1488A3C90,['crypt'],,,,,,,,
sub_1488A3E00,['crypt'],,,,,,,,
sub_141F62290,['crypt'],,,,,,,,
sub_141F624B0,['crypt'],,,,,,,,
sub_141F62570,['crypt'],,,,,,,,
sub_141F62640,['crypt'],,,,,,,,
sub_141F62740,['crypt'],,,,,,,,
sub_141F62980,['crypt'],,,,,,,,
sub_141F62C20,['crypt'],,,,,,,,
sub_141F62D80,['crypt'],,,,,,,,
sub_141F62E50,['crypt'],,,,,,,,
sub_14C0522B0,['crypt'],,,,,,,,
sub_14C052710,['crypt'],,,,,,,,
sub_14C052AE0,['crypt'],,,,,,,,
sub_1467FE260,['crypt'],,,,,,,,
sub_1467FE4D0,['crypt'],,,,,,,,
sub_1467FE690,['crypt'],,,,,,,,
sub_1467FE980,['crypt'],,,,,,,,
sub_1467FEB10,['crypt'],,,,,,,,
sub_1467FEB70,['crypt'],,,,,,,,
sub_1467FECA0,['crypt'],,,,,,,,
sub_1467FEE40,['crypt'],,,,,,,,
sub_1467FEEC0,['crypt'],,,,,,,,
sub_1417E7140,['crypt'],,,,,,,,
sub_1417E73C0,['crypt'],,,,,,,,
sub_1417E7430,['crypt'],,,,,,,,
sub_1417E7AB0,['crypt'],,,,,,,,
sub_1417E7C70,['crypt'],,,,,,,,
sub_1417E7E60,['crypt'],,,,,,,,
sub_14D94F110,['crypt'],,,,,,,,
sub_14D94FC10,['crypt'],,,,,,,,
sub_14D94FD20,['crypt'],,,,,,,,
sub_14F9FCA00,['crypt'],,,,,,,,
sub_14F9FCED0,['crypt'],,,,,,,,
sub_1477B0060,['crypt'],,,,,,,,
sub_1477B0440,['crypt'],,,,,,,,
sub_14662C080,['crypt'],,,,,,,,
sub_14662C150,['crypt'],,,,,,,,
sub_14662C580,['crypt'],,,,,,,,
sub_14662C5E0,['crypt'],,,,,,,,
sub_14662CA20,['crypt'],,,,,,,,
sub_14662CC70,['crypt'],,,,,,,,
sub_14662CE80,['crypt'],,,,,,,,
sub_14662CF60,['crypt'],,,,,,,,
sub_1423CA790,['crypt'],,,,,,,,
sub_1423CADC0,['crypt'],,,,,,,,
sub_1423CAE80,['crypt'],,,,,,,,
sub_146CCF1A0,['crypt'],,,,,,,,
sub_146CCF240,['crypt'],,,,,,,,
sub_146CCF2D0,['crypt'],,,,,,,,
sub_146CCF420,['crypt'],,,,,,,,
sub_146CCF4A0,['crypt'],,,,,,,,
sub_146CCF620,['crypt'],,,,,,,,
sub_146CCFC70,['crypt'],,,,,,,,
sub_146CCFD70,['crypt'],,,,,,,,
sub_14B45DB20,['crypt'],,,,,,,,
sub_14A3EA1D0,['crypt'],,,,,,,,
sub_14A3EA4C0,['crypt'],,,,,,,,
sub_14A3EA7E0,['crypt'],,,,,,,,
sub_14A3EAA70,['crypt'],,,,,,,,
sub_14A3EAD90,['crypt'],,,,,,,,
sub_14A3EADE0,['crypt'],,,,,,,,
sub_14A9F53B0,['crypt'],,,,,,,,
sub_14A9F5790,['crypt'],,,,,,,,
sub_14A9F5880,['crypt'],,,,,,,,
sub_14A9F5E40,['crypt'],,,,,,,,
sub_1463F2090,['crypt'],,,,,,,,
sub_1463F2450,['crypt'],,,,,,,,
sub_1463F2570,['crypt'],,,,,,,,
sub_1463F25D0,['crypt'],,,,,,,,
sub_1463F2720,['crypt'],,,,,,,,
sub_1463F2780,['crypt'],,,,,,,,
sub_1463F2B90,['crypt'],,,,,,,,
sub_1463F2EB0,['crypt'],,,,,,,,
sub_1466B4020,['crypt'],,,,,,,,
sub_1466B4160,['crypt'],,,,,,,,
sub_1466B42D0,['crypt'],,,,,,,,
sub_1466B4430,['crypt'],,,,,,,,
sub_1466B4640,['crypt'],,,,,,,,
sub_1466B4B30,['crypt'],,,,,,,,
sub_1466B4CF0,['crypt'],,,,,,,,
sub_1466B4FA0,['crypt'],,,,,,,,
sub_14D0C4460,['crypt'],,,,,,,,
