crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D06EE,['RijnDael_AES_LONG'],sub_408760,['WriteFile'],sub_408477,['FindFirstFile'],sub_42B904,['CreateFile'],,
sub_4DD6D4,['RijnDael_AES_inv_LONG'],sub_4087DD,['WriteFile'],sub_40576F,['FindFirstFile'],sub_42C030,['CreateFile'],,
sub_4DBFDC,['crypt'],sub_42CADD,['WriteFile'],sub_4D5DBB,['FindFirstFile'],sub_42EBED,['ReadFile'],,
sub_405209,['crypt'],sub_4266C3,['WriteFile'],sub_4D1B77,['FindFirstFile'],sub_4DF2B3,['CreateFile'],,
sub_4DD22D,['crypt'],sub_4DD22D,['WriteFile'],sub_4E960F,['FindFirstFile'],sub_4D5C49,"['CreateFile', 'ReadFile']",,
sub_4DB37A,['crypt'],sub_4DB37A,['WriteFile'],sub_4E78AB,['FindNextFile'],sub_405209,"['CreateFile', 'ReadFile']",,
sub_4DAD6B,['crypt'],sub_4E4232,['WriteFile'],,,sub_4DD22D,['CreateFile'],,
sub_4E78AB,['crypt'],sub_4EA62E,['WriteFile'],,,sub_4DB37A,['CreateFile'],,
sub_4DDE6A,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E8218,"['MoveFile', 'DeleteFile']",,,sub_4EF612,['CreateFile'],,
sub_4D525E,Function performing Base64 encoding on input data.,,,,,sub_4E4232,['ReadFile'],,
,,,,,,sub_4EA62E,['CreateFile'],,
,,,,,,sub_4E4CE6,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E231B,['CreateFile'],,
