crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D6A1B,['RijnDael_AES_LONG'],sub_40552E,['WriteFile'],sub_4012D2,['FindFirstFile'],sub_42F8F6,['CreateFile'],,
sub_4D5C49,['RijnDael_AES_inv_LONG'],sub_40AFE4,['WriteFile'],sub_40DD54,['FindFirstFile'],sub_42FE7E,['CreateFile'],,
sub_4D37DC,['crypt'],sub_426CD6,['WriteFile'],sub_4D3657,['FindFirstFile'],sub_42D0BB,['ReadFile'],,
sub_404CC5,['crypt'],sub_42C65A,['WriteFile'],sub_4D9F45,['FindFirstFile'],sub_4D43C3,['CreateFile'],,
sub_4DC528,['crypt'],sub_4DC528,['WriteFile'],sub_4EDDF2,['FindFirstFile'],sub_4DD00B,"['CreateFile', 'ReadFile']",,
sub_4D64C0,['crypt'],sub_4D64C0,['WriteFile'],sub_4E1935,['FindNextFile'],sub_404CC5,"['CreateFile', 'ReadFile']",,
sub_4D2B4F,['crypt'],sub_4E70E9,['WriteFile'],,,sub_4DC528,['CreateFile'],,
sub_4E1935,['crypt'],sub_4E397A,['WriteFile'],,,sub_4D64C0,['CreateFile'],,
sub_4D253A,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E5DCF,"['MoveFile', 'DeleteFile']",,,sub_4E1E9A,['CreateFile'],,
sub_4DF369,Function performing Base64 encoding on input data.,,,,,sub_4E70E9,['ReadFile'],,
,,,,,,sub_4E397A,['CreateFile'],,
,,,,,,sub_4E45E4,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E837F,['CreateFile'],,
