crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41CD95,['crypt'],sub_40B2E0,['WriteFile'],,,sub_4065D8,['CreateFile'],,
sub_412245,['crypt'],sub_408B4A,['WriteFile'],,,sub_408BBD,['CreateFile'],,
sub_416EDF,['crypt'],sub_40E109,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41F6DE,['crypt'],sub_42A91E,['WriteFile'],,,sub_40E109,['CreateFile'],,
sub_4140BD,['crypt'],,,,,,,,
sub_41F4E6,['crypt'],,,,,,,,
sub_41985C,['crypt'],,,,,,,,
sub_41810A,['crypt'],,,,,,,,
sub_415279,['crypt'],,,,,,,,
sub_4185AE,['crypt'],,,,,,,,
sub_4192C3,['crypt'],,,,,,,,
sub_418F4E,['crypt'],,,,,,,,
sub_4123D5,['crypt'],,,,,,,,
sub_42C67E,['crypt'],,,,,,,,
sub_42C5D7,['crypt'],,,,,,,,
sub_4285F7,['crypt'],,,,,,,,
sub_4281DB,['crypt'],,,,,,,,
sub_42D9B0,['crypt'],,,,,,,,
sub_42E33C,['crypt'],,,,,,,,
sub_42348A,['crypt'],,,,,,,,
sub_42A275,['crypt'],,,,,,,,
sub_4206E8,['crypt'],,,,,,,,
sub_4212A5,['crypt'],,,,,,,,
sub_421663,['crypt'],,,,,,,,
sub_416C5C,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_4143E5,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_4127EB,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_417E68,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41F60F,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
