crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40BBC5,['crypt'],sub_416348,['WriteFile'],sub_40FC78,"['FindFirstFile', 'FindNextFile']",,,sub_40BBC5,['encrypted']
sub_40BE7C,['crypt'],,,,,,,sub_4C07F2,['Snapshot']
sub_40A830,['crypt'],,,,,,,,
sub_402367,['crypt'],,,,,,,,
sub_405619,['crypt'],,,,,,,,
sub_40DE68,['crypt'],,,,,,,,
sub_40DDDC,['crypt'],,,,,,,,
sub_406592,['crypt'],,,,,,,,
sub_40A276,['crypt'],,,,,,,,
sub_40A3AF,['crypt'],,,,,,,,
sub_408CE3,['crypt'],,,,,,,,
sub_40FDC3,['crypt'],,,,,,,,
sub_40DDCD,['crypt'],,,,,,,,
sub_40D590,['crypt'],,,,,,,,
sub_40B8AD,['crypt'],,,,,,,,
sub_40C402,['crypt'],,,,,,,,
sub_401DB4,['crypt'],,,,,,,,
sub_40AA79,['crypt'],,,,,,,,
sub_40CB1A,['crypt'],,,,,,,,
sub_404B92,['crypt'],,,,,,,,
sub_406FE3,['crypt'],,,,,,,,
sub_402B04,['crypt'],,,,,,,,
sub_40BDC7,['crypt'],,,,,,,,
sub_40D1D0,['crypt'],,,,,,,,
sub_40FE3F,['crypt'],,,,,,,,
sub_41131C,['crypt'],,,,,,,,
sub_41DD38,['crypt'],,,,,,,,
sub_41AFDE,['crypt'],,,,,,,,
sub_41C759,['crypt'],,,,,,,,
sub_41277E,['crypt'],,,,,,,,
sub_41CA13,['crypt'],,,,,,,,
sub_414811,['crypt'],,,,,,,,
sub_412EEB,['crypt'],,,,,,,,
sub_41E6C8,['crypt'],,,,,,,,
sub_41973E,['crypt'],,,,,,,,
sub_415F2F,['crypt'],,,,,,,,
sub_4153F2,['crypt'],,,,,,,,
sub_412592,['crypt'],,,,,,,,
sub_4102E5,['crypt'],,,,,,,,
sub_41270F,['crypt'],,,,,,,,
sub_41A055,['crypt'],,,,,,,,
sub_419C98,['crypt'],,,,,,,,
sub_415D07,['crypt'],,,,,,,,
sub_41EE66,['crypt'],,,,,,,,
sub_417A00,['crypt'],,,,,,,,
sub_417042,['crypt'],,,,,,,,
sub_4162BF,['crypt'],,,,,,,,
sub_415E2E,['crypt'],,,,,,,,
sub_41D79A,['crypt'],,,,,,,,
sub_41BB47,['crypt'],,,,,,,,
sub_414C88,['crypt'],,,,,,,,
sub_413D1F,['crypt'],,,,,,,,
sub_419342,['crypt'],,,,,,,,
sub_41FE3A,['crypt'],,,,,,,,
sub_412F09,['crypt'],,,,,,,,
sub_413637,['crypt'],,,,,,,,
sub_412C0A,['crypt'],,,,,,,,
sub_41A733,['crypt'],,,,,,,,
sub_411C2C,['crypt'],,,,,,,,
sub_41232B,['crypt'],,,,,,,,
sub_41F394,['crypt'],,,,,,,,
sub_41C16C,['crypt'],,,,,,,,
sub_416458,['crypt'],,,,,,,,
sub_41B991,['crypt'],,,,,,,,
sub_415C8E,['crypt'],,,,,,,,
sub_41F7D4,['crypt'],,,,,,,,
sub_41B355,['crypt'],,,,,,,,
sub_4183AB,['crypt'],,,,,,,,
sub_41BE1C,['crypt'],,,,,,,,
sub_4168BA,['crypt'],,,,,,,,
sub_4115FE,['crypt'],,,,,,,,
sub_413122,['crypt'],,,,,,,,
sub_4138CB,['crypt'],,,,,,,,
sub_41AD1E,['crypt'],,,,,,,,
sub_418D95,['crypt'],,,,,,,,
sub_412DF5,['crypt'],,,,,,,,
sub_413AB5,['crypt'],,,,,,,,
sub_41BE96,['crypt'],,,,,,,,
sub_417ABE,['crypt'],,,,,,,,
sub_41476E,['crypt'],,,,,,,,
sub_414EB9,['crypt'],,,,,,,,
sub_414EF3,['crypt'],,,,,,,,
sub_419581,['crypt'],,,,,,,,
sub_41903B,['crypt'],,,,,,,,
sub_41B4BE,['crypt'],,,,,,,,
sub_417EB2,['crypt'],,,,,,,,
sub_4165FE,['crypt'],,,,,,,,
sub_415EA6,['crypt'],,,,,,,,
sub_419EBA,['crypt'],,,,,,,,
sub_412149,['crypt'],,,,,,,,
sub_4153B3,['crypt'],,,,,,,,
sub_41AF0F,['crypt'],,,,,,,,
sub_417A0F,['crypt'],,,,,,,,
sub_41BE5F,['crypt'],,,,,,,,
sub_415910,['crypt'],,,,,,,,
sub_4179D6,['crypt'],,,,,,,,
sub_4176D1,['crypt'],,,,,,,,
sub_41C69F,['crypt'],,,,,,,,
sub_4200D4,['crypt'],,,,,,,,
sub_4241CB,['crypt'],,,,,,,,
sub_42B394,['crypt'],,,,,,,,
sub_42F6D6,['crypt'],,,,,,,,
sub_429C87,['crypt'],,,,,,,,
sub_427990,['crypt'],,,,,,,,
sub_42AF57,['crypt'],,,,,,,,
sub_422FCB,['crypt'],,,,,,,,
sub_421D9E,['crypt'],,,,,,,,
sub_422DEA,['crypt'],,,,,,,,
sub_42ADC7,['crypt'],,,,,,,,
sub_422191,['crypt'],,,,,,,,
sub_42BDF5,['crypt'],,,,,,,,
sub_422DFD,['crypt'],,,,,,,,
sub_42F91A,['crypt'],,,,,,,,
sub_420B8E,['crypt'],,,,,,,,
sub_42C821,['crypt'],,,,,,,,
sub_427843,['crypt'],,,,,,,,
sub_425724,['crypt'],,,,,,,,
sub_42D3A0,['crypt'],,,,,,,,
sub_421BE1,['crypt'],,,,,,,,
sub_42ADC5,['crypt'],,,,,,,,
sub_421156,['crypt'],,,,,,,,
sub_42060F,['crypt'],,,,,,,,
sub_425E35,['crypt'],,,,,,,,
sub_42B042,['crypt'],,,,,,,,
sub_421793,['crypt'],,,,,,,,
sub_426436,['crypt'],,,,,,,,
sub_422B3D,['crypt'],,,,,,,,
sub_4277D7,['crypt'],,,,,,,,
sub_42CD11,['crypt'],,,,,,,,
sub_42ED4D,['crypt'],,,,,,,,
sub_426784,['crypt'],,,,,,,,
sub_42C9E0,['crypt'],,,,,,,,
sub_42D3E4,['crypt'],,,,,,,,
sub_42A857,['crypt'],,,,,,,,
sub_42F892,['crypt'],,,,,,,,
sub_429597,['crypt'],,,,,,,,
sub_42BAFC,['crypt'],,,,,,,,
sub_42A0B9,['crypt'],,,,,,,,
sub_42D3D7,['crypt'],,,,,,,,
sub_42F188,['crypt'],,,,,,,,
sub_42906B,['crypt'],,,,,,,,
sub_42AE02,['crypt'],,,,,,,,
sub_424522,['crypt'],,,,,,,,
sub_42B78F,['crypt'],,,,,,,,
sub_423C59,['crypt'],,,,,,,,
sub_42F018,['crypt'],,,,,,,,
sub_427129,['crypt'],,,,,,,,
sub_4288AB,['crypt'],,,,,,,,
sub_42A5AD,['crypt'],,,,,,,,
sub_42F400,['crypt'],,,,,,,,
sub_42CB60,['crypt'],,,,,,,,
sub_42A36D,['crypt'],,,,,,,,
sub_4266F8,['crypt'],,,,,,,,
sub_42DFDE,['crypt'],,,,,,,,
sub_426A29,['crypt'],,,,,,,,
sub_42BC4A,['crypt'],,,,,,,,
sub_4254A3,['crypt'],,,,,,,,
sub_42B949,['crypt'],,,,,,,,
sub_426712,['crypt'],,,,,,,,
sub_4244BA,['crypt'],,,,,,,,
sub_427CD8,['crypt'],,,,,,,,
sub_424BC8,['crypt'],,,,,,,,
sub_42F635,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",,,,,,,,
sub_42D60B,['crypt'],,,,,,,,
sub_42DC72,['crypt'],,,,,,,,
sub_42A879,['crypt'],,,,,,,,
sub_42EDF2,['crypt'],,,,,,,,
sub_42CB3C,['crypt'],,,,,,,,
sub_42049C,['crypt'],,,,,,,,
sub_422037,['crypt'],,,,,,,,
sub_42D274,['crypt'],,,,,,,,
sub_428EE4,['crypt'],,,,,,,,
sub_42DFAB,['crypt'],,,,,,,,
sub_42E131,['crypt'],,,,,,,,
sub_42E956,['crypt'],,,,,,,,
sub_428F34,['crypt'],,,,,,,,
sub_42B63C,['crypt'],,,,,,,,
sub_425A39,['crypt'],,,,,,,,
sub_4392FA,['crypt'],,,,,,,,
sub_437802,['crypt'],,,,,,,,
sub_43C3D7,['crypt'],,,,,,,,
sub_43102A,['crypt'],,,,,,,,
sub_43BB75,['crypt'],,,,,,,,
sub_43FD10,['crypt'],,,,,,,,
sub_43B4DB,['crypt'],,,,,,,,
sub_4391C2,['crypt'],,,,,,,,
sub_432994,['crypt'],,,,,,,,
sub_43605A,['crypt'],,,,,,,,
sub_434986,['crypt'],,,,,,,,
sub_43023D,['crypt'],,,,,,,,
sub_437AEE,['crypt'],,,,,,,,
sub_431C68,['crypt'],,,,,,,,
sub_4301F2,['crypt'],,,,,,,,
sub_43D3DB,['crypt'],,,,,,,,
sub_43179A,['crypt'],,,,,,,,
sub_43320C,['crypt'],,,,,,,,
sub_43ABEB,['crypt'],,,,,,,,
sub_43303D,['crypt'],,,,,,,,
sub_434E36,['crypt'],,,,,,,,
sub_432729,['crypt'],,,,,,,,
sub_43447D,['crypt'],,,,,,,,
sub_433FB0,['crypt'],,,,,,,,
sub_43065B,['crypt'],,,,,,,,
sub_4346D7,['crypt'],,,,,,,,
sub_43717E,['crypt'],,,,,,,,
sub_43EE64,['crypt'],,,,,,,,
sub_4366FA,['crypt'],,,,,,,,
sub_43AEE6,['crypt'],,,,,,,,
sub_431881,['crypt'],,,,,,,,
sub_43C255,['crypt'],,,,,,,,
sub_43D264,['crypt'],,,,,,,,
sub_435ECD,['crypt'],,,,,,,,
sub_4380A3,['crypt'],,,,,,,,
sub_43C667,['crypt'],,,,,,,,
sub_432E41,['crypt'],,,,,,,,
sub_4361E5,['crypt'],,,,,,,,
sub_439D14,['crypt'],,,,,,,,
sub_434FFE,['crypt'],,,,,,,,
sub_439715,['crypt'],,,,,,,,
sub_435F0F,['crypt'],,,,,,,,
sub_4393D1,['crypt'],,,,,,,,
sub_437984,['crypt'],,,,,,,,
sub_43F8A1,['crypt'],,,,,,,,
sub_4392C9,['crypt'],,,,,,,,
sub_43195F,['crypt'],,,,,,,,
sub_431ADB,['crypt'],,,,,,,,
sub_4361ED,['crypt'],,,,,,,,
sub_43C860,['crypt'],,,,,,,,
sub_4318BD,['crypt'],,,,,,,,
sub_43B844,['crypt'],,,,,,,,
