crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401EF9,['Crypt'],sub_40EFCA,['WriteFile'],sub_40D9BD,"['FindFirstFile', 'FindNextFile']",sub_4021C8,['CreateFile'],sub_40EFBC,['Snapshot']
sub_400AA3,['Crypt'],,,,,sub_4071F8,['CreateFile'],,
sub_402C25,['Crypt'],,,,,sub_40A503,['ReadFile'],,
sub_405C66,['Crypt'],,,,,,,,
sub_400311,['Crypt'],,,,,,,,
sub_40F70C,['Crypt'],,,,,,,,
sub_40EBE8,['Crypt'],,,,,,,,
sub_40BD01,['Crypt'],,,,,,,,
sub_4049D4,['Crypt'],,,,,,,,
sub_4096CB,['Crypt'],,,,,,,,
sub_40CD1E,['Crypt'],,,,,,,,
sub_40A089,['Crypt'],,,,,,,,
sub_40C3A9,['Crypt'],,,,,,,,
sub_4055D0,['Crypt'],,,,,,,,
sub_401AFB,['Crypt'],,,,,,,,
sub_4056DF,['Crypt'],,,,,,,,
sub_408E51,['Crypt'],,,,,,,,
sub_40E4F4,['Crypt'],,,,,,,,
sub_40DDC4,['Crypt'],,,,,,,,
sub_406057,['Crypt'],,,,,,,,
sub_409379,['Crypt'],,,,,,,,
sub_40C4AC,['Crypt'],,,,,,,,
sub_40D338,['Crypt'],,,,,,,,
sub_4003B8,['Crypt'],,,,,,,,
sub_405B85,['Crypt'],,,,,,,,
sub_406EBD,['Crypt'],,,,,,,,
sub_400747,['Crypt'],,,,,,,,
sub_407C00,['Crypt'],,,,,,,,
sub_407634,['Crypt'],,,,,,,,
sub_40B032,['Crypt'],,,,,,,,
sub_40C676,['Crypt'],,,,,,,,
sub_406A11,['Crypt'],,,,,,,,
sub_40F52F,['Crypt'],,,,,,,,
sub_403421,['Crypt'],,,,,,,,
sub_405F39,['Crypt'],,,,,,,,
sub_401699,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40BCD6,['Crypt'],,,,,,,,
sub_400C4D,['Crypt'],,,,,,,,
sub_40977F,['Crypt'],,,,,,,,
sub_4039A7,['Crypt'],,,,,,,,
sub_40AC68,['Crypt'],,,,,,,,
sub_402204,['Crypt'],,,,,,,,
sub_407FCA,['Crypt'],,,,,,,,
sub_40A8C9,['Crypt'],,,,,,,,
sub_40575C,['Crypt'],,,,,,,,
sub_40CC56,['Crypt'],,,,,,,,
sub_402BB0,['Crypt'],,,,,,,,
sub_40D296,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_400EB7,['Crypt'],,,,,,,,
sub_40376A,['Crypt'],,,,,,,,
sub_40A229,['Crypt'],,,,,,,,
sub_403537,['Crypt'],,,,,,,,
sub_40869D,['Crypt'],,,,,,,,
sub_409C2A,['Crypt'],,,,,,,,
sub_40D4CD,['Crypt'],,,,,,,,
sub_403E94,['Crypt'],,,,,,,,
sub_40CAE1,['Crypt'],,,,,,,,
sub_407C9F,['Crypt'],,,,,,,,
sub_405F50,['Crypt'],,,,,,,,
sub_40958A,['Crypt'],,,,,,,,
sub_4066B2,['Crypt'],,,,,,,,
sub_40D2C4,['Crypt'],,,,,,,,
sub_402902,['Crypt'],,,,,,,,
sub_401DA7,['Crypt'],,,,,,,,
sub_404BAF,['Crypt'],,,,,,,,
sub_405896,['Crypt'],,,,,,,,
sub_40D301,['Crypt'],,,,,,,,
sub_4094DA,['Crypt'],,,,,,,,
sub_40AA47,['Crypt'],,,,,,,,
sub_40FAC4,['Crypt'],,,,,,,,
sub_4053CD,['Crypt'],,,,,,,,
sub_40FC11,['Crypt'],,,,,,,,
sub_409B38,['Crypt'],,,,,,,,
sub_400391,['Crypt'],,,,,,,,
sub_40FFED,['Crypt'],,,,,,,,
sub_402D55,['Crypt'],,,,,,,,
sub_40E13B,['Crypt'],,,,,,,,
sub_409813,['Crypt'],,,,,,,,
sub_40BC1F,['Crypt'],,,,,,,,
sub_4087C2,['Crypt'],,,,,,,,
sub_401518,['Crypt'],,,,,,,,
sub_409874,['Crypt'],,,,,,,,
sub_407763,['Crypt'],,,,,,,,
sub_401731,['Crypt'],,,,,,,,
sub_40B681,['Crypt'],,,,,,,,
sub_40D9EF,"['crypt', 'Crypt']",,,,,,,,
sub_405958,['Crypt'],,,,,,,,
sub_400600,['Crypt'],,,,,,,,
sub_403FC8,['Crypt'],,,,,,,,
sub_402D62,['Crypt'],,,,,,,,
sub_40F494,['Crypt'],,,,,,,,
sub_40C4CA,['Crypt'],,,,,,,,
sub_400AA3,['Crypt'],,,,,,,,
sub_40618E,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40AFFE,['Crypt'],,,,,,,,
sub_407679,['Crypt'],,,,,,,,
sub_402DC7,['Crypt'],,,,,,,,
sub_40B454,['Crypt'],,,,,,,,
sub_4053BD,['Crypt'],,,,,,,,
sub_40671A,['Crypt'],,,,,,,,
sub_40990C,['Crypt'],,,,,,,,
sub_408314,['Crypt'],,,,,,,,
sub_406025,['Crypt'],,,,,,,,
sub_40920B,['Crypt'],,,,,,,,
sub_4040E0,['Crypt'],,,,,,,,
sub_404979,['Crypt'],,,,,,,,
sub_4049C3,['Crypt'],,,,,,,,
sub_40BD67,['Crypt'],,,,,,,,
sub_40A283,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40AD4E,['Crypt'],,,,,,,,
sub_4069B1,['Crypt'],,,,,,,,
sub_40ED17,['Crypt'],,,,,,,,
sub_405AA2,['Crypt'],,,,,,,,
sub_406270,['Crypt'],,,,,,,,
sub_40B7DB,['Crypt'],,,,,,,,
sub_409DB6,['Crypt'],,,,,,,,
sub_40E3C3,['Crypt'],,,,,,,,
sub_40040A,['Crypt'],,,,,,,,
sub_404B89,['Crypt'],,,,,,,,
sub_40C95B,['Crypt'],,,,,,,,
sub_401DD4,['Crypt'],,,,,,,,
sub_407695,['Crypt'],,,,,,,,
sub_408515,['Crypt'],,,,,,,,
sub_40B462,['Crypt'],,,,,,,,
sub_40BFD3,['Crypt'],,,,,,,,
