crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4186F6,['crypt'],sub_40D92F,['WriteFile'],,,sub_405403,['CreateFile'],,
sub_4113C7,['crypt'],sub_403DFF,['WriteFile'],,,sub_4018D2,['CreateFile'],,
sub_4125A5,['crypt'],sub_40F8A4,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41B5AF,['crypt'],sub_42CEBA,['WriteFile'],,,sub_40F8A4,['CreateFile'],,
sub_415F62,['crypt'],,,,,,,,
sub_415159,['crypt'],,,,,,,,
sub_41881B,['crypt'],,,,,,,,
sub_41BF2E,['crypt'],,,,,,,,
sub_4126A3,['crypt'],,,,,,,,
sub_418272,['crypt'],,,,,,,,
sub_41542F,['crypt'],,,,,,,,
sub_41029F,['crypt'],,,,,,,,
sub_411F6A,['crypt'],,,,,,,,
sub_428D77,['crypt'],,,,,,,,
sub_42D9D6,['crypt'],,,,,,,,
sub_422CE2,['crypt'],,,,,,,,
sub_42C922,['crypt'],,,,,,,,
sub_424E6E,['crypt'],,,,,,,,
sub_422474,['crypt'],,,,,,,,
sub_42E3E1,['crypt'],,,,,,,,
sub_426946,['crypt'],,,,,,,,
sub_42C3E9,['crypt'],,,,,,,,
sub_42D556,['crypt'],,,,,,,,
sub_427C60,['crypt'],,,,,,,,
sub_4183CF,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41F201,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_4168B8,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41BB12,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41C5BC,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
