crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
start,"['crypt', 'Encrypt']",sub_406B79,['WriteFile'],sub_404540,"['FindFirstFile', 'FindNextFile']",sub_406B79,['CreateFile'],,
sub_40ED7C,"['crypt', 'crypt32.dll', 'Crypt', 'CryptStringToBinary']",sub_40DF4B,"['MoveFile', 'WriteFile']",,,sub_40DF4B,"['CreateFile', 'ReadFile']",,
sub_40DF4B,"['CryptGenRandom', 'crypt', 'Crypt', 'bcrypt.dll']",sub_404540,['WriteFile'],,,sub_404540,['CreateFile'],,
sub_404540,"['crypt', 'Encrypt']",,,,,,,,
sub_400FFB,Potential encryption or modification of data content read into memory. Includes bit-shifting and logical operations which are characteristic of encryption algorithms.,,,,,,,,
sub_407134,"The function 'sub_407134' appears to implement a symmetric encryption or pseudorandom transformation, as it involves multiple bitwise rotations and XOR operations applied to its input data.",,,,,,,,
sub_406617,"The function involves bitwise rotations and XOR operations that modify the content read into memory, indicative of a potential encryption or data scrambling algorithm.",,,,,,,,
sub_40B929,"Potential encryption or modification of data content in memory, possibly using a block cipher or XOR-based stream cipher given the use of look-up and bitwise operations.",,,,,,,,
sub_403689,Potential encryption or modification of data content using a series of transformations that resembles a block cipher operation.,,,,,,,,
sub_40920E,Potential encryption function with bitwise operations and data processing.,,,,,,,,
sub_40F2BB,"Potential encryption or modification of data content read into memory, involving bitwise operations and vectorized processing.",,,,,,,,
sub_40A305,"Potential encryption or modification of data content read into memory. The function incorporates bitwise operations, shifts, and complex logic suggesting content modification typically found in encryption algorithms.",,,,,,,,
