crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40EA69,['Crypt'],sub_40618C,['WriteFile'],sub_40E3D8,"['FindFirstFile', 'FindNextFile']",sub_40EDA7,['CreateFile'],sub_40D725,['Snapshot']
sub_406399,['Crypt'],,,,,sub_4057DE,['CreateFile'],,
sub_403E56,['Crypt'],,,,,sub_40495E,['ReadFile'],,
sub_40EEB9,['Crypt'],,,,,,,,
sub_40E841,['Crypt'],,,,,,,,
sub_40EC8D,['Crypt'],,,,,,,,
sub_40B5BB,['Crypt'],,,,,,,,
sub_40DA5A,['Crypt'],,,,,,,,
sub_403C81,['Crypt'],,,,,,,,
sub_4055B1,['Crypt'],,,,,,,,
sub_40854F,['Crypt'],,,,,,,,
sub_40A221,['Crypt'],,,,,,,,
sub_404AFA,['Crypt'],,,,,,,,
sub_4084BF,['Crypt'],,,,,,,,
sub_405211,['Crypt'],,,,,,,,
sub_4047E0,['Crypt'],,,,,,,,
sub_403F61,['Crypt'],,,,,,,,
sub_405D65,['Crypt'],,,,,,,,
sub_408BD1,['Crypt'],,,,,,,,
sub_40167C,['Crypt'],,,,,,,,
sub_400D26,['Crypt'],,,,,,,,
sub_403202,['Crypt'],,,,,,,,
sub_407319,['Crypt'],,,,,,,,
sub_40DCE2,['Crypt'],,,,,,,,
sub_404950,['Crypt'],,,,,,,,
sub_40952F,['Crypt'],,,,,,,,
sub_40DD8A,['Crypt'],,,,,,,,
sub_406998,['Crypt'],,,,,,,,
sub_40CE89,['Crypt'],,,,,,,,
sub_40497D,['Crypt'],,,,,,,,
sub_40DA49,['Crypt'],,,,,,,,
sub_4060CD,['Crypt'],,,,,,,,
sub_40F503,['Crypt'],,,,,,,,
sub_4041C8,['Crypt'],,,,,,,,
sub_402CB5,['Crypt'],,,,,,,,
sub_40647D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4057A5,['Crypt'],,,,,,,,
sub_409D5A,['Crypt'],,,,,,,,
sub_40E937,['Crypt'],,,,,,,,
sub_4014B7,['Crypt'],,,,,,,,
sub_407D9F,['Crypt'],,,,,,,,
sub_4076CA,['Crypt'],,,,,,,,
sub_404E2C,['Crypt'],,,,,,,,
sub_40B66E,['Crypt'],,,,,,,,
sub_40B25A,['Crypt'],,,,,,,,
sub_404858,['Crypt'],,,,,,,,
sub_400CE3,['Crypt'],,,,,,,,
sub_40407F,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4059A6,['Crypt'],,,,,,,,
sub_409FF2,['Crypt'],,,,,,,,
sub_4092D8,['Crypt'],,,,,,,,
sub_40ED6F,['Crypt'],,,,,,,,
sub_40929F,['Crypt'],,,,,,,,
sub_406180,['Crypt'],,,,,,,,
sub_4042F3,['Crypt'],,,,,,,,
sub_407826,['Crypt'],,,,,,,,
sub_409262,['Crypt'],,,,,,,,
sub_40491D,['Crypt'],,,,,,,,
sub_40A26A,['Crypt'],,,,,,,,
sub_409E3D,['Crypt'],,,,,,,,
sub_40FE0A,['Crypt'],,,,,,,,
sub_40F8BA,['Crypt'],,,,,,,,
