crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4099C8,['Crypt'],,,sub_40BA0C,"['FindFirstFile', 'FindNextFile']",,,sub_409242,['Snapshot']
sub_4016AA,['Crypt'],,,sub_40184C,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_406459,['Crypt'],,,sub_407B3E,"['FindFirstFile', 'FindNextFile']",,,sub_45948E,['encrypted']
sub_402CF4,['Crypt'],,,sub_4060A9,"['FindFirstFile', 'FindNextFile']",,,,
sub_40B1C0,['Crypt'],,,sub_40761D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C0DB,['Crypt'],,,sub_4006D5,"['FindFirstFile', 'FindNextFile']",,,,
sub_402BBC,['Crypt'],,,sub_408093,"['FindFirstFile', 'FindNextFile']",,,,
sub_4014C5,['Crypt'],,,sub_419DCA,"['FindFirstFile', 'FindNextFile']",,,,
sub_4075DB,['Crypt'],,,sub_410852,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C570,['Crypt'],,,sub_41C649,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F39C,['Crypt'],,,,,,,,
sub_400904,['Crypt'],,,,,,,,
sub_401FFA,['Crypt'],,,,,,,,
sub_402529,['Crypt'],,,,,,,,
sub_40E0EA,['Crypt'],,,,,,,,
sub_40BDAC,['Crypt'],,,,,,,,
sub_40E474,['Crypt'],,,,,,,,
sub_405536,['Crypt'],,,,,,,,
sub_40C7D0,['Crypt'],,,,,,,,
sub_402FA2,['Crypt'],,,,,,,,
sub_40FBB9,['Crypt'],,,,,,,,
sub_40C060,['Crypt'],,,,,,,,
sub_400B75,['Crypt'],,,,,,,,
sub_40C521,['Crypt'],,,,,,,,
sub_408CB8,['Crypt'],,,,,,,,
sub_402D16,['Crypt'],,,,,,,,
sub_40B1C3,['Crypt'],,,,,,,,
sub_4067DC,['Crypt'],,,,,,,,
sub_402828,['Crypt'],,,,,,,,
sub_40AFF9,['Crypt'],,,,,,,,
sub_4080FA,['Crypt'],,,,,,,,
sub_40F79A,['Crypt'],,,,,,,,
sub_40763B,['Crypt'],,,,,,,,
sub_40C0B3,['Crypt'],,,,,,,,
sub_40C493,['Crypt'],,,,,,,,
sub_40C1E5,['Crypt'],,,,,,,,
sub_40E906,['Crypt'],,,,,,,,
sub_40AF65,['Crypt'],,,,,,,,
sub_4099C9,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_407F8F,['Crypt'],,,,,,,,
sub_409163,['Crypt'],,,,,,,,
sub_408041,['Crypt'],,,,,,,,
sub_40DB99,['Crypt'],,,,,,,,
sub_40354D,['Crypt'],,,,,,,,
sub_40473F,['Crypt'],,,,,,,,
sub_40A4C0,['Crypt'],,,,,,,,
sub_408FEF,['Crypt'],,,,,,,,
sub_40AC8A,['Crypt'],,,,,,,,
sub_409531,['Crypt'],,,,,,,,
sub_40189A,['Crypt'],,,,,,,,
sub_4064DE,['Crypt'],,,,,,,,
sub_40B61E,['Crypt'],,,,,,,,
sub_408D12,['Crypt'],,,,,,,,
sub_40D5AD,['Crypt'],,,,,,,,
sub_4091BE,['Crypt'],,,,,,,,
sub_407156,['Crypt'],,,,,,,,
sub_405E78,['Crypt'],,,,,,,,
sub_407B24,['Crypt'],,,,,,,,
sub_40E495,['Crypt'],,,,,,,,
sub_404A1B,['Crypt'],,,,,,,,
sub_4088F3,['Crypt'],,,,,,,,
sub_40D615,['Crypt'],,,,,,,,
sub_406519,['Crypt'],,,,,,,,
sub_40EB41,['Crypt'],,,,,,,,
sub_40DC61,['Crypt'],,,,,,,,
sub_40A0A1,['Crypt'],,,,,,,,
sub_405420,['Crypt'],,,,,,,,
sub_4065F4,['Crypt'],,,,,,,,
sub_408951,['Crypt'],,,,,,,,
sub_40BA0C,['crypt'],,,,,,,,
sub_419DCA,['crypt'],,,,,,,,
sub_410852,['crypt'],,,,,,,,
sub_4138EB,['Crypt'],,,,,,,,
sub_4145C2,['Crypt'],,,,,,,,
sub_416D03,['Crypt'],,,,,,,,
sub_413BB1,['Crypt'],,,,,,,,
sub_41725B,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_41BBA8,['Crypt'],,,,,,,,
sub_41537D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41169A,['Crypt'],,,,,,,,
sub_41FA0F,['Crypt'],,,,,,,,
sub_416F45,['Crypt'],,,,,,,,
sub_41283E,['Crypt'],,,,,,,,
sub_41862E,['Crypt'],,,,,,,,
sub_41396A,['Crypt'],,,,,,,,
sub_41568C,['Crypt'],,,,,,,,
sub_415F49,['Crypt'],,,,,,,,
sub_416064,['Crypt'],,,,,,,,
sub_418D92,['Crypt'],,,,,,,,
sub_41E7FD,['Crypt'],,,,,,,,
sub_41327C,['Crypt'],,,,,,,,
sub_41DFFB,['Crypt'],,,,,,,,
sub_4125A5,['Crypt'],,,,,,,,
sub_417173,['Crypt'],,,,,,,,
sub_417565,['Crypt'],,,,,,,,
sub_415CDE,['Crypt'],,,,,,,,
sub_412FC6,['Crypt'],,,,,,,,
sub_4128D0,['Crypt'],,,,,,,,
sub_41E6B0,['Crypt'],,,,,,,,
sub_4113D3,['Crypt'],,,,,,,,
sub_412D71,['Crypt'],,,,,,,,
sub_41F2ED,['Crypt'],,,,,,,,
sub_413C5B,['Crypt'],,,,,,,,
sub_417A13,['Crypt'],,,,,,,,
sub_42D446,['Crypt'],,,,,,,,
sub_42104D,['Crypt'],,,,,,,,
sub_427327,['Crypt'],,,,,,,,
sub_425741,['Crypt'],,,,,,,,
sub_42C1C9,['Crypt'],,,,,,,,
sub_42FCD5,['Crypt'],,,,,,,,
sub_42DECD,['Crypt'],,,,,,,,
sub_42152F,['Crypt'],,,,,,,,
sub_42D35D,['Crypt'],,,,,,,,
sub_426F0D,['Crypt'],,,,,,,,
sub_4261B2,['Crypt'],,,,,,,,
sub_4255AF,['Crypt'],,,,,,,,
sub_42B14B,['Crypt'],,,,,,,,
sub_430B3A,['Crypt'],,,,,,,,
sub_433488,['Crypt'],,,,,,,,
sub_4385D1,['Crypt'],,,,,,,,
sub_43CF43,['Crypt'],,,,,,,,
sub_43B717,['Crypt'],,,,,,,,
sub_43AB47,['Crypt'],,,,,,,,
sub_43BCAB,['Crypt'],,,,,,,,
sub_43435E,['Crypt'],,,,,,,,
sub_43D6A1,['Crypt'],,,,,,,,
sub_43EDB3,['Crypt'],,,,,,,,
sub_43CBF7,['Crypt'],,,,,,,,
sub_43F762,['Crypt'],,,,,,,,
sub_43BFAA,['Crypt'],,,,,,,,
sub_43D1C4,['Crypt'],,,,,,,,
sub_434C9D,['Crypt'],,,,,,,,
sub_43A6A6,['Crypt'],,,,,,,,
sub_436F8E,['Crypt'],,,,,,,,
sub_439CFA,['Crypt'],,,,,,,,
sub_43CCC9,['Crypt'],,,,,,,,
sub_439B99,['Crypt'],,,,,,,,
sub_43F23F,['Crypt'],,,,,,,,
sub_436E30,"['crypt', 'Crypt']",,,,,,,,
sub_438662,['Crypt'],,,,,,,,
sub_4313C8,['Crypt'],,,,,,,,
sub_4364EA,['Crypt'],,,,,,,,
sub_433909,['Crypt'],,,,,,,,
sub_4373C0,['Crypt'],,,,,,,,
sub_434B4A,['Crypt'],,,,,,,,
sub_43066C,['Crypt'],,,,,,,,
sub_431CBA,['Crypt'],,,,,,,,
sub_43D3B1,['Crypt'],,,,,,,,
sub_4312FF,['Crypt'],,,,,,,,
sub_43FB30,['Crypt'],,,,,,,,
sub_43A3E2,['Crypt'],,,,,,,,
sub_4317E2,['Crypt'],,,,,,,,
sub_43F8C8,['Crypt'],,,,,,,,
sub_43874E,['Crypt'],,,,,,,,
sub_43F2BD,['Crypt'],,,,,,,,
sub_4377FC,['Crypt'],,,,,,,,
sub_4344B0,['Crypt'],,,,,,,,
sub_438A58,['Crypt'],,,,,,,,
sub_430FFD,"['crypt', 'Crypt']",,,,,,,,
sub_435E9D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_43CE79,['Crypt'],,,,,,,,
sub_43B21F,['Crypt'],,,,,,,,
sub_437A18,['Crypt'],,,,,,,,
sub_4346D6,['Crypt'],,,,,,,,
sub_4300F7,['Crypt'],,,,,,,,
sub_4322F7,['Crypt'],,,,,,,,
sub_432F29,['Crypt'],,,,,,,,
sub_43F87B,['Crypt'],,,,,,,,
sub_43800C,"['crypt', 'Crypt']",,,,,,,,
sub_434BA6,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_43504C,['Crypt'],,,,,,,,
sub_436955,['Crypt'],,,,,,,,
sub_43875F,['Crypt'],,,,,,,,
sub_43F98A,['Crypt'],,,,,,,,
sub_432EE2,['Crypt'],,,,,,,,
sub_43A0EB,['Crypt'],,,,,,,,
sub_4370C2,['Crypt'],,,,,,,,
sub_434968,['Crypt'],,,,,,,,
sub_431C0C,['Crypt'],,,,,,,,
sub_43D7DF,['Crypt'],,,,,,,,
sub_437046,['Crypt'],,,,,,,,
sub_43DB26,['Crypt'],,,,,,,,
sub_43F26C,['Crypt'],,,,,,,,
sub_43202E,['Crypt'],,,,,,,,
sub_43D681,['Crypt'],,,,,,,,
sub_43080D,['Crypt'],,,,,,,,
sub_43F536,['Crypt'],,,,,,,,
sub_4348AD,['Crypt'],,,,,,,,
sub_4355E5,['Crypt'],,,,,,,,
sub_43ECAB,['Crypt'],,,,,,,,
sub_432B1B,['Crypt'],,,,,,,,
sub_43E744,['Crypt'],,,,,,,,
sub_43FEE8,['Crypt'],,,,,,,,
sub_4369B8,['Crypt'],,,,,,,,
sub_433915,['Crypt'],,,,,,,,
sub_437AD5,['Crypt'],,,,,,,,
sub_43DA04,['Crypt'],,,,,,,,
sub_43452C,['Crypt'],,,,,,,,
sub_4337BF,['Crypt'],,,,,,,,
sub_4314DC,['Crypt'],,,,,,,,
sub_438B2A,['Crypt'],,,,,,,,
sub_43B977,['Crypt'],,,,,,,,
sub_43A7F5,['Crypt'],,,,,,,,
sub_431988,['Crypt'],,,,,,,,
sub_430A5A,['Crypt'],,,,,,,,
sub_43B12A,['Crypt'],,,,,,,,
sub_43F993,['Crypt'],,,,,,,,
sub_43F2E2,['Crypt'],,,,,,,,
sub_4377F9,['Crypt'],,,,,,,,
sub_43320E,['Crypt'],,,,,,,,
sub_43BCE0,['Crypt'],,,,,,,,
sub_434597,['Crypt'],,,,,,,,
sub_43B49B,['Crypt'],,,,,,,,
sub_433AAD,['Crypt'],,,,,,,,
sub_43EE87,['Crypt'],,,,,,,,
sub_449BF5,['Crypt'],,,,,,,,
sub_44EA04,['Crypt'],,,,,,,,
sub_44E8EE,['Crypt'],,,,,,,,
sub_449BD3,['Crypt'],,,,,,,,
sub_448108,['Crypt'],,,,,,,,
sub_448E08,['Crypt'],,,,,,,,
sub_44CAAF,['Crypt'],,,,,,,,
sub_440E44,['Crypt'],,,,,,,,
sub_44532A,['Crypt'],,,,,,,,
sub_44C983,['Crypt'],,,,,,,,
sub_4412ED,['Crypt'],,,,,,,,
sub_44786B,['Crypt'],,,,,,,,
sub_44C227,['Crypt'],,,,,,,,
sub_44C602,['Crypt'],,,,,,,,
sub_44A6C2,['Crypt'],,,,,,,,
sub_44F155,['Crypt'],,,,,,,,
sub_444678,['Crypt'],,,,,,,,
sub_440C50,['Crypt'],,,,,,,,
sub_4411DC,['Crypt'],,,,,,,,
sub_444EB9,['Crypt'],,,,,,,,
sub_44CFA0,['Crypt'],,,,,,,,
sub_44FBA7,['Crypt'],,,,,,,,
sub_446750,['Crypt'],,,,,,,,
sub_440589,['Crypt'],,,,,,,,
sub_44C36B,['Crypt'],,,,,,,,
sub_4429BB,['Crypt'],,,,,,,,
sub_44D75D,['Crypt'],,,,,,,,
sub_449EA6,['Crypt'],,,,,,,,
sub_442462,['Crypt'],,,,,,,,
sub_44AD7D,['Crypt'],,,,,,,,
sub_443AB6,['Crypt'],,,,,,,,
sub_447DEB,['Crypt'],,,,,,,,
sub_44A88A,['Crypt'],,,,,,,,
