crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_403FF1,['Crypt'],,,sub_406489,"['FindFirstFile', 'FindNextFile']",,,sub_40E153,['Snapshot']
sub_40F574,['Crypt'],,,sub_401685,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_407DBB,['Crypt'],,,sub_40DCC0,"['FindFirstFile', 'FindNextFile']",,,sub_4572B2,['encrypted']
sub_405CE2,['Crypt'],,,sub_401F73,"['FindFirstFile', 'FindNextFile']",,,,
sub_400759,['Crypt'],,,sub_40D4C2,"['FindFirstFile', 'FindNextFile']",,,,
sub_40AC9D,['Crypt'],,,sub_401DF5,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A8ED,['Crypt'],,,sub_407100,"['FindFirstFile', 'FindNextFile']",,,,
sub_40AA0F,['Crypt'],,,sub_4160AB,"['FindFirstFile', 'FindNextFile']",,,,
sub_40E2D8,['Crypt'],,,sub_416F6D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A1DC,['Crypt'],,,sub_41D26F,"['FindFirstFile', 'FindNextFile']",,,,
sub_401350,['Crypt'],,,,,,,,
sub_409E37,['Crypt'],,,,,,,,
sub_40DB80,['Crypt'],,,,,,,,
sub_40F484,['Crypt'],,,,,,,,
sub_40D63E,['Crypt'],,,,,,,,
sub_408B36,['Crypt'],,,,,,,,
sub_402CDE,['Crypt'],,,,,,,,
sub_402FE0,['Crypt'],,,,,,,,
sub_404D6A,['Crypt'],,,,,,,,
sub_4062DF,['Crypt'],,,,,,,,
sub_4080E7,['Crypt'],,,,,,,,
sub_40A58F,['Crypt'],,,,,,,,
sub_40BA4B,['Crypt'],,,,,,,,
sub_4024A9,['Crypt'],,,,,,,,
sub_404CA5,['Crypt'],,,,,,,,
sub_408D47,['Crypt'],,,,,,,,
sub_400624,['Crypt'],,,,,,,,
sub_407913,['Crypt'],,,,,,,,
sub_407CE6,['Crypt'],,,,,,,,
sub_40DDDC,['Crypt'],,,,,,,,
sub_407A12,['Crypt'],,,,,,,,
sub_408B90,['Crypt'],,,,,,,,
sub_40B5DF,['Crypt'],,,,,,,,
sub_408FB8,['Crypt'],,,,,,,,
sub_406D45,['Crypt'],,,,,,,,
sub_404446,['Crypt'],,,,,,,,
sub_408CC0,['Crypt'],,,,,,,,
sub_4043C1,['Crypt'],,,,,,,,
sub_408B32,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_407560,['Crypt'],,,,,,,,
sub_4021A8,['Crypt'],,,,,,,,
sub_4058F2,['Crypt'],,,,,,,,
sub_40F048,['Crypt'],,,,,,,,
sub_409DD6,['Crypt'],,,,,,,,
sub_40C50B,['Crypt'],,,,,,,,
sub_404506,['Crypt'],,,,,,,,
sub_404745,['Crypt'],,,,,,,,
sub_402521,['Crypt'],,,,,,,,
sub_40F23B,['Crypt'],,,,,,,,
sub_4026A9,['Crypt'],,,,,,,,
sub_4033B7,['Crypt'],,,,,,,,
sub_4073BA,['Crypt'],,,,,,,,
sub_403773,['Crypt'],,,,,,,,
sub_407E96,['Crypt'],,,,,,,,
sub_40484E,['Crypt'],,,,,,,,
sub_40AFA7,['Crypt'],,,,,,,,
sub_40CA08,['Crypt'],,,,,,,,
sub_405A2D,['Crypt'],,,,,,,,
sub_406B09,['Crypt'],,,,,,,,
sub_40A279,['Crypt'],,,,,,,,
sub_40A0BE,['Crypt'],,,,,,,,
sub_40F859,['Crypt'],,,,,,,,
sub_401A81,['Crypt'],,,,,,,,
sub_40803E,['Crypt'],,,,,,,,
sub_40BEA9,['Crypt'],,,,,,,,
sub_4036E1,['Crypt'],,,,,,,,
sub_40CB32,['Crypt'],,,,,,,,
sub_40EFAA,['Crypt'],,,,,,,,
sub_407EF4,['Crypt'],,,,,,,,
sub_406489,['crypt'],,,,,,,,
sub_4160AB,['crypt'],,,,,,,,
sub_416F6D,['crypt'],,,,,,,,
sub_41244E,['Crypt'],,,,,,,,
sub_41329C,['Crypt'],,,,,,,,
sub_41B081,['Crypt'],,,,,,,,
sub_41D7D1,['Crypt'],,,,,,,,
sub_41E5BB,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_41B0A6,['Crypt'],,,,,,,,
sub_41CCD1,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41F56E,['Crypt'],,,,,,,,
sub_41E489,['Crypt'],,,,,,,,
sub_41BF81,['Crypt'],,,,,,,,
sub_413594,['Crypt'],,,,,,,,
sub_41E0D5,['Crypt'],,,,,,,,
sub_4138E0,['Crypt'],,,,,,,,
sub_4174DD,['Crypt'],,,,,,,,
