crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4033F8,['Crypt'],sub_40C5F3,['WriteFile'],sub_40D8C2,"['FindFirstFile', 'FindNextFile']",sub_4098E7,['CreateFile'],sub_40BDF3,['Snapshot']
sub_40ECF6,['Crypt'],,,,,sub_408074,['CreateFile'],,
sub_40C281,['Crypt'],,,,,sub_40A912,['ReadFile'],,
sub_401F6C,['Crypt'],,,,,,,,
sub_40C6BB,['Crypt'],,,,,,,,
sub_40CF71,['Crypt'],,,,,,,,
sub_40BC23,['Crypt'],,,,,,,,
sub_40DC2B,['Crypt'],,,,,,,,
sub_40402D,['Crypt'],,,,,,,,
sub_402EBD,['Crypt'],,,,,,,,
sub_405072,['Crypt'],,,,,,,,
sub_40F1D5,['Crypt'],,,,,,,,
sub_406386,['Crypt'],,,,,,,,
sub_40917B,['Crypt'],,,,,,,,
sub_40B6F7,['Crypt'],,,,,,,,
sub_40B591,['Crypt'],,,,,,,,
sub_4011E6,['Crypt'],,,,,,,,
sub_408DF3,['Crypt'],,,,,,,,
sub_4073E9,['Crypt'],,,,,,,,
sub_4050CB,['Crypt'],,,,,,,,
sub_4088FF,['Crypt'],,,,,,,,
sub_405614,['Crypt'],,,,,,,,
sub_407388,['Crypt'],,,,,,,,
sub_40380E,['Crypt'],,,,,,,,
sub_4029B7,['Crypt'],,,,,,,,
sub_407F8B,['Crypt'],,,,,,,,
sub_404042,['Crypt'],,,,,,,,
sub_40D76C,['Crypt'],,,,,,,,
sub_40827F,['Crypt'],,,,,,,,
sub_401E06,['Crypt'],,,,,,,,
sub_402325,['Crypt'],,,,,,,,
sub_40A8E3,['Crypt'],,,,,,,,
sub_403FFC,['Crypt'],,,,,,,,
sub_409248,['Crypt'],,,,,,,,
sub_40C3D6,['Crypt'],,,,,,,,
sub_401A3E,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40CD9A,['Crypt'],,,,,,,,
sub_40B210,['Crypt'],,,,,,,,
sub_401234,['Crypt'],,,,,,,,
sub_40BB1C,['Crypt'],,,,,,,,
sub_40D460,['Crypt'],,,,,,,,
sub_407CAB,['Crypt'],,,,,,,,
sub_40F541,['Crypt'],,,,,,,,
sub_406047,['Crypt'],,,,,,,,
sub_40E17C,['Crypt'],,,,,,,,
sub_405D74,['Crypt'],,,,,,,,
sub_404CF3,['Crypt'],,,,,,,,
sub_402B96,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4016CE,['Crypt'],,,,,,,,
sub_403861,['Crypt'],,,,,,,,
