crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_407165,['crypt'],sub_410596,['WriteFile'],sub_40AB5E,"['FindFirstFile', 'FindNextFile']",,,sub_407165,['encrypted']
sub_408DFA,['crypt'],,,,,,,sub_4C4580,['Snapshot']
sub_40AE07,['crypt'],,,,,,,,
sub_4062FD,['crypt'],,,,,,,,
sub_4020B1,['crypt'],,,,,,,,
sub_4038BB,['crypt'],,,,,,,,
sub_40EA9E,['crypt'],,,,,,,,
sub_40BF04,['crypt'],,,,,,,,
sub_40011C,['crypt'],,,,,,,,
sub_40B566,['crypt'],,,,,,,,
sub_4031D2,['crypt'],,,,,,,,
sub_40CC79,['crypt'],,,,,,,,
sub_40506F,['crypt'],,,,,,,,
sub_408EC7,['crypt'],,,,,,,,
sub_401A7E,['crypt'],,,,,,,,
sub_4089A7,['crypt'],,,,,,,,
sub_4065FF,['crypt'],,,,,,,,
sub_4037EB,['crypt'],,,,,,,,
sub_407AC0,['crypt'],,,,,,,,
sub_4024B3,['crypt'],,,,,,,,
sub_4023C6,['crypt'],,,,,,,,
sub_40066D,['crypt'],,,,,,,,
sub_408187,['crypt'],,,,,,,,
sub_4040A9,['crypt'],,,,,,,,
sub_404351,['crypt'],,,,,,,,
sub_419312,['crypt'],,,,,,,,
sub_4154A6,['crypt'],,,,,,,,
sub_415CA2,['crypt'],,,,,,,,
sub_418BBE,['crypt'],,,,,,,,
sub_41BAF9,['crypt'],,,,,,,,
sub_41A37A,['crypt'],,,,,,,,
sub_4161DB,['crypt'],,,,,,,,
sub_416527,['crypt'],,,,,,,,
sub_419317,['crypt'],,,,,,,,
sub_4184B8,['crypt'],,,,,,,,
sub_418035,['crypt'],,,,,,,,
sub_414B2D,['crypt'],,,,,,,,
sub_41D514,['crypt'],,,,,,,,
sub_418E22,['crypt'],,,,,,,,
sub_41809D,['crypt'],,,,,,,,
sub_418CAC,['crypt'],,,,,,,,
sub_41B56B,['crypt'],,,,,,,,
sub_41C27F,['crypt'],,,,,,,,
sub_415528,['crypt'],,,,,,,,
sub_411D44,['crypt'],,,,,,,,
sub_41CFF8,['crypt'],,,,,,,,
sub_4105DE,['crypt'],,,,,,,,
sub_414827,['crypt'],,,,,,,,
sub_412D74,['crypt'],,,,,,,,
sub_41EA4B,['crypt'],,,,,,,,
sub_415C81,['crypt'],,,,,,,,
sub_4120E1,['crypt'],,,,,,,,
sub_41FDC9,['crypt'],,,,,,,,
sub_419193,['crypt'],,,,,,,,
sub_41E9A3,['crypt'],,,,,,,,
sub_417959,['crypt'],,,,,,,,
sub_417373,['crypt'],,,,,,,,
sub_417F6A,['crypt'],,,,,,,,
sub_41DCBC,['crypt'],,,,,,,,
sub_41EC92,['crypt'],,,,,,,,
sub_41C35A,['crypt'],,,,,,,,
sub_41D622,['crypt'],,,,,,,,
sub_417222,['crypt'],,,,,,,,
sub_41E710,['crypt'],,,,,,,,
sub_41AC93,['crypt'],,,,,,,,
sub_413DAF,['crypt'],,,,,,,,
sub_41160F,['crypt'],,,,,,,,
sub_41BD49,['crypt'],,,,,,,,
sub_412C8D,['crypt'],,,,,,,,
sub_41FB88,['crypt'],,,,,,,,
sub_416A4D,['crypt'],,,,,,,,
sub_41DCF9,['crypt'],,,,,,,,
sub_417DA2,['crypt'],,,,,,,,
sub_41D0DB,['crypt'],,,,,,,,
sub_419405,['crypt'],,,,,,,,
sub_413985,['crypt'],,,,,,,,
sub_418A3E,['crypt'],,,,,,,,
sub_412BC7,['crypt'],,,,,,,,
sub_413316,['crypt'],,,,,,,,
sub_4136B0,['crypt'],,,,,,,,
sub_412940,['crypt'],,,,,,,,
sub_4117B0,['crypt'],,,,,,,,
sub_41C5FC,['crypt'],,,,,,,,
sub_413DD7,['crypt'],,,,,,,,
sub_41837B,['crypt'],,,,,,,,
sub_41B245,['crypt'],,,,,,,,
sub_41CC7A,['crypt'],,,,,,,,
sub_41A63F,['crypt'],,,,,,,,
sub_4145F1,['crypt'],,,,,,,,
sub_41EF6D,['crypt'],,,,,,,,
sub_41905C,['crypt'],,,,,,,,
sub_419CF9,['crypt'],,,,,,,,
sub_414B4F,['crypt'],,,,,,,,
sub_41442D,['crypt'],,,,,,,,
sub_416D2D,['crypt'],,,,,,,,
sub_413097,['crypt'],,,,,,,,
sub_4144D9,['crypt'],,,,,,,,
sub_41C3F3,['crypt'],,,,,,,,
sub_42180B,['crypt'],,,,,,,,
sub_42A428,['crypt'],,,,,,,,
sub_421876,['crypt'],,,,,,,,
sub_42ACE3,['crypt'],,,,,,,,
sub_42730E,['crypt'],,,,,,,,
sub_424426,['crypt'],,,,,,,,
sub_427017,['crypt'],,,,,,,,
sub_42A79D,['crypt'],,,,,,,,
sub_4205EA,['crypt'],,,,,,,,
sub_4235BC,['crypt'],,,,,,,,
sub_423784,['crypt'],,,,,,,,
sub_42CA53,['crypt'],,,,,,,,
sub_429108,['crypt'],,,,,,,,
sub_4229F2,['crypt'],,,,,,,,
sub_42DB65,['crypt'],,,,,,,,
sub_4243CE,['crypt'],,,,,,,,
sub_4234A3,['crypt'],,,,,,,,
sub_42E823,['crypt'],,,,,,,,
sub_424CA6,['crypt'],,,,,,,,
sub_42B13C,['crypt'],,,,,,,,
sub_42D947,['crypt'],,,,,,,,
sub_42F46F,['crypt'],,,,,,,,
sub_4216D4,['crypt'],,,,,,,,
sub_421ACA,['crypt'],,,,,,,,
sub_42F2D5,['crypt'],,,,,,,,
sub_429E1C,['crypt'],,,,,,,,
sub_42B185,['crypt'],,,,,,,,
sub_42F646,['crypt'],,,,,,,,
sub_427DD9,['crypt'],,,,,,,,
sub_42B847,['crypt'],,,,,,,,
sub_423E83,['crypt'],,,,,,,,
sub_42D0E9,['crypt'],,,,,,,,
sub_42503B,['crypt'],,,,,,,,
sub_428948,['crypt'],,,,,,,,
sub_429034,['crypt'],,,,,,,,
sub_42B0B2,['crypt'],,,,,,,,
sub_421A3D,['crypt'],,,,,,,,
sub_424FFB,['crypt'],,,,,,,,
sub_42F05D,['crypt'],,,,,,,,
sub_421E6F,['crypt'],,,,,,,,
sub_425C97,['crypt'],,,,,,,,
sub_42F69F,['crypt'],,,,,,,,
sub_42170C,['crypt'],,,,,,,,
sub_42D211,['crypt'],,,,,,,,
sub_423F5B,['crypt'],,,,,,,,
sub_425FD0,['crypt'],,,,,,,,
sub_42DA42,['crypt'],,,,,,,,
sub_4297CB,['crypt'],,,,,,,,
sub_42FA9F,['crypt'],,,,,,,,
sub_421E83,['crypt'],,,,,,,,
sub_42A582,['crypt'],,,,,,,,
sub_4299C9,['crypt'],,,,,,,,
sub_42A197,['crypt'],,,,,,,,
sub_420317,['crypt'],,,,,,,,
sub_4297C4,['crypt'],,,,,,,,
sub_423B33,['crypt'],,,,,,,,
sub_420E86,['crypt'],,,,,,,,
sub_42A8FA,['crypt'],,,,,,,,
sub_423D1A,['crypt'],,,,,,,,
sub_420376,['crypt'],,,,,,,,
sub_423C93,['crypt'],,,,,,,,
sub_425926,['crypt'],,,,,,,,
sub_422D78,['crypt'],,,,,,,,
sub_423654,['crypt'],,,,,,,,
sub_42C79F,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",,,,,,,,
sub_4233B8,['crypt'],,,,,,,,
sub_424C34,['crypt'],,,,,,,,
sub_42DF49,['crypt'],,,,,,,,
sub_420428,['crypt'],,,,,,,,
sub_42F440,['crypt'],,,,,,,,
sub_423F6D,['crypt'],,,,,,,,
sub_4297F7,['crypt'],,,,,,,,
sub_42629A,['crypt'],,,,,,,,
sub_4208FE,['crypt'],,,,,,,,
sub_420AE8,['crypt'],,,,,,,,
sub_420CFB,['crypt'],,,,,,,,
sub_42811B,['crypt'],,,,,,,,
sub_4278F7,['crypt'],,,,,,,,
sub_42A596,['crypt'],,,,,,,,
sub_4227AF,['crypt'],,,,,,,,
sub_43A439,['crypt'],,,,,,,,
sub_4344BF,['crypt'],,,,,,,,
sub_433055,['crypt'],,,,,,,,
sub_43B488,['crypt'],,,,,,,,
sub_43A1BC,['crypt'],,,,,,,,
sub_433BED,['crypt'],,,,,,,,
sub_433709,['crypt'],,,,,,,,
sub_432396,['crypt'],,,,,,,,
sub_439898,['crypt'],,,,,,,,
sub_43357B,['crypt'],,,,,,,,
sub_430CC5,['crypt'],,,,,,,,
sub_4391C9,['crypt'],,,,,,,,
sub_432A34,['crypt'],,,,,,,,
sub_43150B,['crypt'],,,,,,,,
sub_43327E,['crypt'],,,,,,,,
sub_4377BA,['crypt'],,,,,,,,
sub_43235A,['crypt'],,,,,,,,
sub_43B628,['crypt'],,,,,,,,
sub_439763,['crypt'],,,,,,,,
sub_434D1F,['crypt'],,,,,,,,
sub_43C020,['crypt'],,,,,,,,
sub_432CCB,['crypt'],,,,,,,,
sub_43FD44,['crypt'],,,,,,,,
sub_43D01C,['crypt'],,,,,,,,
sub_43C1F2,['crypt'],,,,,,,,
sub_435181,['crypt'],,,,,,,,
sub_43C46F,['crypt'],,,,,,,,
sub_43BA2D,['crypt'],,,,,,,,
sub_4377D5,['crypt'],,,,,,,,
sub_43976D,['crypt'],,,,,,,,
sub_432C8D,['crypt'],,,,,,,,
sub_43BFAA,['crypt'],,,,,,,,
sub_436CAE,['crypt'],,,,,,,,
sub_43577D,['crypt'],,,,,,,,
sub_43C7A9,['crypt'],,,,,,,,
sub_43FBED,['crypt'],,,,,,,,
sub_4328BC,['crypt'],,,,,,,,
sub_43D7CC,['crypt'],,,,,,,,
sub_437131,['crypt'],,,,,,,,
sub_43AA7D,['crypt'],,,,,,,,
sub_430EED,['crypt'],,,,,,,,
sub_43F242,['crypt'],,,,,,,,
sub_4328F3,['crypt'],,,,,,,,
sub_43A47A,['crypt'],,,,,,,,
sub_43E8D6,['crypt'],,,,,,,,
sub_43CD81,['crypt'],,,,,,,,
sub_43DD82,['crypt'],,,,,,,,
sub_43E550,['crypt'],,,,,,,,
sub_43BB13,['crypt'],,,,,,,,
sub_433423,['crypt'],,,,,,,,
sub_43BA7E,['crypt'],,,,,,,,
sub_438F7B,['crypt'],,,,,,,,
sub_43B657,['crypt'],,,,,,,,
sub_43CDE4,['crypt'],,,,,,,,
sub_439C66,['crypt'],,,,,,,,
sub_433380,['crypt'],,,,,,,,
sub_43B543,['crypt'],,,,,,,,
sub_43991C,['crypt'],,,,,,,,
sub_43E118,['crypt'],,,,,,,,
sub_43B0A0,['crypt'],,,,,,,,
sub_434D94,['crypt'],,,,,,,,
sub_436DE7,['crypt'],,,,,,,,
sub_439835,['crypt'],,,,,,,,
sub_4375D6,['crypt'],,,,,,,,
sub_43AB0C,['crypt'],,,,,,,,
sub_43E83C,['crypt'],,,,,,,,
sub_432034,['crypt'],,,,,,,,
sub_4308D6,['crypt'],,,,,,,,
sub_43517C,['crypt'],,,,,,,,
sub_4338A6,['crypt'],,,,,,,,
sub_43BF4A,['crypt'],,,,,,,,
sub_43CD29,['crypt'],,,,,,,,
sub_43A61B,['crypt'],,,,,,,,
sub_431748,['crypt'],,,,,,,,
sub_43571B,['crypt'],,,,,,,,
sub_4334B9,['crypt'],,,,,,,,
sub_433F29,['crypt'],,,,,,,,
sub_438F12,['crypt'],,,,,,,,
sub_4384D4,['crypt'],,,,,,,,
sub_43801E,['crypt'],,,,,,,,
sub_435925,['crypt'],,,,,,,,
sub_43C623,['Crypt'],,,,,,,,
sub_437607,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_434FF4,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_4373C2,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_43CB0F,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_43D3F5,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_43DB8B,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_437300,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_43B0DB,['Crypt'],,,,,,,,
sub_43D7DF,"['crypt', 'Crypt']",,,,,,,,
sub_448218,['Crypt'],,,,,,,,
