crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_402A9E,['Crypt'],,,sub_407599,"['FindFirstFile', 'FindNextFile']",,,sub_4070F3,['Snapshot']
sub_40A7B9,['Crypt'],,,sub_40DAF2,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40ECA1,['Crypt'],,,sub_400B01,"['FindFirstFile', 'FindNextFile']",,,sub_453F95,['encrypted']
sub_40917C,['Crypt'],,,sub_409FBD,"['FindFirstFile', 'FindNextFile']",,,,
sub_401A06,['Crypt'],,,sub_406EFB,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D02A,['Crypt'],,,sub_400D74,"['FindFirstFile', 'FindNextFile']",,,,
sub_40336B,['Crypt'],,,sub_407A87,"['FindFirstFile', 'FindNextFile']",,,,
sub_400999,['Crypt'],,,sub_410AD4,"['FindFirstFile', 'FindNextFile']",,,,
sub_4017E7,['Crypt'],,,sub_414B8C,"['FindFirstFile', 'FindNextFile']",,,,
sub_401865,['Crypt'],,,sub_41790E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C41F,['Crypt'],,,,,,,,
sub_40BD5F,['Crypt'],,,,,,,,
sub_40014F,['Crypt'],,,,,,,,
sub_400FD5,['Crypt'],,,,,,,,
sub_40FFFC,['Crypt'],,,,,,,,
sub_40687F,['Crypt'],,,,,,,,
sub_4071E5,['Crypt'],,,,,,,,
sub_4027C0,['Crypt'],,,,,,,,
sub_404BED,['Crypt'],,,,,,,,
sub_4092D1,['Crypt'],,,,,,,,
sub_400A5C,['Crypt'],,,,,,,,
sub_4018FF,['Crypt'],,,,,,,,
sub_40D678,['Crypt'],,,,,,,,
sub_4018C9,['Crypt'],,,,,,,,
sub_40412E,['Crypt'],,,,,,,,
sub_401F30,['Crypt'],,,,,,,,
sub_40E087,['Crypt'],,,,,,,,
sub_401FE5,['Crypt'],,,,,,,,
sub_408F4E,['Crypt'],,,,,,,,
sub_40E938,['Crypt'],,,,,,,,
sub_401C55,['Crypt'],,,,,,,,
sub_40E292,['Crypt'],,,,,,,,
sub_409F57,['Crypt'],,,,,,,,
sub_4031C2,['Crypt'],,,,,,,,
sub_40E4DD,['Crypt'],,,,,,,,
sub_403813,['Crypt'],,,,,,,,
sub_400B18,['Crypt'],,,,,,,,
sub_402D31,['Crypt'],,,,,,,,
sub_401AD2,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40B540,['Crypt'],,,,,,,,
sub_40006B,['Crypt'],,,,,,,,
sub_40999D,['Crypt'],,,,,,,,
sub_40BB0C,['Crypt'],,,,,,,,
sub_404A30,['Crypt'],,,,,,,,
sub_40EDA5,['Crypt'],,,,,,,,
sub_40711F,['Crypt'],,,,,,,,
sub_403718,['Crypt'],,,,,,,,
sub_4068BD,['Crypt'],,,,,,,,
sub_406D4B,['Crypt'],,,,,,,,
sub_401631,['Crypt'],,,,,,,,
sub_406D83,['Crypt'],,,,,,,,
sub_403156,['Crypt'],,,,,,,,
sub_40C06C,['Crypt'],,,,,,,,
sub_407536,['Crypt'],,,,,,,,
sub_4065EB,['Crypt'],,,,,,,,
sub_40CEBC,['Crypt'],,,,,,,,
sub_4086F6,['Crypt'],,,,,,,,
sub_407DBC,['Crypt'],,,,,,,,
sub_40CFD8,['Crypt'],,,,,,,,
sub_40D2E5,['Crypt'],,,,,,,,
sub_400A44,['Crypt'],,,,,,,,
sub_40FB24,['Crypt'],,,,,,,,
sub_40B73C,['Crypt'],,,,,,,,
sub_40BF45,['Crypt'],,,,,,,,
sub_40D33C,['Crypt'],,,,,,,,
sub_40D901,['Crypt'],,,,,,,,
sub_407726,['Crypt'],,,,,,,,
sub_404659,['Crypt'],,,,,,,,
sub_4070B7,['Crypt'],,,,,,,,
sub_407599,['crypt'],,,,,,,,
sub_410AD4,['crypt'],,,,,,,,
sub_414B8C,['crypt'],,,,,,,,
sub_41E9EA,['Crypt'],,,,,,,,
sub_41C134,['Crypt'],,,,,,,,
sub_41445D,['Crypt'],,,,,,,,
sub_41E0E2,['Crypt'],,,,,,,,
sub_41920E,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_41B692,['Crypt'],,,,,,,,
sub_41D1CC,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_413DA0,['Crypt'],,,,,,,,
sub_415612,['Crypt'],,,,,,,,
sub_41AE23,['Crypt'],,,,,,,,
sub_41FB83,['Crypt'],,,,,,,,
sub_41B809,['Crypt'],,,,,,,,
sub_414E02,['Crypt'],,,,,,,,
sub_418C50,['Crypt'],,,,,,,,
sub_418AEA,['Crypt'],,,,,,,,
sub_41D454,['Crypt'],,,,,,,,
sub_41134D,['Crypt'],,,,,,,,
sub_416F06,['Crypt'],,,,,,,,
sub_41916C,['Crypt'],,,,,,,,
sub_416135,['Crypt'],,,,,,,,
sub_41EA96,['Crypt'],,,,,,,,
sub_41F585,['Crypt'],,,,,,,,
sub_418844,['Crypt'],,,,,,,,
sub_41DAAF,['Crypt'],,,,,,,,
sub_41920E,['Crypt'],,,,,,,,
sub_4179A9,['Crypt'],,,,,,,,
sub_4162C8,['Crypt'],,,,,,,,
sub_414F85,['Crypt'],,,,,,,,
sub_4193EA,['Crypt'],,,,,,,,
sub_410357,['Crypt'],,,,,,,,
sub_41F1BE,['Crypt'],,,,,,,,
sub_41FFF2,['Crypt'],,,,,,,,
sub_42A324,['Crypt'],,,,,,,,
sub_428410,['Crypt'],,,,,,,,
sub_42B05F,['Crypt'],,,,,,,,
sub_42CBCE,['Crypt'],,,,,,,,
sub_4230DC,['Crypt'],,,,,,,,
sub_427BC0,['Crypt'],,,,,,,,
sub_423328,['Crypt'],,,,,,,,
sub_428252,['Crypt'],,,,,,,,
sub_420B18,['Crypt'],,,,,,,,
sub_42E58E,['Crypt'],,,,,,,,
sub_428D0D,['Crypt'],,,,,,,,
sub_42FB9C,['Crypt'],,,,,,,,
sub_4203CC,['Crypt'],,,,,,,,
sub_438FFB,['Crypt'],,,,,,,,
sub_43D14E,['Crypt'],,,,,,,,
sub_4392C1,['Crypt'],,,,,,,,
sub_43959D,['Crypt'],,,,,,,,
sub_43F727,['Crypt'],,,,,,,,
sub_43E78F,['Crypt'],,,,,,,,
sub_433D6B,['Crypt'],,,,,,,,
sub_434E2B,['Crypt'],,,,,,,,
sub_43B421,['Crypt'],,,,,,,,
sub_437FB4,['Crypt'],,,,,,,,
sub_435719,['Crypt'],,,,,,,,
sub_43941F,['Crypt'],,,,,,,,
sub_436A8B,['Crypt'],,,,,,,,
sub_4353F3,['Crypt'],,,,,,,,
sub_430F8D,['Crypt'],,,,,,,,
sub_4329DD,['Crypt'],,,,,,,,
sub_432D03,['Crypt'],,,,,,,,
sub_43C84A,['Crypt'],,,,,,,,
sub_433DA9,['Crypt'],,,,,,,,
sub_4342EA,['Crypt'],,,,,,,,
sub_43C572,['Crypt'],,,,,,,,
sub_436E4E,"['crypt', 'Crypt']",,,,,,,,
sub_436DF9,['Crypt'],,,,,,,,
sub_433319,['Crypt'],,,,,,,,
sub_430117,['Crypt'],,,,,,,,
sub_43128E,['Crypt'],,,,,,,,
sub_4338A1,['Crypt'],,,,,,,,
sub_4371E2,['Crypt'],,,,,,,,
sub_43B3A7,['Crypt'],,,,,,,,
