crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_142CEF2F0,['crypt'],main,['WriteFile'],sub_141A65180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_142CEF470,['crypt'],sub_140445670,['WriteFile'],sub_141A65690,"['FindFirstFile', 'FindNextFile']",sub_1444957FC,['CreateFile'],,
sub_142CEF550,['crypt'],,,sub_141A65BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_142CEF690,['crypt'],,,,,,,,
sub_142CEF7A0,['crypt'],,,,,,,,
sub_142CEFB00,['crypt'],,,,,,,,
sub_142CEFCD0,['crypt'],,,,,,,,
sub_142CEFF20,['crypt'],,,,,,,,
sub_14A97F080,['crypt'],,,,,,,,
sub_14A97F390,['crypt'],,,,,,,,
sub_14A97F600,['crypt'],,,,,,,,
sub_14A97F6D0,['crypt'],,,,,,,,
sub_14A97F920,['crypt'],,,,,,,,
sub_14A97F980,['crypt'],,,,,,,,
sub_14A97FA70,['crypt'],,,,,,,,
sub_14A97FC10,['crypt'],,,,,,,,
sub_14A97FFD0,['crypt'],,,,,,,,
sub_14F14E0A0,['crypt'],,,,,,,,
sub_14F14E140,['crypt'],,,,,,,,
sub_14F14E290,['crypt'],,,,,,,,
sub_14F14E460,['crypt'],,,,,,,,
sub_14F14E530,['crypt'],,,,,,,,
sub_14F14E7D0,['crypt'],,,,,,,,
sub_1452CF0C0,['crypt'],,,,,,,,
sub_1452CFA10,['crypt'],,,,,,,,
sub_1452CFB00,['crypt'],,,,,,,,
sub_1452CFC20,['crypt'],,,,,,,,
sub_1452CFD40,['crypt'],,,,,,,,
sub_1456B6440,['crypt'],,,,,,,,
sub_1456B6560,['crypt'],,,,,,,,
sub_1456B68E0,['crypt'],,,,,,,,
sub_1456B6A70,['crypt'],,,,,,,,
sub_1456B6BF0,['crypt'],,,,,,,,
sub_1456B6C80,['crypt'],,,,,,,,
sub_1456B6E90,['crypt'],,,,,,,,
sub_1456B6FE0,['crypt'],,,,,,,,
sub_142568070,['crypt'],,,,,,,,
sub_1425681C0,['crypt'],,,,,,,,
sub_142568240,['crypt'],,,,,,,,
sub_1425682D0,['crypt'],,,,,,,,
sub_142568350,['crypt'],,,,,,,,
sub_142568650,['crypt'],,,,,,,,
sub_142568A60,['crypt'],,,,,,,,
sub_142568AB0,['crypt'],,,,,,,,
sub_142568B10,['crypt'],,,,,,,,
sub_142568BE0,['crypt'],,,,,,,,
sub_142568D20,['crypt'],,,,,,,,
sub_142568D80,['crypt'],,,,,,,,
sub_142568DD0,['crypt'],,,,,,,,
sub_142568E30,['crypt'],,,,,,,,
sub_14E229010,['crypt'],,,,,,,,
sub_14E229090,['crypt'],,,,,,,,
sub_14E2290E0,['crypt'],,,,,,,,
sub_14E229150,['crypt'],,,,,,,,
sub_14E2291E0,['crypt'],,,,,,,,
sub_14E229300,['crypt'],,,,,,,,
sub_14E229380,['crypt'],,,,,,,,
sub_14E229400,['crypt'],,,,,,,,
sub_14E229480,['crypt'],,,,,,,,
sub_14E229500,['crypt'],,,,,,,,
sub_14E229580,['crypt'],,,,,,,,
sub_14E229670,['crypt'],,,,,,,,
sub_14E229770,['crypt'],,,,,,,,
sub_14E2297F0,['crypt'],,,,,,,,
sub_14E2298F0,['crypt'],,,,,,,,
sub_14E2299F0,['crypt'],,,,,,,,
sub_14E229A70,['crypt'],,,,,,,,
sub_14E229CC0,['crypt'],,,,,,,,
sub_140445A70,['crypt'],,,,,,,,
sub_14B7D0E00,['crypt'],,,,,,,,
sub_14B7D0F50,['crypt'],,,,,,,,
sub_14B9823D0,['crypt'],,,,,,,,
sub_14B982700,['crypt'],,,,,,,,
sub_14B982890,['crypt'],,,,,,,,
sub_14B982980,['crypt'],,,,,,,,
sub_14B982A60,['crypt'],,,,,,,,
sub_14B982C50,['crypt'],,,,,,,,
sub_14B982CE0,['crypt'],,,,,,,,
sub_14B982D20,['crypt'],,,,,,,,
sub_14B982D70,['crypt'],,,,,,,,
sub_1472591E0,['crypt'],,,,,,,,
sub_147259350,['crypt'],,,,,,,,
sub_147259520,['crypt'],,,,,,,,
sub_1472596E0,['crypt'],,,,,,,,
sub_1472597B0,['crypt'],,,,,,,,
sub_147259840,['crypt'],,,,,,,,
sub_14D23A200,['crypt'],,,,,,,,
sub_14D23A3B0,['crypt'],,,,,,,,
sub_14D23A9B0,['crypt'],,,,,,,,
sub_14D23AC40,['crypt'],,,,,,,,
sub_14D23ACD0,['crypt'],,,,,,,,
sub_14D23AD40,['crypt'],,,,,,,,
sub_14B954040,['crypt'],,,,,,,,
sub_14B954330,['crypt'],,,,,,,,
sub_14B954500,['crypt'],,,,,,,,
sub_14B954760,['crypt'],,,,,,,,
sub_14B9548D0,['crypt'],,,,,,,,
sub_14B954D30,['crypt'],,,,,,,,
sub_14B954EA0,['crypt'],,,,,,,,
sub_14B954F50,['crypt'],,,,,,,,
sub_14D802000,['crypt'],,,,,,,,
sub_14D8020B0,['crypt'],,,,,,,,
sub_14D8021E0,['crypt'],,,,,,,,
sub_14D802500,['crypt'],,,,,,,,
sub_14D802970,['crypt'],,,,,,,,
sub_14D802A90,['crypt'],,,,,,,,
sub_14D802D60,['crypt'],,,,,,,,
sub_14D802E80,['crypt'],,,,,,,,
sub_14D802FE0,['crypt'],,,,,,,,
sub_140E011A0,['crypt'],,,,,,,,
sub_140E012C0,['crypt'],,,,,,,,
sub_140E01430,['crypt'],,,,,,,,
sub_140E01E50,['crypt'],,,,,,,,
sub_14706FAC0,['crypt'],,,,,,,,
sub_14706FDE0,['crypt'],,,,,,,,
sub_14BB7E030,['crypt'],,,,,,,,
sub_14BB7E0F0,['crypt'],,,,,,,,
sub_14BB7E1A0,['crypt'],,,,,,,,
sub_149384070,['crypt'],,,,,,,,
sub_149384450,['crypt'],,,,,,,,
sub_149384A80,['crypt'],,,,,,,,
sub_147359EA0,['crypt'],,,,,,,,
sub_14B2791E0,['crypt'],,,,,,,,
sub_14B279380,['crypt'],,,,,,,,
sub_14B279490,['crypt'],,,,,,,,
sub_14B2799E0,['crypt'],,,,,,,,
sub_14EDFE4D0,['crypt'],,,,,,,,
sub_14EDFE850,['crypt'],,,,,,,,
sub_14EDFE930,['crypt'],,,,,,,,
sub_14EDFEC70,['crypt'],,,,,,,,
sub_1430CA040,['Crypt'],,,,,,,,
sub_1430CA920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1430CAB70,['Crypt'],,,,,,,,
sub_1430CAED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14C4115E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14C4116B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14C4118C0,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_14C411F20,['Crypt'],,,,,,,,
sub_1493EC120,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1493EC520,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1493EC8A0,['Crypt'],,,,,,,,
sub_1493ECBF0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_1493ECF70,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_145DCB000,"['crypt', 'Crypt']",,,,,,,,
sub_145DCB2D0,['Crypt'],,,,,,,,
sub_145DCBA80,['crypt'],,,,,,,,
sub_145DCBBB0,['crypt'],,,,,,,,
sub_145DCBC10,['crypt'],,,,,,,,
sub_14FF3E050,['crypt'],,,,,,,,
sub_14FF3E0D0,['crypt'],,,,,,,,
sub_14FF3E180,['crypt'],,,,,,,,
sub_14FF3E2F0,['crypt'],,,,,,,,
sub_14FF3E410,['crypt'],,,,,,,,
sub_14FF3E540,['crypt'],,,,,,,,
sub_14FF3E5E0,['crypt'],,,,,,,,
sub_14FF3E710,['crypt'],,,,,,,,
sub_14FF3E7A0,['crypt'],,,,,,,,
sub_14FF3EFD0,['crypt'],,,,,,,,
sub_14099EEA0,['crypt'],,,,,,,,
sub_14099EF30,['crypt'],,,,,,,,
sub_14C2374B0,['crypt'],,,,,,,,
sub_14C2378F0,['crypt'],,,,,,,,
sub_14C237B30,['crypt'],,,,,,,,
sub_14C237C90,['crypt'],,,,,,,,
sub_14C237E00,['crypt'],,,,,,,,
sub_14633D290,['crypt'],,,,,,,,
sub_14633D4B0,['crypt'],,,,,,,,
sub_14633D570,['crypt'],,,,,,,,
sub_14633D640,['crypt'],,,,,,,,
sub_14633D740,['crypt'],,,,,,,,
sub_14633D980,['crypt'],,,,,,,,
sub_14633DC20,['crypt'],,,,,,,,
sub_14633DD80,['crypt'],,,,,,,,
sub_14633DE50,['crypt'],,,,,,,,
sub_14CDF92B0,['crypt'],,,,,,,,
sub_14CDF9710,['crypt'],,,,,,,,
sub_14CDF9AE0,['crypt'],,,,,,,,
sub_141131260,['crypt'],,,,,,,,
sub_1411314D0,['crypt'],,,,,,,,
sub_141131690,['crypt'],,,,,,,,
sub_141131980,['crypt'],,,,,,,,
sub_141131B10,['crypt'],,,,,,,,
sub_141131B70,['crypt'],,,,,,,,
sub_141131CA0,['crypt'],,,,,,,,
sub_141131E40,['crypt'],,,,,,,,
sub_141131EC0,['crypt'],,,,,,,,
sub_1447F7140,['crypt'],,,,,,,,
sub_1447F73C0,['crypt'],,,,,,,,
sub_1447F7430,['crypt'],,,,,,,,
sub_1447F7AB0,['crypt'],,,,,,,,
sub_1447F7C70,['crypt'],,,,,,,,
sub_1447F7E60,['crypt'],,,,,,,,
sub_1476BB110,['crypt'],,,,,,,,
sub_1476BBC10,['crypt'],,,,,,,,
sub_1476BBD20,['crypt'],,,,,,,,
sub_149928A00,['crypt'],,,,,,,,
sub_149928ED0,['crypt'],,,,,,,,
sub_14600C060,['crypt'],,,,,,,,
sub_14600C440,['crypt'],,,,,,,,
sub_140DC4080,['crypt'],,,,,,,,
sub_140DC4150,['crypt'],,,,,,,,
sub_140DC4580,['crypt'],,,,,,,,
sub_140DC45E0,['crypt'],,,,,,,,
sub_140DC4A20,['crypt'],,,,,,,,
sub_140DC4C70,['crypt'],,,,,,,,
sub_140DC4E80,['crypt'],,,,,,,,
sub_140DC4F60,['crypt'],,,,,,,,
sub_14F5F5790,['crypt'],,,,,,,,
sub_14F5F5DC0,['crypt'],,,,,,,,
sub_14F5F5E80,['crypt'],,,,,,,,
sub_142D701A0,['crypt'],,,,,,,,
sub_142D70240,['crypt'],,,,,,,,
sub_142D702D0,['crypt'],,,,,,,,
sub_142D70420,['crypt'],,,,,,,,
sub_142D704A0,['crypt'],,,,,,,,
sub_142D70620,['crypt'],,,,,,,,
sub_142D70C70,['crypt'],,,,,,,,
sub_142D70D70,['crypt'],,,,,,,,
sub_14B94CB20,['crypt'],,,,,,,,
sub_140D921D0,['crypt'],,,,,,,,
sub_140D924C0,['crypt'],,,,,,,,
sub_140D927E0,['crypt'],,,,,,,,
sub_140D92A70,['crypt'],,,,,,,,
sub_140D92D90,['crypt'],,,,,,,,
sub_140D92DE0,['crypt'],,,,,,,,
sub_14A5613B0,['crypt'],,,,,,,,
sub_14A561790,['crypt'],,,,,,,,
sub_14A561880,['crypt'],,,,,,,,
sub_14A561E40,['crypt'],,,,,,,,
sub_149329090,['crypt'],,,,,,,,
sub_149329450,['crypt'],,,,,,,,
sub_149329570,['crypt'],,,,,,,,
sub_1493295D0,['crypt'],,,,,,,,
sub_149329720,['crypt'],,,,,,,,
sub_149329780,['crypt'],,,,,,,,
sub_149329B90,['crypt'],,,,,,,,
sub_149329EB0,['crypt'],,,,,,,,
sub_149AD0020,['crypt'],,,,,,,,
sub_149AD0160,['crypt'],,,,,,,,
sub_149AD02D0,['crypt'],,,,,,,,
sub_149AD0430,['crypt'],,,,,,,,
sub_149AD0640,['crypt'],,,,,,,,
sub_149AD0B30,['crypt'],,,,,,,,
sub_149AD0CF0,['crypt'],,,,,,,,
sub_149AD0FA0,['crypt'],,,,,,,,
sub_14080A460,['crypt'],,,,,,,,
sub_14080A550,['crypt'],,,,,,,,
sub_14080A880,['crypt'],,,,,,,,
sub_14080AA00,['crypt'],,,,,,,,
sub_14080AB60,['crypt'],,,,,,,,
sub_14080AD30,['crypt'],,,,,,,,
sub_143F57290,['crypt'],,,,,,,,
sub_143F573B0,['crypt'],,,,,,,,
sub_143F57560,['crypt'],,,,,,,,
sub_143F57650,['crypt'],,,,,,,,
sub_143F57AF0,['crypt'],,,,,,,,
sub_143F57BE0,['crypt'],,,,,,,,
sub_143F57EE0,['crypt'],,,,,,,,
sub_1446EE130,['crypt'],,,,,,,,
sub_1446EE890,['crypt'],,,,,,,,
sub_1446EEA90,['crypt'],,,,,,,,
sub_1446EEB90,['crypt'],,,,,,,,
sub_1446EEF00,['crypt'],,,,,,,,
sub_14E171000,['crypt'],,,,,,,,
sub_14E171090,['crypt'],,,,,,,,
sub_14E171150,['crypt'],,,,,,,,
sub_14E1715A0,['crypt'],,,,,,,,
sub_14E171920,['crypt'],,,,,,,,
sub_14E171990,['crypt'],,,,,,,,
sub_14104C360,['crypt'],,,,,,,,
sub_14104C650,['crypt'],,,,,,,,
sub_14104C940,['crypt'],,,,,,,,
sub_14104C9C0,['crypt'],,,,,,,,
sub_14104CC70,['crypt'],,,,,,,,
sub_14104CD40,['crypt'],,,,,,,,
sub_14104CF50,['crypt'],,,,,,,,
sub_14211F020,['crypt'],,,,,,,,
sub_14211F1A0,['crypt'],,,,,,,,
sub_14211F2A0,['crypt'],,,,,,,,
sub_14211F5C0,['crypt'],,,,,,,,
sub_14211F980,['crypt'],,,,,,,,
sub_14211FCB0,['crypt'],,,,,,,,
sub_141EFD770,['crypt'],,,,,,,,
sub_141EFD960,['crypt'],,,,,,,,
sub_143C3F0F0,['crypt'],,,,,,,,
sub_143C3F380,['crypt'],,,,,,,,
sub_143C3F740,['crypt'],,,,,,,,
sub_143C3FAA0,['crypt'],,,,,,,,
sub_143C3FC80,['crypt'],,,,,,,,
sub_1421E4110,['crypt'],,,,,,,,
sub_1421E47F0,['crypt'],,,,,,,,
sub_1421E4A20,['crypt'],,,,,,,,
sub_1421E4D00,['crypt'],,,,,,,,
sub_14B58F150,['crypt'],,,,,,,,
sub_14B58F490,['crypt'],,,,,,,,
sub_14B58F5F0,['crypt'],,,,,,,,
sub_14B58FDF0,['crypt'],,,,,,,,
sub_14B58FFC0,['crypt'],,,,,,,,
sub_14593A8C0,['crypt'],,,,,,,,
sub_14872A610,['crypt'],,,,,,,,
sub_149A0BB20,['crypt'],,,,,,,,
sub_149A0BF80,['crypt'],,,,,,,,
sub_14DD642C0,['crypt'],,,,,,,,
sub_14DD64B50,['crypt'],,,,,,,,
sub_14BA12AC0,['crypt'],,,,,,,,
sub_14FBB0D80,['crypt'],,,,,,,,
sub_14FBB0E10,['crypt'],,,,,,,,
sub_14FBB0EE0,['crypt'],,,,,,,,
sub_14FBB0FA0,['crypt'],,,,,,,,
sub_1443E4010,['crypt'],,,,,,,,
sub_1443E40C0,['crypt'],,,,,,,,
sub_1443E4110,['crypt'],,,,,,,,
sub_1443E41B0,['crypt'],,,,,,,,
sub_14ABB5AD0,['crypt'],,,,,,,,
sub_1456CF380,['crypt'],,,,,,,,
sub_1456CF710,['crypt'],,,,,,,,
