crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401D20,['Crypt'],sub_400D91,['WriteFile'],sub_409CEE,"['FindFirstFile', 'FindNextFile']",sub_400187,['CreateFile'],sub_40154E,['Snapshot']
sub_40C806,['Crypt'],,,,,sub_408FCF,['CreateFile'],,
sub_40BDDB,['Crypt'],,,,,sub_4072E3,['ReadFile'],,
sub_40C247,['Crypt'],,,,,,,,
sub_40B89E,['Crypt'],,,,,,,,
sub_408EDC,['Crypt'],,,,,,,,
sub_4006F2,['Crypt'],,,,,,,,
sub_40D050,['Crypt'],,,,,,,,
sub_409F92,['Crypt'],,,,,,,,
sub_40743D,['Crypt'],,,,,,,,
sub_406860,['Crypt'],,,,,,,,
sub_40C2DB,['Crypt'],,,,,,,,
sub_40307A,['Crypt'],,,,,,,,
sub_408629,['Crypt'],,,,,,,,
sub_40316D,['Crypt'],,,,,,,,
sub_408954,['Crypt'],,,,,,,,
sub_400959,['Crypt'],,,,,,,,
sub_40C4EF,['Crypt'],,,,,,,,
sub_401B17,['Crypt'],,,,,,,,
sub_40E00C,['Crypt'],,,,,,,,
sub_400D8C,['Crypt'],,,,,,,,
sub_403FEA,['Crypt'],,,,,,,,
sub_404D72,['Crypt'],,,,,,,,
sub_406602,['Crypt'],,,,,,,,
sub_40A8ED,['Crypt'],,,,,,,,
sub_40FF49,['Crypt'],,,,,,,,
sub_40F6BF,['Crypt'],,,,,,,,
sub_405E22,['Crypt'],,,,,,,,
sub_407209,['Crypt'],,,,,,,,
sub_40E5C9,['Crypt'],,,,,,,,
sub_40B578,['Crypt'],,,,,,,,
sub_40CE25,['Crypt'],,,,,,,,
sub_4019BC,['Crypt'],,,,,,,,
sub_405247,['Crypt'],,,,,,,,
sub_401222,['Crypt'],,,,,,,,
sub_4022A6,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_403BB1,['Crypt'],,,,,,,,
sub_403775,['Crypt'],,,,,,,,
sub_40D144,['Crypt'],,,,,,,,
sub_40475E,['Crypt'],,,,,,,,
sub_40C11D,['Crypt'],,,,,,,,
sub_403240,['Crypt'],,,,,,,,
sub_407115,['Crypt'],,,,,,,,
sub_40CA9C,['Crypt'],,,,,,,,
sub_405842,['Crypt'],,,,,,,,
sub_402F91,['Crypt'],,,,,,,,
sub_40A6AA,['Crypt'],,,,,,,,
sub_40DEA7,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_401F2F,['Crypt'],,,,,,,,
sub_40AFE3,['Crypt'],,,,,,,,
sub_4061C6,['Crypt'],,,,,,,,
sub_406E1E,['Crypt'],,,,,,,,
sub_40A0A1,['Crypt'],,,,,,,,
sub_407ABA,['Crypt'],,,,,,,,
sub_40D60C,['Crypt'],,,,,,,,
sub_405E96,['Crypt'],,,,,,,,
sub_40042B,['Crypt'],,,,,,,,
sub_40A3D8,['Crypt'],,,,,,,,
sub_40848A,['Crypt'],,,,,,,,
sub_401DD4,['Crypt'],,,,,,,,
sub_40554B,['Crypt'],,,,,,,,
sub_4011E5,['Crypt'],,,,,,,,
sub_40E92B,['Crypt'],,,,,,,,
sub_40347F,['Crypt'],,,,,,,,
sub_40F199,['Crypt'],,,,,,,,
sub_406DBD,['Crypt'],,,,,,,,
sub_40639A,['Crypt'],,,,,,,,
sub_40779E,['Crypt'],,,,,,,,
sub_40C571,['Crypt'],,,,,,,,
sub_405D02,['Crypt'],,,,,,,,
sub_40B59E,['Crypt'],,,,,,,,
sub_4091FC,['Crypt'],,,,,,,,
sub_40A6A6,['Crypt'],,,,,,,,
sub_40693B,['Crypt'],,,,,,,,
sub_40D04D,['Crypt'],,,,,,,,
sub_406C25,['Crypt'],,,,,,,,
sub_4018B5,['Crypt'],,,,,,,,
sub_40FC4F,['Crypt'],,,,,,,,
sub_406A21,['Crypt'],,,,,,,,
sub_404574,['Crypt'],,,,,,,,
sub_403C79,['Crypt'],,,,,,,,
sub_40165D,['Crypt'],,,,,,,,
sub_402A57,['Crypt'],,,,,,,,
sub_40ADA1,['Crypt'],,,,,,,,
sub_401A31,['Crypt'],,,,,,,,
sub_40EA03,"['crypt', 'Crypt']",,,,,,,,
sub_4086AC,['Crypt'],,,,,,,,
sub_40F0D4,['Crypt'],,,,,,,,
sub_40520E,['Crypt'],,,,,,,,
sub_40ABF9,['Crypt'],,,,,,,,
