crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_408D8E,['Crypt'],sub_40A64B,['WriteFile'],sub_4027E1,"['FindFirstFile', 'FindNextFile']",sub_40FADC,['CreateFile'],sub_4066AB,['Snapshot']
sub_40DE34,['Crypt'],,,,,sub_40E075,['CreateFile'],,
sub_40DD64,['Crypt'],,,,,sub_40E739,['ReadFile'],,
sub_402A2B,['Crypt'],,,,,,,,
sub_40F498,['Crypt'],,,,,,,,
sub_4022AA,['Crypt'],,,,,,,,
sub_40B251,['Crypt'],,,,,,,,
sub_40D72A,['Crypt'],,,,,,,,
sub_4083F1,['Crypt'],,,,,,,,
sub_40D3F8,['Crypt'],,,,,,,,
sub_40E856,['Crypt'],,,,,,,,
sub_401B19,['Crypt'],,,,,,,,
sub_40820E,['Crypt'],,,,,,,,
sub_40A812,['Crypt'],,,,,,,,
sub_406311,['Crypt'],,,,,,,,
sub_4020F0,['Crypt'],,,,,,,,
sub_407C2F,['Crypt'],,,,,,,,
sub_40172E,['Crypt'],,,,,,,,
sub_4005ED,['Crypt'],,,,,,,,
sub_4097F0,['Crypt'],,,,,,,,
sub_409CA5,['Crypt'],,,,,,,,
sub_40ABB7,['Crypt'],,,,,,,,
sub_40E918,['Crypt'],,,,,,,,
sub_4067F9,['Crypt'],,,,,,,,
sub_40F2B4,['Crypt'],,,,,,,,
sub_40DA43,['Crypt'],,,,,,,,
sub_403D6D,['Crypt'],,,,,,,,
sub_4039AA,['Crypt'],,,,,,,,
sub_4097FF,['Crypt'],,,,,,,,
sub_404968,['Crypt'],,,,,,,,
sub_40CA0D,['Crypt'],,,,,,,,
sub_40662B,['Crypt'],,,,,,,,
sub_402ABF,['Crypt'],,,,,,,,
sub_40E398,['Crypt'],,,,,,,,
sub_408C1A,['Crypt'],,,,,,,,
sub_402FE6,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40438C,['Crypt'],,,,,,,,
sub_4062C2,['Crypt'],,,,,,,,
sub_400F54,['Crypt'],,,,,,,,
sub_40965B,['Crypt'],,,,,,,,
sub_403054,['Crypt'],,,,,,,,
sub_407665,['Crypt'],,,,,,,,
sub_4060BC,['Crypt'],,,,,,,,
sub_40DCE1,['Crypt'],,,,,,,,
sub_40AE12,['Crypt'],,,,,,,,
sub_406B41,['Crypt'],,,,,,,,
sub_40BA50,['Crypt'],,,,,,,,
sub_401550,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40DE5D,['Crypt'],,,,,,,,
sub_40F591,['Crypt'],,,,,,,,
sub_40DC48,['Crypt'],,,,,,,,
sub_407863,['Crypt'],,,,,,,,
sub_40E396,['Crypt'],,,,,,,,
sub_404F8F,['Crypt'],,,,,,,,
sub_4077B0,['Crypt'],,,,,,,,
sub_40968C,['Crypt'],,,,,,,,
sub_4034E9,['Crypt'],,,,,,,,
sub_40999F,['Crypt'],,,,,,,,
sub_40C0E6,['Crypt'],,,,,,,,
sub_405B00,['Crypt'],,,,,,,,
sub_40CC13,['Crypt'],,,,,,,,
sub_404150,['Crypt'],,,,,,,,
sub_4014EF,['Crypt'],,,,,,,,
sub_401102,['Crypt'],,,,,,,,
sub_403B39,['Crypt'],,,,,,,,
sub_40ACFC,['Crypt'],,,,,,,,
sub_408782,['Crypt'],,,,,,,,
sub_40F28D,['Crypt'],,,,,,,,
sub_40F728,['Crypt'],,,,,,,,
sub_40AF21,['Crypt'],,,,,,,,
sub_40F3D1,['Crypt'],,,,,,,,
sub_40BD6C,['Crypt'],,,,,,,,
sub_404ADC,['Crypt'],,,,,,,,
sub_40AB94,['Crypt'],,,,,,,,
sub_403781,['Crypt'],,,,,,,,
sub_40272C,['Crypt'],,,,,,,,
sub_40DF5B,['Crypt'],,,,,,,,
sub_404E69,['Crypt'],,,,,,,,
sub_40384F,['Crypt'],,,,,,,,
sub_403AB8,['Crypt'],,,,,,,,
sub_40DD1E,['Crypt'],,,,,,,,
sub_405679,['Crypt'],,,,,,,,
sub_40DFFD,['Crypt'],,,,,,,,
sub_40F3E1,['Crypt'],,,,,,,,
sub_402B1A,['Crypt'],,,,,,,,
sub_407D46,"['crypt', 'Crypt']",,,,,,,,
sub_40364B,['Crypt'],,,,,,,,
sub_4098B9,['Crypt'],,,,,,,,
sub_40C934,['Crypt'],,,,,,,,
sub_40751D,['Crypt'],,,,,,,,
sub_40969A,['Crypt'],,,,,,,,
sub_4001A9,['Crypt'],,,,,,,,
sub_40DE34,['Crypt'],,,,,,,,
sub_400B6B,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_407E13,['Crypt'],,,,,,,,
sub_40775D,['Crypt'],,,,,,,,
sub_40DBCA,['Crypt'],,,,,,,,
sub_4087DE,['Crypt'],,,,,,,,
sub_40106A,['Crypt'],,,,,,,,
sub_404BBC,['Crypt'],,,,,,,,
sub_40AAFB,['Crypt'],,,,,,,,
sub_406130,['Crypt'],,,,,,,,
sub_40784C,['Crypt'],,,,,,,,
sub_40F0D3,['Crypt'],,,,,,,,
sub_40F8FD,['Crypt'],,,,,,,,
sub_40BBC6,['Crypt'],,,,,,,,
sub_406F92,['Crypt'],,,,,,,,
sub_406841,['Crypt'],,,,,,,,
sub_40EC61,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40298B,['Crypt'],,,,,,,,
sub_401EFE,['Crypt'],,,,,,,,
sub_401378,['Crypt'],,,,,,,,
sub_406105,['Crypt'],,,,,,,,
sub_40D300,['Crypt'],,,,,,,,
sub_40B59D,['Crypt'],,,,,,,,
sub_401072,['Crypt'],,,,,,,,
sub_405682,['Crypt'],,,,,,,,
