crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_400494,['crypt'],sub_414479,['WriteFile'],sub_40C49C,"['FindFirstFile', 'FindNextFile']",,,sub_400494,['encrypted']
sub_40D97C,['crypt'],,,,,,,sub_4C8D03,['Snapshot']
sub_400138,['crypt'],,,,,,,,
sub_404474,['crypt'],,,,,,,,
sub_40AE32,['crypt'],,,,,,,,
sub_409AED,['crypt'],,,,,,,,
sub_400756,['crypt'],,,,,,,,
sub_40A095,['crypt'],,,,,,,,
sub_403F42,['crypt'],,,,,,,,
sub_404411,['crypt'],,,,,,,,
sub_40937A,['crypt'],,,,,,,,
sub_409758,['crypt'],,,,,,,,
sub_405E64,['crypt'],,,,,,,,
sub_4078B7,['crypt'],,,,,,,,
sub_402BF2,['crypt'],,,,,,,,
sub_40598A,['crypt'],,,,,,,,
sub_40432B,['crypt'],,,,,,,,
sub_4037D7,['crypt'],,,,,,,,
sub_407913,['crypt'],,,,,,,,
sub_40E211,['crypt'],,,,,,,,
sub_40E7F9,['crypt'],,,,,,,,
sub_4058F6,['crypt'],,,,,,,,
sub_4093FF,['crypt'],,,,,,,,
sub_40961E,['crypt'],,,,,,,,
sub_40C04D,['crypt'],,,,,,,,
sub_41B0D8,['crypt'],,,,,,,,
sub_419988,['crypt'],,,,,,,,
sub_418430,['crypt'],,,,,,,,
sub_4134A1,['crypt'],,,,,,,,
sub_41AE5E,['crypt'],,,,,,,,
sub_417419,['crypt'],,,,,,,,
sub_41D8F1,['crypt'],,,,,,,,
sub_41D2C9,['crypt'],,,,,,,,
sub_41EF4D,['crypt'],,,,,,,,
sub_414361,['crypt'],,,,,,,,
sub_417B4C,['crypt'],,,,,,,,
sub_414D8C,['crypt'],,,,,,,,
sub_412D0B,['crypt'],,,,,,,,
sub_418D68,['crypt'],,,,,,,,
sub_417FC5,['crypt'],,,,,,,,
sub_41468C,['crypt'],,,,,,,,
sub_41C925,['crypt'],,,,,,,,
sub_411B05,['crypt'],,,,,,,,
sub_41C65B,['crypt'],,,,,,,,
sub_41A4F3,['crypt'],,,,,,,,
sub_417442,['crypt'],,,,,,,,
sub_416F4A,['crypt'],,,,,,,,
sub_41FDCA,['crypt'],,,,,,,,
sub_415DDA,['crypt'],,,,,,,,
sub_415528,['crypt'],,,,,,,,
sub_413FCD,['crypt'],,,,,,,,
sub_419982,['crypt'],,,,,,,,
sub_418798,['crypt'],,,,,,,,
sub_419903,['crypt'],,,,,,,,
sub_419A35,['crypt'],,,,,,,,
sub_41C8AC,['crypt'],,,,,,,,
sub_4161E7,['crypt'],,,,,,,,
sub_413FB2,['crypt'],,,,,,,,
sub_41AFBE,['crypt'],,,,,,,,
sub_41BF27,['crypt'],,,,,,,,
sub_41586B,['crypt'],,,,,,,,
sub_411D2B,['crypt'],,,,,,,,
sub_411EF5,['crypt'],,,,,,,,
sub_410D50,['crypt'],,,,,,,,
sub_414916,['crypt'],,,,,,,,
sub_41F07B,['crypt'],,,,,,,,
sub_410736,['crypt'],,,,,,,,
sub_415F3A,['crypt'],,,,,,,,
sub_4197C8,['crypt'],,,,,,,,
sub_4112B7,['crypt'],,,,,,,,
sub_4129B5,['crypt'],,,,,,,,
sub_41F03C,['crypt'],,,,,,,,
sub_411415,['crypt'],,,,,,,,
sub_41D87C,['crypt'],,,,,,,,
sub_41BA28,['crypt'],,,,,,,,
sub_41B41D,['crypt'],,,,,,,,
