crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40E15A,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_4076FE,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_40ACB8,['RijnDael_AES_LONG'],sub_401715,['WriteFile'],sub_401715,"['FindFirstFile', 'FindNextFile']",sub_4076FE,['CreateFile'],,
Function,['crypt'],,,,,sub_401715,['CreateFile'],,
sub_40371D,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_40BEFD,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_403524,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_407EA4,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_401A83,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_404240,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
