crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_400F3C,"['crypt', 'Crypt']",sub_407D34,['WriteFile'],sub_40F9F8,"['FindFirstFile', 'FindNextFile']",sub_40CBA5,['ReadFile'],sub_40ABE3,['Snapshot']
sub_40703B,"['crypt', 'Encrypt']",sub_40CBA5,['WriteFile'],sub_40703B,['PathFindFileName'],sub_40703B,['CreateFile'],sub_40703B,['encrypted']
sub_400D96,"['crypt', 'Encrypt']",sub_40703B,['WriteFile'],sub_40640B,['PathFindFileName'],sub_400D96,['CreateFile'],sub_400D96,['encrypted']
sub_409168,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",sub_400D96,['WriteFile'],sub_40FFC3,"['FindFirstFile', 'FindNextFile']",sub_4080F6,['CreateFile'],sub_403149,['Snapshot']
sub_408BAE,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",sub_4080F6,['WriteFile'],,,sub_416416,['CreateFile'],,
sub_402F54,Potential encryption or cryptographic hash function involving data content and multiple bitwise operations.,sub_40FFC3,"['MoveFile', 'DeleteFile']",,,,,,
sub_401596,"The function appears to perform complex bitwise operations and data manipulation consistent with cryptographic algorithms, potentially similar to hash functions or block ciphers.",sub_40981F,['MoveFile'],,,,,,
sub_40F3A0,Potential encryption or modification of data content read into memory. The function involves multiple bitwise operations on data arrays and matches the general characteristics of a cryptographic function.,sub_416353,['WriteFile'],,,,,,
sub_40CCCD,Potential encryption or modification of data content using values and operations that suggest structured transformation consistent with encryption algorithms.,sub_41AA24,['WriteFile'],,,,,,
sub_40AD08,Potential encryption or modification of data content read into memory. The function involves XOR operations and uses lookup tables for modification.,,,,,,,,
sub_40844F,Potential encryption function involving various bitwise operations and rotations.,,,,,,,,
sub_40AB48,"This function appears to be setting up tables and constants used in AES encryption, including S-box initialization and lookup tables common in block cipher algorithms.",,,,,,,,
sub_4120A3,This function appears to implement AES encryption operations using Intel's AES-NI instruction set.,,,,,,,,
sub_414B5C,This function appears to be performing AES encryption based on the usage of AES instructions such as aesenc and aesenclast.,,,,,,,,
