crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40FEF9,"['Crypt', 'CryptAcquireContext']",sub_402AF9,['WriteFile'],sub_407367,"['FindFirstFile', 'FindNextFile']",sub_4050DA,['CreateFile'],sub_40B589,['Snapshot']
sub_407F63,"['CryptGenRandom', 'crypt', 'Crypt']",sub_407F63,"['MoveFile', 'WriteFile']",sub_40786B,"['FindFirstFile', 'FindNextFile']",sub_407F63,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_407367,['WriteFile'],,,sub_407367,['CreateFile'],,
sub_401A3B,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_40CB52,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_41C052,"Function sub_41C052 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_41A45F,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_400C26,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_41CDBC,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_403C2A,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
