crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4DACCB,['RijnDael_AES_LONG'],sub_409DD4,['WriteFile'],sub_407CCC,['FindFirstFile'],sub_427306,['CreateFile'],,
sub_4DB126,['RijnDael_AES_inv_LONG'],sub_40DDA1,['WriteFile'],sub_40EFBE,['FindFirstFile'],sub_42AB8D,['CreateFile'],,
sub_4DCED2,['crypt'],sub_42047F,['WriteFile'],sub_4D750A,['FindFirstFile'],sub_4298AB,['ReadFile'],,
sub_40E448,['crypt'],sub_429830,['WriteFile'],sub_4D46E2,['FindFirstFile'],sub_4D4DE9,['CreateFile'],,
sub_4D0258,['crypt'],sub_4D0258,['WriteFile'],sub_4EBB4B,['FindFirstFile'],sub_4D56B3,"['CreateFile', 'ReadFile']",,
sub_4D21B2,['crypt'],sub_4D21B2,['WriteFile'],sub_4E924D,['FindNextFile'],sub_40E448,"['CreateFile', 'ReadFile']",,
sub_4DB605,['crypt'],sub_4EE9C1,['WriteFile'],,,sub_4D0258,['CreateFile'],,
sub_4E924D,['crypt'],sub_4E10ED,['WriteFile'],,,sub_4D21B2,['CreateFile'],,
sub_4D6E56,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4EA981,"['MoveFile', 'DeleteFile']",,,sub_4E7821,['CreateFile'],,
sub_4DF1F4,Function performing Base64 encoding on input data.,,,,,sub_4EE9C1,['ReadFile'],,
,,,,,,sub_4E10ED,['CreateFile'],,
,,,,,,sub_4EBEE6,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E573E,['CreateFile'],,
