crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40B2E9,['Crypt'],,,sub_40AC10,"['FindFirstFile', 'FindNextFile']",,,sub_405FC7,['Snapshot']
sub_402EC6,['Crypt'],,,sub_40202E,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_4092A8,['Crypt'],,,sub_406939,"['FindFirstFile', 'FindNextFile']",,,sub_45B874,['encrypted']
sub_40B9DB,['Crypt'],,,sub_40601E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40749C,['Crypt'],,,sub_406F7A,"['FindFirstFile', 'FindNextFile']",,,,
sub_409726,['Crypt'],,,sub_40996F,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A302,['Crypt'],,,sub_402456,"['FindFirstFile', 'FindNextFile']",,,,
sub_40CFFE,['Crypt'],,,sub_417469,"['FindFirstFile', 'FindNextFile']",,,,
sub_401045,['Crypt'],,,sub_41BC2E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A271,['Crypt'],,,sub_41FEC6,"['FindFirstFile', 'FindNextFile']",,,,
sub_409330,['Crypt'],,,,,,,,
sub_40E100,['Crypt'],,,,,,,,
sub_407931,['Crypt'],,,,,,,,
sub_40549E,['Crypt'],,,,,,,,
sub_401CDD,['Crypt'],,,,,,,,
sub_4035B0,['Crypt'],,,,,,,,
sub_403886,['Crypt'],,,,,,,,
sub_40E59F,['Crypt'],,,,,,,,
sub_40A2A6,['Crypt'],,,,,,,,
sub_403232,['Crypt'],,,,,,,,
sub_40264D,['Crypt'],,,,,,,,
sub_40C61D,['Crypt'],,,,,,,,
sub_40EFAA,['Crypt'],,,,,,,,
sub_40A6C4,['Crypt'],,,,,,,,
sub_4057A3,['Crypt'],,,,,,,,
sub_400965,['Crypt'],,,,,,,,
sub_402BCC,['Crypt'],,,,,,,,
sub_40855F,['Crypt'],,,,,,,,
sub_40696F,['Crypt'],,,,,,,,
sub_407B98,['Crypt'],,,,,,,,
sub_401673,['Crypt'],,,,,,,,
sub_40E325,['Crypt'],,,,,,,,
sub_402EDE,['Crypt'],,,,,,,,
sub_40DF60,['Crypt'],,,,,,,,
sub_40A333,['Crypt'],,,,,,,,
sub_400DFB,['Crypt'],,,,,,,,
sub_407F07,['Crypt'],,,,,,,,
sub_40D62F,['Crypt'],,,,,,,,
