crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4090C4,['crypt'],sub_41130B,['WriteFile'],sub_40B77B,"['FindFirstFile', 'FindNextFile']",,,sub_4090C4,['encrypted']
sub_40A24C,['crypt'],,,,,,,sub_4C059A,['Snapshot']
sub_40EA01,['crypt'],,,,,,,,
sub_400C6A,['crypt'],,,,,,,,
sub_409B39,['crypt'],,,,,,,,
sub_40DBB5,['crypt'],,,,,,,,
sub_406534,['crypt'],,,,,,,,
sub_403D24,['crypt'],,,,,,,,
sub_40FEE9,['crypt'],,,,,,,,
sub_40BC69,['crypt'],,,,,,,,
sub_40C73A,['crypt'],,,,,,,,
sub_40FCC3,['crypt'],,,,,,,,
sub_40AF06,['crypt'],,,,,,,,
sub_4039F2,['crypt'],,,,,,,,
sub_40F475,['crypt'],,,,,,,,
sub_4039F0,['crypt'],,,,,,,,
sub_40CD5C,['crypt'],,,,,,,,
sub_403938,['crypt'],,,,,,,,
sub_40A85A,['crypt'],,,,,,,,
sub_405028,['crypt'],,,,,,,,
sub_404E9B,['crypt'],,,,,,,,
sub_4014B7,['crypt'],,,,,,,,
sub_4089F8,['crypt'],,,,,,,,
sub_40382A,['crypt'],,,,,,,,
sub_40A3B8,['crypt'],,,,,,,,
sub_419AE6,['crypt'],,,,,,,,
sub_4105EB,['crypt'],,,,,,,,
sub_419B0B,['crypt'],,,,,,,,
sub_412310,['crypt'],,,,,,,,
sub_41F8A3,['crypt'],,,,,,,,
sub_41490F,['crypt'],,,,,,,,
sub_415CA8,['crypt'],,,,,,,,
sub_4119D4,['crypt'],,,,,,,,
sub_416884,['crypt'],,,,,,,,
sub_413505,['crypt'],,,,,,,,
sub_418919,['crypt'],,,,,,,,
sub_41AC49,['crypt'],,,,,,,,
sub_41DECB,['crypt'],,,,,,,,
sub_416EE9,['crypt'],,,,,,,,
sub_414FD5,['crypt'],,,,,,,,
sub_414A5D,['crypt'],,,,,,,,
sub_418601,['crypt'],,,,,,,,
sub_41C014,['crypt'],,,,,,,,
sub_41B836,['crypt'],,,,,,,,
sub_41B075,['crypt'],,,,,,,,
sub_41611C,['crypt'],,,,,,,,
sub_41015E,['crypt'],,,,,,,,
sub_41F9B8,['crypt'],,,,,,,,
sub_41F0A5,['crypt'],,,,,,,,
sub_4194A9,['crypt'],,,,,,,,
sub_41AB28,['crypt'],,,,,,,,
sub_41E928,['crypt'],,,,,,,,
sub_419282,['crypt'],,,,,,,,
sub_41A8F3,['crypt'],,,,,,,,
sub_41CF43,['crypt'],,,,,,,,
sub_41188B,['crypt'],,,,,,,,
sub_411BCA,['crypt'],,,,,,,,
