crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40688C,['Crypt'],,,sub_40C3BC,"['FindFirstFile', 'FindNextFile']",,,sub_400280,['Snapshot']
sub_40A9E8,['Crypt'],,,sub_4001A8,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_407772,['Crypt'],,,sub_40E6AB,"['FindFirstFile', 'FindNextFile']",,,sub_4576A7,['encrypted']
sub_40B823,['Crypt'],,,sub_405CCA,"['FindFirstFile', 'FindNextFile']",,,,
sub_402D86,['Crypt'],,,sub_40F781,"['FindFirstFile', 'FindNextFile']",,,,
sub_40309C,['Crypt'],,,sub_40EC97,"['FindFirstFile', 'FindNextFile']",,,,
sub_40E91F,['Crypt'],,,sub_402326,"['FindFirstFile', 'FindNextFile']",,,,
sub_406992,['Crypt'],,,sub_4189D3,"['FindFirstFile', 'FindNextFile']",,,,
sub_405C33,['Crypt'],,,sub_41A87E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40E01B,['Crypt'],,,sub_411F47,"['FindFirstFile', 'FindNextFile']",,,,
sub_404B65,['Crypt'],,,,,,,,
sub_40D8DC,['Crypt'],,,,,,,,
sub_40FAA5,['Crypt'],,,,,,,,
sub_40B81D,['Crypt'],,,,,,,,
sub_4019B0,['Crypt'],,,,,,,,
sub_40D1BC,['Crypt'],,,,,,,,
sub_403B25,['Crypt'],,,,,,,,
sub_40B57A,['Crypt'],,,,,,,,
sub_406004,['Crypt'],,,,,,,,
sub_401F9A,['Crypt'],,,,,,,,
sub_40B835,['Crypt'],,,,,,,,
sub_40F59F,['Crypt'],,,,,,,,
sub_407222,['Crypt'],,,,,,,,
sub_40C462,['Crypt'],,,,,,,,
sub_40B280,['Crypt'],,,,,,,,
sub_409822,['Crypt'],,,,,,,,
sub_40AD9E,['Crypt'],,,,,,,,
sub_40E8BC,['Crypt'],,,,,,,,
sub_40B6E8,['Crypt'],,,,,,,,
sub_40EC4F,['Crypt'],,,,,,,,
sub_40516D,['Crypt'],,,,,,,,
sub_409263,['Crypt'],,,,,,,,
sub_40705D,['Crypt'],,,,,,,,
sub_40BA2E,['Crypt'],,,,,,,,
sub_40688D,['Crypt'],,,,,,,,
sub_40BF69,['Crypt'],,,,,,,,
sub_40DBC5,['Crypt'],,,,,,,,
sub_40DB79,['Crypt'],,,,,,,,
sub_40D75B,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_405F05,['Crypt'],,,,,,,,
sub_40AAC2,['Crypt'],,,,,,,,
sub_401290,['Crypt'],,,,,,,,
sub_40A7E0,['Crypt'],,,,,,,,
sub_40E09A,['Crypt'],,,,,,,,
sub_40F80B,['Crypt'],,,,,,,,
sub_406E92,['Crypt'],,,,,,,,
sub_407030,['Crypt'],,,,,,,,
sub_40B4FD,['Crypt'],,,,,,,,
sub_40F482,['Crypt'],,,,,,,,
sub_40CC99,['Crypt'],,,,,,,,
sub_405A02,['Crypt'],,,,,,,,
sub_4087B5,['Crypt'],,,,,,,,
sub_409652,['Crypt'],,,,,,,,
sub_4086FE,['Crypt'],,,,,,,,
sub_40C2C5,['Crypt'],,,,,,,,
sub_402C23,['Crypt'],,,,,,,,
sub_403FDB,['Crypt'],,,,,,,,
sub_409EED,['Crypt'],,,,,,,,
sub_40A91A,['Crypt'],,,,,,,,
sub_40C495,['Crypt'],,,,,,,,
sub_4002D7,['Crypt'],,,,,,,,
sub_40FBC9,['Crypt'],,,,,,,,
sub_40C875,['Crypt'],,,,,,,,
sub_40AD98,['Crypt'],,,,,,,,
sub_401EF9,['Crypt'],,,,,,,,
sub_40335E,['Crypt'],,,,,,,,
sub_409EFD,['Crypt'],,,,,,,,
sub_40C204,['Crypt'],,,,,,,,
sub_40491C,['Crypt'],,,,,,,,
sub_40C3BC,['crypt'],,,,,,,,
sub_4189D3,['crypt'],,,,,,,,
sub_41A87E,['crypt'],,,,,,,,
sub_414F71,['Crypt'],,,,,,,,
sub_412795,['Crypt'],,,,,,,,
sub_41CD6A,['Crypt'],,,,,,,,
sub_41E50C,['Crypt'],,,,,,,,
sub_412DB7,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_4119F2,['Crypt'],,,,,,,,
sub_4117F9,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_415F7E,['Crypt'],,,,,,,,
