crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40A51B,['Crypt'],,,sub_400C30,"['FindFirstFile', 'FindNextFile']",,,sub_40F19B,['Snapshot']
sub_4066CD,['Crypt'],,,sub_40D7C5,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40FD70,['Crypt'],,,sub_40F433,"['FindFirstFile', 'FindNextFile']",,,sub_4564BE,['encrypted']
sub_40709E,['Crypt'],,,sub_405B65,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F640,['Crypt'],,,sub_402E7D,"['FindFirstFile', 'FindNextFile']",,,,
sub_404FC0,['Crypt'],,,sub_40426E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A5A6,['Crypt'],,,sub_4078A6,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F406,['Crypt'],,,sub_4126EF,"['FindFirstFile', 'FindNextFile']",,,,
sub_405F12,['Crypt'],,,sub_41EA90,"['FindFirstFile', 'FindNextFile']",,,,
sub_405DBF,['Crypt'],,,sub_41CF08,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D211,['Crypt'],,,,,,,,
sub_40CB59,['Crypt'],,,,,,,,
sub_40E019,['Crypt'],,,,,,,,
sub_40A05D,['Crypt'],,,,,,,,
sub_40EBFB,['Crypt'],,,,,,,,
sub_4096AA,['Crypt'],,,,,,,,
sub_40729E,['Crypt'],,,,,,,,
sub_40815F,['Crypt'],,,,,,,,
sub_404B1F,['Crypt'],,,,,,,,
sub_40B666,['Crypt'],,,,,,,,
sub_40AAAD,['Crypt'],,,,,,,,
sub_403B55,['Crypt'],,,,,,,,
sub_40A1E7,['Crypt'],,,,,,,,
sub_40F9AC,['Crypt'],,,,,,,,
sub_40F298,['Crypt'],,,,,,,,
sub_4050EC,['Crypt'],,,,,,,,
sub_40FABB,['Crypt'],,,,,,,,
sub_4079F1,['Crypt'],,,,,,,,
sub_406A39,['Crypt'],,,,,,,,
sub_403805,['Crypt'],,,,,,,,
sub_40DFD9,['Crypt'],,,,,,,,
sub_40D4CF,['Crypt'],,,,,,,,
