crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41985A,['crypt'],sub_403BBA,['WriteFile'],,,sub_40CACC,['CreateFile'],,
sub_417938,['crypt'],sub_4092D8,['WriteFile'],,,sub_40827C,['CreateFile'],,
sub_41C848,['crypt'],sub_407E65,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_414A6B,['crypt'],sub_42343E,['WriteFile'],,,sub_407E65,['CreateFile'],,
sub_4113C9,['crypt'],,,,,,,,
sub_41DD14,['crypt'],,,,,,,,
sub_4129D3,['crypt'],,,,,,,,
sub_41D1CF,['crypt'],,,,,,,,
sub_41641A,['crypt'],,,,,,,,
sub_41BCFB,['crypt'],,,,,,,,
sub_419414,['crypt'],,,,,,,,
sub_4145FC,['crypt'],,,,,,,,
sub_41845A,['crypt'],,,,,,,,
sub_429E76,['crypt'],,,,,,,,
sub_42B467,['crypt'],,,,,,,,
sub_42A22D,['crypt'],,,,,,,,
sub_42AA2B,['crypt'],,,,,,,,
sub_42AD36,['crypt'],,,,,,,,
sub_424F87,['crypt'],,,,,,,,
sub_42A267,['crypt'],,,,,,,,
sub_42F007,['crypt'],,,,,,,,
sub_42186E,['crypt'],,,,,,,,
sub_42FDCD,['crypt'],,,,,,,,
sub_42DA01,['crypt'],,,,,,,,
sub_41459E,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_418FEC,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_410D5F,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41C3CF,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41AE13,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
