crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_147E112F0,['crypt'],main,['WriteFile'],sub_14B3E5180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_147E11470,['crypt'],sub_146A62670,['WriteFile'],sub_14B3E5690,"['FindFirstFile', 'FindNextFile']",sub_148ECF7FC,['CreateFile'],,
sub_147E11550,['crypt'],,,sub_14B3E5BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_147E11690,['crypt'],,,,,,,,
sub_147E117A0,['crypt'],,,,,,,,
sub_147E11B00,['crypt'],,,,,,,,
sub_147E11CD0,['crypt'],,,,,,,,
sub_147E11F20,['crypt'],,,,,,,,
sub_14A6BB080,['crypt'],,,,,,,,
sub_14A6BB390,['crypt'],,,,,,,,
sub_14A6BB600,['crypt'],,,,,,,,
sub_14A6BB6D0,['crypt'],,,,,,,,
sub_14A6BB920,['crypt'],,,,,,,,
sub_14A6BB980,['crypt'],,,,,,,,
sub_14A6BBA70,['crypt'],,,,,,,,
sub_14A6BBC10,['crypt'],,,,,,,,
sub_14A6BBFD0,['crypt'],,,,,,,,
sub_14A0A50A0,['crypt'],,,,,,,,
sub_14A0A5140,['crypt'],,,,,,,,
sub_14A0A5290,['crypt'],,,,,,,,
sub_14A0A5460,['crypt'],,,,,,,,
sub_14A0A5530,['crypt'],,,,,,,,
sub_14A0A57D0,['crypt'],,,,,,,,
sub_1413630C0,['crypt'],,,,,,,,
sub_141363A10,['crypt'],,,,,,,,
sub_141363B00,['crypt'],,,,,,,,
sub_141363C20,['crypt'],,,,,,,,
sub_141363D40,['crypt'],,,,,,,,
sub_144172440,['crypt'],,,,,,,,
sub_144172560,['crypt'],,,,,,,,
sub_1441728E0,['crypt'],,,,,,,,
sub_144172A70,['crypt'],,,,,,,,
sub_144172BF0,['crypt'],,,,,,,,
sub_144172C80,['crypt'],,,,,,,,
sub_144172E90,['crypt'],,,,,,,,
sub_144172FE0,['crypt'],,,,,,,,
sub_14F55D070,['crypt'],,,,,,,,
sub_14F55D1C0,['crypt'],,,,,,,,
sub_14F55D240,['crypt'],,,,,,,,
sub_14F55D2D0,['crypt'],,,,,,,,
sub_14F55D350,['crypt'],,,,,,,,
sub_14F55D650,['crypt'],,,,,,,,
sub_14F55DA60,['crypt'],,,,,,,,
sub_14F55DAB0,['crypt'],,,,,,,,
sub_14F55DB10,['crypt'],,,,,,,,
sub_14F55DBE0,['crypt'],,,,,,,,
sub_14F55DD20,['crypt'],,,,,,,,
sub_14F55DD80,['crypt'],,,,,,,,
sub_14F55DDD0,['crypt'],,,,,,,,
sub_14F55DE30,['crypt'],,,,,,,,
sub_1492F9010,['crypt'],,,,,,,,
sub_1492F9090,['crypt'],,,,,,,,
sub_1492F90E0,['crypt'],,,,,,,,
sub_1492F9150,['crypt'],,,,,,,,
sub_1492F91E0,['crypt'],,,,,,,,
sub_1492F9300,['crypt'],,,,,,,,
sub_1492F9380,['crypt'],,,,,,,,
sub_1492F9400,['crypt'],,,,,,,,
sub_1492F9480,['crypt'],,,,,,,,
sub_1492F9500,['crypt'],,,,,,,,
