crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_6BB773,['crypt'],,,,,sub_6CF5DE,['ReadFile'],sub_6BB773,['encrypted']
sub_6B3C36,['crypt'],,,,,,,sub_6BEFA4,['encrypted']
sub_6BEFA4,['crypt'],,,,,,,sub_6F726B,['encrypted']
sub_6E4254,['Crypt'],,,,,,,sub_6F45E2,['encrypted']
sub_6E4878,['Crypt'],,,,,,,,
sub_6EAB61,['Crypt'],,,,,,,,
sub_6F63FA,['Crypt'],,,,,,,,
sub_6F237E,['Crypt'],,,,,,,,
sub_6FF2F0,['Crypt'],,,,,,,,
sub_6F9C24,['Crypt'],,,,,,,,
sub_6FC8E6,['Crypt'],,,,,,,,
sub_6FE78E,['Crypt'],,,,,,,,
sub_6F373A,['Crypt'],,,,,,,,
sub_6F8DB4,['Crypt'],,,,,,,,
sub_6FF0BC,['Crypt'],,,,,,,,
sub_6F595E,['Crypt'],,,,,,,,
sub_6FBCED,['Crypt'],,,,,,,,
sub_6FE3E3,['Crypt'],,,,,,,,
sub_6F3BAC,['Crypt'],,,,,,,,
sub_6F1396,['Crypt'],,,,,,,,
sub_6F0CEA,['Crypt'],,,,,,,,
sub_6F51C4,['Crypt'],,,,,,,,
sub_6FBCAF,['Crypt'],,,,,,,,
sub_6FAE69,['Crypt'],,,,,,,,
sub_6F18B2,['Crypt'],,,,,,,,
sub_6FD77D,['Crypt'],,,,,,,,
sub_6F5EF9,['Crypt'],,,,,,,,
sub_6F35C6,['Crypt'],,,,,,,,
sub_6F24B1,['Crypt'],,,,,,,,
sub_6F53B3,['Crypt'],,,,,,,,
sub_6F0101,['Crypt'],,,,,,,,
sub_6F5DB3,['Crypt'],,,,,,,,
sub_6F8966,['Crypt'],,,,,,,,
sub_6F160B,['Crypt'],,,,,,,,
sub_6F43F9,"['crypt', 'Crypt']",,,,,,,,
sub_6F4A2C,['Crypt'],,,,,,,,
sub_6FE121,['Crypt'],,,,,,,,
sub_6F10CE,['Crypt'],,,,,,,,
sub_6FA247,['Crypt'],,,,,,,,
sub_6F5046,['Crypt'],,,,,,,,
sub_6F64F9,['Crypt'],,,,,,,,
sub_6F0B48,"['crypt', 'Crypt']",,,,,,,,
sub_6FFE94,['Crypt'],,,,,,,,
sub_6FB2D4,['Crypt'],,,,,,,,
sub_6F9FBA,['Crypt'],,,,,,,,
sub_6FE389,['Crypt'],,,,,,,,
sub_6F9159,['Crypt'],,,,,,,,
sub_6F42C0,"['crypt', 'Crypt']",,,,,,,,
sub_6F6939,['Crypt'],,,,,,,,
sub_6F726B,['crypt'],,,,,,,,
sub_6F45E2,['crypt'],,,,,,,,
sub_700E41,['Crypt'],,,,,,,,
sub_7049B9,['Crypt'],,,,,,,,
sub_706148,['Crypt'],,,,,,,,
sub_701510,"['crypt', 'Crypt']",,,,,,,,
sub_704AAE,['Crypt'],,,,,,,,
sub_704B3C,"['crypt', 'Crypt']",,,,,,,,
sub_70FB11,"['crypt', 'Crypt']",,,,,,,,
sub_70C83D,"['crypt', 'Crypt']",,,,,,,,
sub_706E97,"['crypt', 'Crypt']",,,,,,,,
sub_70BD3D,"['crypt', 'Crypt']",,,,,,,,
sub_70F8CB,"['crypt', 'Crypt']",,,,,,,,
sub_707872,"['crypt', 'Crypt']",,,,,,,,
sub_709F1F,['Crypt'],,,,,,,,
sub_705A08,['Crypt'],,,,,,,,
sub_700259,['Crypt'],,,,,,,,
sub_70161E,['Crypt'],,,,,,,,
sub_702A81,['Crypt'],,,,,,,,
sub_70D49D,"['crypt', 'Crypt']",,,,,,,,
sub_70CA9D,"['crypt', 'Crypt']",,,,,,,,
sub_70F9D9,['Crypt'],,,,,,,,
sub_7068A5,['Crypt'],,,,,,,,
sub_708163,['Crypt'],,,,,,,,
sub_7099F7,['Crypt'],,,,,,,,
sub_702537,['Crypt'],,,,,,,,
sub_70FA0B,['Crypt'],,,,,,,,
