crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_407D8B,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_40C7CC,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_406C21,['RijnDael_AES_LONG'],sub_401D0F,['WriteFile'],sub_401D0F,"['FindFirstFile', 'FindNextFile']",sub_40C7CC,['CreateFile'],,
Function,['crypt'],,,,,sub_401D0F,['CreateFile'],,
sub_4009B6,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_40442B,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_400824,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_401D0D,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_40A0AA,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_407668,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
