crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40AFA9,['Crypt'],sub_4004C5,['WriteFile'],sub_40C5CA,"['FindFirstFile', 'FindNextFile']",sub_405EAB,['CreateFile'],sub_40E22A,['Snapshot']
sub_401CE0,['Crypt'],,,,,sub_4095B1,['CreateFile'],,
sub_40DC62,['Crypt'],,,,,sub_40EDF8,['ReadFile'],,
sub_409E73,['Crypt'],,,,,,,,
sub_40A669,['Crypt'],,,,,,,,
sub_4009E3,['Crypt'],,,,,,,,
sub_40F131,['Crypt'],,,,,,,,
sub_40712E,['Crypt'],,,,,,,,
sub_406BF0,['Crypt'],,,,,,,,
sub_40B089,['Crypt'],,,,,,,,
sub_400923,['Crypt'],,,,,,,,
sub_404110,['Crypt'],,,,,,,,
sub_40F9BC,['Crypt'],,,,,,,,
sub_4054EA,['Crypt'],,,,,,,,
sub_40E758,['Crypt'],,,,,,,,
sub_40B0E7,['Crypt'],,,,,,,,
sub_40FDD1,['Crypt'],,,,,,,,
sub_40A561,['Crypt'],,,,,,,,
sub_402CE4,['Crypt'],,,,,,,,
sub_4086A6,['Crypt'],,,,,,,,
sub_40F58B,['Crypt'],,,,,,,,
sub_40CC09,['Crypt'],,,,,,,,
sub_40C6B2,['Crypt'],,,,,,,,
sub_4056F1,['Crypt'],,,,,,,,
sub_404DE5,['Crypt'],,,,,,,,
sub_408F87,['Crypt'],,,,,,,,
sub_40C624,['Crypt'],,,,,,,,
sub_408217,['Crypt'],,,,,,,,
sub_409108,['Crypt'],,,,,,,,
sub_40B345,['Crypt'],,,,,,,,
sub_405C58,['Crypt'],,,,,,,,
sub_40F145,['Crypt'],,,,,,,,
sub_406C9C,['Crypt'],,,,,,,,
sub_404728,['Crypt'],,,,,,,,
sub_4064A8,['Crypt'],,,,,,,,
sub_40FE70,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40FB0A,['Crypt'],,,,,,,,
sub_40807C,['Crypt'],,,,,,,,
sub_40C4D3,['Crypt'],,,,,,,,
sub_40EE88,['Crypt'],,,,,,,,
sub_40C067,['Crypt'],,,,,,,,
sub_404232,['Crypt'],,,,,,,,
sub_40ABC9,['Crypt'],,,,,,,,
sub_406678,['Crypt'],,,,,,,,
sub_409318,['Crypt'],,,,,,,,
sub_40E4D5,['Crypt'],,,,,,,,
sub_40509B,['Crypt'],,,,,,,,
sub_4070E0,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40817C,['Crypt'],,,,,,,,
sub_40C308,['Crypt'],,,,,,,,
sub_407E8E,['Crypt'],,,,,,,,
sub_409F0F,['Crypt'],,,,,,,,
sub_40104A,['Crypt'],,,,,,,,
sub_40D745,['Crypt'],,,,,,,,
sub_40C08E,['Crypt'],,,,,,,,
sub_40263F,['Crypt'],,,,,,,,
sub_40875A,['Crypt'],,,,,,,,
sub_40BF29,['Crypt'],,,,,,,,
sub_40D201,['Crypt'],,,,,,,,
sub_40F14B,['Crypt'],,,,,,,,
sub_403045,['Crypt'],,,,,,,,
sub_400198,['Crypt'],,,,,,,,
sub_4078E4,['Crypt'],,,,,,,,
sub_40C4BA,['Crypt'],,,,,,,,
sub_400AF0,['Crypt'],,,,,,,,
sub_4004ED,['Crypt'],,,,,,,,
