crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_142F502F0,['crypt'],main,['WriteFile'],sub_14D206180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_142F50470,['crypt'],sub_14A25D670,['WriteFile'],sub_14D206690,"['FindFirstFile', 'FindNextFile']",sub_1481C47FC,['CreateFile'],,
sub_142F50550,['crypt'],,,sub_14D206BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_142F50690,['crypt'],,,,,,,,
sub_142F507A0,['crypt'],,,,,,,,
sub_142F50B00,['crypt'],,,,,,,,
sub_142F50CD0,['crypt'],,,,,,,,
sub_142F50F20,['crypt'],,,,,,,,
sub_1400E0080,['crypt'],,,,,,,,
sub_1400E0390,['crypt'],,,,,,,,
sub_1400E0600,['crypt'],,,,,,,,
sub_1400E06D0,['crypt'],,,,,,,,
sub_1400E0920,['crypt'],,,,,,,,
sub_1400E0980,['crypt'],,,,,,,,
sub_1400E0A70,['crypt'],,,,,,,,
sub_1400E0C10,['crypt'],,,,,,,,
sub_1400E0FD0,['crypt'],,,,,,,,
sub_149C370A0,['crypt'],,,,,,,,
sub_149C37140,['crypt'],,,,,,,,
sub_149C37290,['crypt'],,,,,,,,
sub_149C37460,['crypt'],,,,,,,,
sub_149C37530,['crypt'],,,,,,,,
sub_149C377D0,['crypt'],,,,,,,,
sub_140C190C0,['crypt'],,,,,,,,
sub_140C19A10,['crypt'],,,,,,,,
sub_140C19B00,['crypt'],,,,,,,,
sub_140C19C20,['crypt'],,,,,,,,
sub_140C19D40,['crypt'],,,,,,,,
sub_145356440,['crypt'],,,,,,,,
sub_145356560,['crypt'],,,,,,,,
sub_1453568E0,['crypt'],,,,,,,,
sub_145356A70,['crypt'],,,,,,,,
sub_145356BF0,['crypt'],,,,,,,,
sub_145356C80,['crypt'],,,,,,,,
sub_145356E90,['crypt'],,,,,,,,
sub_145356FE0,['crypt'],,,,,,,,
sub_14D9E7070,['crypt'],,,,,,,,
sub_14D9E71C0,['crypt'],,,,,,,,
sub_14D9E7240,['crypt'],,,,,,,,
sub_14D9E72D0,['crypt'],,,,,,,,
sub_14D9E7350,['crypt'],,,,,,,,
sub_14D9E7650,['crypt'],,,,,,,,
sub_14D9E7A60,['crypt'],,,,,,,,
sub_14D9E7AB0,['crypt'],,,,,,,,
sub_14D9E7B10,['crypt'],,,,,,,,
sub_14D9E7BE0,['crypt'],,,,,,,,
sub_14D9E7D20,['crypt'],,,,,,,,
sub_14D9E7D80,['crypt'],,,,,,,,
sub_14D9E7DD0,['crypt'],,,,,,,,
sub_14D9E7E30,['crypt'],,,,,,,,
sub_14D3E2010,['crypt'],,,,,,,,
sub_14D3E2090,['crypt'],,,,,,,,
sub_14D3E20E0,['crypt'],,,,,,,,
sub_14D3E2150,['crypt'],,,,,,,,
sub_14D3E21E0,['crypt'],,,,,,,,
sub_14D3E2300,['crypt'],,,,,,,,
sub_14D3E2380,['crypt'],,,,,,,,
sub_14D3E2400,['crypt'],,,,,,,,
sub_14D3E2480,['crypt'],,,,,,,,
sub_14D3E2500,['crypt'],,,,,,,,
sub_14D3E2580,['crypt'],,,,,,,,
sub_14D3E2670,['crypt'],,,,,,,,
sub_14D3E2770,['crypt'],,,,,,,,
sub_14D3E27F0,['crypt'],,,,,,,,
sub_14D3E28F0,['crypt'],,,,,,,,
sub_14D3E29F0,['crypt'],,,,,,,,
sub_14D3E2A70,['crypt'],,,,,,,,
sub_14D3E2CC0,['crypt'],,,,,,,,
sub_14A25DA70,['crypt'],,,,,,,,
sub_14646AE00,['crypt'],,,,,,,,
sub_14646AF50,['crypt'],,,,,,,,
sub_1451DB3D0,['crypt'],,,,,,,,
sub_1451DB700,['crypt'],,,,,,,,
sub_1451DB890,['crypt'],,,,,,,,
sub_1451DB980,['crypt'],,,,,,,,
sub_1451DBA60,['crypt'],,,,,,,,
sub_1451DBC50,['crypt'],,,,,,,,
sub_1451DBCE0,['crypt'],,,,,,,,
sub_1451DBD20,['crypt'],,,,,,,,
sub_1451DBD70,['crypt'],,,,,,,,
sub_14DA331E0,['crypt'],,,,,,,,
sub_14DA33350,['crypt'],,,,,,,,
sub_14DA33520,['crypt'],,,,,,,,
sub_14DA336E0,['crypt'],,,,,,,,
sub_14DA337B0,['crypt'],,,,,,,,
sub_14DA33840,['crypt'],,,,,,,,
sub_147455200,['crypt'],,,,,,,,
sub_1474553B0,['crypt'],,,,,,,,
sub_1474559B0,['crypt'],,,,,,,,
sub_147455C40,['crypt'],,,,,,,,
sub_147455CD0,['crypt'],,,,,,,,
sub_147455D40,['crypt'],,,,,,,,
sub_148DA3040,['crypt'],,,,,,,,
sub_148DA3330,['crypt'],,,,,,,,
sub_148DA3500,['crypt'],,,,,,,,
sub_148DA3760,['crypt'],,,,,,,,
sub_148DA38D0,['crypt'],,,,,,,,
sub_148DA3D30,['crypt'],,,,,,,,
sub_148DA3EA0,['crypt'],,,,,,,,
sub_148DA3F50,['crypt'],,,,,,,,
sub_143A13000,['crypt'],,,,,,,,
sub_143A130B0,['crypt'],,,,,,,,
sub_143A131E0,['crypt'],,,,,,,,
sub_143A13500,['crypt'],,,,,,,,
sub_143A13970,['crypt'],,,,,,,,
sub_143A13A90,['crypt'],,,,,,,,
sub_143A13D60,['crypt'],,,,,,,,
sub_143A13E80,['crypt'],,,,,,,,
sub_143A13FE0,['crypt'],,,,,,,,
sub_14A6A61A0,['crypt'],,,,,,,,
sub_14A6A62C0,['crypt'],,,,,,,,
sub_14A6A6430,['crypt'],,,,,,,,
sub_14A6A6E50,['crypt'],,,,,,,,
sub_14B247AC0,['crypt'],,,,,,,,
sub_14B247DE0,['crypt'],,,,,,,,
sub_141DCF030,['crypt'],,,,,,,,
sub_141DCF0F0,['crypt'],,,,,,,,
sub_141DCF1A0,['crypt'],,,,,,,,
sub_145AB2070,['crypt'],,,,,,,,
sub_145AB2450,['crypt'],,,,,,,,
sub_145AB2A80,['crypt'],,,,,,,,
sub_140D46EA0,['crypt'],,,,,,,,
sub_1448F31E0,['crypt'],,,,,,,,
sub_1448F3380,['crypt'],,,,,,,,
sub_1448F3490,['crypt'],,,,,,,,
sub_1448F39E0,['crypt'],,,,,,,,
sub_146D1D4D0,['crypt'],,,,,,,,
sub_146D1D850,['crypt'],,,,,,,,
sub_146D1D930,['crypt'],,,,,,,,
sub_146D1DC70,['crypt'],,,,,,,,
sub_140387040,['Crypt'],,,,,,,,
sub_140387920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140387B70,['Crypt'],,,,,,,,
sub_140387ED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14BC545E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14BC546B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14BC548C0,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_14BC54F20,['Crypt'],,,,,,,,
sub_14C228120,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14C228520,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14C2288A0,['Crypt'],,,,,,,,
sub_14C228BF0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14C228F70,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14C5D9000,"['crypt', 'Crypt']",,,,,,,,
sub_14C5D92D0,['Crypt'],,,,,,,,
sub_14C5D9A80,['crypt'],,,,,,,,
sub_14C5D9BB0,['crypt'],,,,,,,,
sub_14C5D9C10,['crypt'],,,,,,,,
sub_14FB59050,['crypt'],,,,,,,,
sub_14FB590D0,['crypt'],,,,,,,,
sub_14FB59180,['crypt'],,,,,,,,
sub_14FB592F0,['crypt'],,,,,,,,
sub_14FB59410,['crypt'],,,,,,,,
sub_14FB59540,['crypt'],,,,,,,,
sub_14FB595E0,['crypt'],,,,,,,,
sub_14FB59710,['crypt'],,,,,,,,
sub_14FB597A0,['crypt'],,,,,,,,
sub_14FB59FD0,['crypt'],,,,,,,,
sub_14699BEA0,['crypt'],,,,,,,,
sub_14699BF30,['crypt'],,,,,,,,
sub_1443EE4B0,['crypt'],,,,,,,,
sub_1443EE8F0,['crypt'],,,,,,,,
sub_1443EEB30,['crypt'],,,,,,,,
sub_1443EEC90,['crypt'],,,,,,,,
sub_1443EEE00,['crypt'],,,,,,,,
sub_146033290,['crypt'],,,,,,,,
sub_1460334B0,['crypt'],,,,,,,,
sub_146033570,['crypt'],,,,,,,,
sub_146033640,['crypt'],,,,,,,,
sub_146033740,['crypt'],,,,,,,,
sub_146033980,['crypt'],,,,,,,,
sub_146033C20,['crypt'],,,,,,,,
sub_146033D80,['crypt'],,,,,,,,
sub_146033E50,['crypt'],,,,,,,,
sub_14D2132B0,['crypt'],,,,,,,,
sub_14D213710,['crypt'],,,,,,,,
sub_14D213AE0,['crypt'],,,,,,,,
sub_149C61260,['crypt'],,,,,,,,
sub_149C614D0,['crypt'],,,,,,,,
sub_149C61690,['crypt'],,,,,,,,
sub_149C61980,['crypt'],,,,,,,,
sub_149C61B10,['crypt'],,,,,,,,
sub_149C61B70,['crypt'],,,,,,,,
sub_149C61CA0,['crypt'],,,,,,,,
sub_149C61E40,['crypt'],,,,,,,,
sub_149C61EC0,['crypt'],,,,,,,,
sub_140629140,['crypt'],,,,,,,,
sub_1406293C0,['crypt'],,,,,,,,
sub_140629430,['crypt'],,,,,,,,
sub_140629AB0,['crypt'],,,,,,,,
sub_140629C70,['crypt'],,,,,,,,
sub_140629E60,['crypt'],,,,,,,,
sub_147367110,['crypt'],,,,,,,,
sub_147367C10,['crypt'],,,,,,,,
sub_147367D20,['crypt'],,,,,,,,
sub_14976EA00,['crypt'],,,,,,,,
sub_14976EED0,['crypt'],,,,,,,,
sub_140D65060,['crypt'],,,,,,,,
sub_140D65440,['crypt'],,,,,,,,
sub_144797080,['crypt'],,,,,,,,
sub_144797150,['crypt'],,,,,,,,
sub_144797580,['crypt'],,,,,,,,
sub_1447975E0,['crypt'],,,,,,,,
sub_144797A20,['crypt'],,,,,,,,
sub_144797C70,['crypt'],,,,,,,,
sub_144797E80,['crypt'],,,,,,,,
sub_144797F60,['crypt'],,,,,,,,
sub_1493D5790,['crypt'],,,,,,,,
sub_1493D5DC0,['crypt'],,,,,,,,
sub_1493D5E80,['crypt'],,,,,,,,
sub_14F3011A0,['crypt'],,,,,,,,
sub_14F301240,['crypt'],,,,,,,,
sub_14F3012D0,['crypt'],,,,,,,,
sub_14F301420,['crypt'],,,,,,,,
sub_14F3014A0,['crypt'],,,,,,,,
sub_14F301620,['crypt'],,,,,,,,
sub_14F301C70,['crypt'],,,,,,,,
sub_14F301D70,['crypt'],,,,,,,,
sub_143195B20,['crypt'],,,,,,,,
sub_1403131D0,['crypt'],,,,,,,,
sub_1403134C0,['crypt'],,,,,,,,
sub_1403137E0,['crypt'],,,,,,,,
sub_140313A70,['crypt'],,,,,,,,
sub_140313D90,['crypt'],,,,,,,,
sub_140313DE0,['crypt'],,,,,,,,
sub_14B8C33B0,['crypt'],,,,,,,,
sub_14B8C3790,['crypt'],,,,,,,,
sub_14B8C3880,['crypt'],,,,,,,,
sub_14B8C3E40,['crypt'],,,,,,,,
sub_14266E090,['crypt'],,,,,,,,
sub_14266E450,['crypt'],,,,,,,,
sub_14266E570,['crypt'],,,,,,,,
sub_14266E5D0,['crypt'],,,,,,,,
sub_14266E720,['crypt'],,,,,,,,
sub_14266E780,['crypt'],,,,,,,,
sub_14266EB90,['crypt'],,,,,,,,
sub_14266EEB0,['crypt'],,,,,,,,
sub_14464A020,['crypt'],,,,,,,,
sub_14464A160,['crypt'],,,,,,,,
sub_14464A2D0,['crypt'],,,,,,,,
sub_14464A430,['crypt'],,,,,,,,
sub_14464A640,['crypt'],,,,,,,,
sub_14464AB30,['crypt'],,,,,,,,
sub_14464ACF0,['crypt'],,,,,,,,
sub_14464AFA0,['crypt'],,,,,,,,
sub_14CDD2460,['crypt'],,,,,,,,
sub_14CDD2550,['crypt'],,,,,,,,
sub_14CDD2880,['crypt'],,,,,,,,
sub_14CDD2A00,['crypt'],,,,,,,,
sub_14CDD2B60,['crypt'],,,,,,,,
sub_14CDD2D30,['crypt'],,,,,,,,
sub_145CE8290,['crypt'],,,,,,,,
sub_145CE83B0,['crypt'],,,,,,,,
sub_145CE8560,['crypt'],,,,,,,,
sub_145CE8650,['crypt'],,,,,,,,
sub_145CE8AF0,['crypt'],,,,,,,,
sub_145CE8BE0,['crypt'],,,,,,,,
sub_145CE8EE0,['crypt'],,,,,,,,
sub_144DA5130,['crypt'],,,,,,,,
sub_144DA5890,['crypt'],,,,,,,,
sub_144DA5A90,['crypt'],,,,,,,,
sub_144DA5B90,['crypt'],,,,,,,,
sub_144DA5F00,['crypt'],,,,,,,,
sub_140496000,['crypt'],,,,,,,,
sub_140496090,['crypt'],,,,,,,,
sub_140496150,['crypt'],,,,,,,,
sub_1404965A0,['crypt'],,,,,,,,
sub_140496920,['crypt'],,,,,,,,
sub_140496990,['crypt'],,,,,,,,
sub_148FBC360,['crypt'],,,,,,,,
sub_148FBC650,['crypt'],,,,,,,,
sub_148FBC940,['crypt'],,,,,,,,
sub_148FBC9C0,['crypt'],,,,,,,,
sub_148FBCC70,['crypt'],,,,,,,,
sub_148FBCD40,['crypt'],,,,,,,,
sub_148FBCF50,['crypt'],,,,,,,,
