crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D1CE9,['RijnDael_AES_LONG'],sub_40DE91,['WriteFile'],sub_403AC5,['FindFirstFile'],sub_424397,['CreateFile'],,
sub_4D712C,['RijnDael_AES_inv_LONG'],sub_4021CF,['WriteFile'],sub_408AB8,['FindFirstFile'],sub_429383,['CreateFile'],,
sub_4D21BB,['crypt'],sub_422EA5,['WriteFile'],sub_4D80AC,['FindFirstFile'],sub_42A1BE,['ReadFile'],,
sub_405CF6,['crypt'],sub_42D68F,['WriteFile'],sub_4D0A72,['FindFirstFile'],sub_4D840F,['CreateFile'],,
sub_4D4325,['crypt'],sub_4D4325,['WriteFile'],sub_4EB907,['FindFirstFile'],sub_4D662B,"['CreateFile', 'ReadFile']",,
sub_4D3D58,['crypt'],sub_4D3D58,['WriteFile'],sub_4E3CB6,['FindNextFile'],sub_405CF6,"['CreateFile', 'ReadFile']",,
sub_4D2CBA,['crypt'],sub_4EE1E1,['WriteFile'],,,sub_4D4325,['CreateFile'],,
sub_4E3CB6,['crypt'],sub_4E1015,['WriteFile'],,,sub_4D3D58,['CreateFile'],,
sub_4DD27E,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E36D7,"['MoveFile', 'DeleteFile']",,,sub_4EEBD3,['CreateFile'],,
sub_4D7FC7,Function performing Base64 encoding on input data.,,,,,sub_4EE1E1,['ReadFile'],,
,,,,,,sub_4E1015,['CreateFile'],,
,,,,,,sub_4EDD92,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E2266,['CreateFile'],,
