crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4DF282,['RijnDael_AES_LONG'],sub_40524C,['WriteFile'],sub_4023B0,['FindFirstFile'],sub_428A82,['CreateFile'],,
sub_4D02F1,['RijnDael_AES_inv_LONG'],sub_403EFC,['WriteFile'],sub_4096F2,['FindFirstFile'],sub_422D45,['CreateFile'],,
sub_4D661E,['crypt'],sub_420788,['WriteFile'],sub_4D4E6F,['FindFirstFile'],sub_429B9D,['ReadFile'],,
sub_401D19,['crypt'],sub_4276B8,['WriteFile'],sub_4DD9D9,['FindFirstFile'],sub_4DB8C1,['CreateFile'],,
sub_4D3FFB,['crypt'],sub_4D3FFB,['WriteFile'],sub_4E108C,['FindFirstFile'],sub_4DC475,"['CreateFile', 'ReadFile']",,
sub_4D53F3,['crypt'],sub_4D53F3,['WriteFile'],sub_4EDF75,['FindNextFile'],sub_401D19,"['CreateFile', 'ReadFile']",,
sub_4DC7B4,['crypt'],sub_4ECFC9,['WriteFile'],,,sub_4D3FFB,['CreateFile'],,
sub_4EDF75,['crypt'],sub_4E028A,['WriteFile'],,,sub_4D53F3,['CreateFile'],,
sub_4DED5F,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4EC90C,"['MoveFile', 'DeleteFile']",,,sub_4EFA4D,['CreateFile'],,
sub_4DBC2E,Function performing Base64 encoding on input data.,,,,,sub_4ECFC9,['ReadFile'],,
,,,,,,sub_4E028A,['CreateFile'],,
,,,,,,sub_4E46B4,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E5E11,['CreateFile'],,
