crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41BFD7,['crypt'],sub_40DDB7,['WriteFile'],,,sub_40378A,['CreateFile'],,
sub_41B04D,['crypt'],sub_408E5D,['WriteFile'],,,sub_40C97B,['CreateFile'],,
sub_41A907,['crypt'],sub_40C633,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41CFEE,['crypt'],sub_426198,['WriteFile'],,,sub_40C633,['CreateFile'],,
sub_41E689,['crypt'],,,,,,,,
sub_41CBD6,['crypt'],,,,,,,,
sub_41FE66,['crypt'],,,,,,,,
sub_416229,['crypt'],,,,,,,,
sub_412DA5,['crypt'],,,,,,,,
sub_419320,['crypt'],,,,,,,,
sub_41DB92,['crypt'],,,,,,,,
sub_414C97,['crypt'],,,,,,,,
sub_41EF15,['crypt'],,,,,,,,
sub_42BFE2,['crypt'],,,,,,,,
sub_42783D,['crypt'],,,,,,,,
sub_420153,['crypt'],,,,,,,,
sub_42AB25,['crypt'],,,,,,,,
sub_4268CF,['crypt'],,,,,,,,
sub_426B05,['crypt'],,,,,,,,
sub_4250B1,['crypt'],,,,,,,,
sub_428D61,['crypt'],,,,,,,,
sub_42FA75,['crypt'],,,,,,,,
sub_42D6F8,['crypt'],,,,,,,,
sub_421D74,['crypt'],,,,,,,,
sub_41C2AE,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_418914,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41BF0D,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41393F,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41CF51,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
