crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4096BE,['crypt'],sub_41168E,['WriteFile'],sub_40687C,"['FindFirstFile', 'FindNextFile']",,,sub_4096BE,['encrypted']
sub_401176,['crypt'],,,,,,,sub_4CD590,['Snapshot']
sub_4065B9,['crypt'],,,,,,,,
sub_404A65,['crypt'],,,,,,,,
sub_40D6C2,['crypt'],,,,,,,,
sub_40282A,['crypt'],,,,,,,,
sub_40029E,['crypt'],,,,,,,,
sub_40056D,['crypt'],,,,,,,,
sub_4088DE,['crypt'],,,,,,,,
sub_40086E,['crypt'],,,,,,,,
sub_40245D,['crypt'],,,,,,,,
sub_408B70,['crypt'],,,,,,,,
sub_409637,['crypt'],,,,,,,,
sub_4001F7,['crypt'],,,,,,,,
sub_4080AF,['crypt'],,,,,,,,
sub_40B64E,['crypt'],,,,,,,,
sub_4025F3,['crypt'],,,,,,,,
sub_401454,['crypt'],,,,,,,,
sub_40B90B,['crypt'],,,,,,,,
sub_40EC9E,['crypt'],,,,,,,,
sub_401C53,['crypt'],,,,,,,,
sub_400702,['crypt'],,,,,,,,
sub_40C677,['crypt'],,,,,,,,
sub_407F14,['crypt'],,,,,,,,
sub_409878,['crypt'],,,,,,,,
sub_41BCCB,['crypt'],,,,,,,,
sub_41C32D,['crypt'],,,,,,,,
sub_41669C,['crypt'],,,,,,,,
sub_411B86,['crypt'],,,,,,,,
sub_416C23,['crypt'],,,,,,,,
sub_419F92,['crypt'],,,,,,,,
sub_419092,['crypt'],,,,,,,,
sub_410399,['crypt'],,,,,,,,
sub_41B642,['crypt'],,,,,,,,
sub_4167EE,['crypt'],,,,,,,,
sub_41CB66,['crypt'],,,,,,,,
sub_4112FD,['crypt'],,,,,,,,
sub_411891,['crypt'],,,,,,,,
sub_4115FB,['crypt'],,,,,,,,
sub_412380,['crypt'],,,,,,,,
sub_412F34,['crypt'],,,,,,,,
sub_4134DD,['crypt'],,,,,,,,
sub_41E736,['crypt'],,,,,,,,
sub_41F515,['crypt'],,,,,,,,
sub_4146BB,['crypt'],,,,,,,,
sub_411BFA,['crypt'],,,,,,,,
sub_416C14,['crypt'],,,,,,,,
sub_41C02D,['crypt'],,,,,,,,
sub_41BA8B,['crypt'],,,,,,,,
sub_41BF0E,['crypt'],,,,,,,,
sub_411CC6,['crypt'],,,,,,,,
sub_419EC5,['crypt'],,,,,,,,
sub_41858C,['crypt'],,,,,,,,
sub_41EE2C,['crypt'],,,,,,,,
sub_411050,['crypt'],,,,,,,,
sub_411425,['crypt'],,,,,,,,
sub_414D57,['crypt'],,,,,,,,
sub_4156B7,['crypt'],,,,,,,,
sub_41B6D2,['crypt'],,,,,,,,
sub_41E685,['crypt'],,,,,,,,
sub_41C93E,['crypt'],,,,,,,,
sub_415607,['crypt'],,,,,,,,
sub_410866,['crypt'],,,,,,,,
sub_41D2FB,['crypt'],,,,,,,,
sub_414F1F,['crypt'],,,,,,,,
sub_41E921,['crypt'],,,,,,,,
