crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40394B,['Crypt'],sub_405334,['WriteFile'],sub_404D6E,"['FindFirstFile', 'FindNextFile']",sub_402B02,['CreateFile'],sub_402F9F,['Snapshot']
sub_40C72E,['Crypt'],,,,,sub_407170,['CreateFile'],,
sub_407627,['Crypt'],,,,,sub_402FDA,['ReadFile'],,
sub_40F6A7,['Crypt'],,,,,,,,
sub_400C1B,['Crypt'],,,,,,,,
sub_40D74E,['Crypt'],,,,,,,,
sub_40B38F,['Crypt'],,,,,,,,
sub_40F331,['Crypt'],,,,,,,,
sub_40912A,['Crypt'],,,,,,,,
sub_40B127,['Crypt'],,,,,,,,
sub_407F0D,['Crypt'],,,,,,,,
sub_40546B,['Crypt'],,,,,,,,
sub_40A97D,['Crypt'],,,,,,,,
sub_40F20A,['Crypt'],,,,,,,,
sub_4077E5,['Crypt'],,,,,,,,
sub_40CE4E,['Crypt'],,,,,,,,
sub_40FFB7,['Crypt'],,,,,,,,
sub_400365,['Crypt'],,,,,,,,
sub_40394F,['Crypt'],,,,,,,,
sub_40B053,['Crypt'],,,,,,,,
sub_405175,['Crypt'],,,,,,,,
sub_4019C4,['Crypt'],,,,,,,,
sub_40FE05,['Crypt'],,,,,,,,
sub_408A0B,['Crypt'],,,,,,,,
sub_4045D1,['Crypt'],,,,,,,,
sub_4089F4,['Crypt'],,,,,,,,
sub_4086C7,['Crypt'],,,,,,,,
sub_4041E4,['Crypt'],,,,,,,,
sub_40F639,['Crypt'],,,,,,,,
sub_402316,['Crypt'],,,,,,,,
sub_40F6B3,['Crypt'],,,,,,,,
sub_40688D,['Crypt'],,,,,,,,
sub_401D14,['Crypt'],,,,,,,,
sub_4007CD,['Crypt'],,,,,,,,
sub_4040D4,['Crypt'],,,,,,,,
sub_40CFBD,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40AB5C,['Crypt'],,,,,,,,
sub_40E3FE,['Crypt'],,,,,,,,
sub_40D2FA,['Crypt'],,,,,,,,
sub_409A94,['Crypt'],,,,,,,,
sub_40344F,['Crypt'],,,,,,,,
sub_40F802,['Crypt'],,,,,,,,
sub_4001F7,['Crypt'],,,,,,,,
