crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_417F94,['crypt'],sub_40EA6E,['WriteFile'],,,sub_40C9AB,['CreateFile'],,
sub_410FA1,['crypt'],sub_40AEF1,['WriteFile'],,,sub_40C411,['CreateFile'],,
sub_414E0D,['crypt'],sub_40F092,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41108B,['crypt'],sub_425473,['WriteFile'],,,sub_40F092,['CreateFile'],,
sub_419DBA,['crypt'],,,,,,,,
sub_4196D9,['crypt'],,,,,,,,
sub_41B28F,['crypt'],,,,,,,,
sub_41063C,['crypt'],,,,,,,,
sub_414ED7,['crypt'],,,,,,,,
sub_415AB0,['crypt'],,,,,,,,
sub_41ACE6,['crypt'],,,,,,,,
sub_41854B,['crypt'],,,,,,,,
sub_41C8C6,['crypt'],,,,,,,,
sub_42D3F8,['crypt'],,,,,,,,
sub_421199,['crypt'],,,,,,,,
sub_424CFA,['crypt'],,,,,,,,
sub_42F608,['crypt'],,,,,,,,
sub_429487,['crypt'],,,,,,,,
sub_42AB4E,['crypt'],,,,,,,,
sub_4239B3,['crypt'],,,,,,,,
sub_4291AA,['crypt'],,,,,,,,
sub_42C6D5,['crypt'],,,,,,,,
sub_42D671,['crypt'],,,,,,,,
sub_42BA7C,['crypt'],,,,,,,,
sub_412B56,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_412B8E,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_415AD2,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_411E52,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41F82B,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
