crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_405F8E,['Crypt'],sub_40EE11,['WriteFile'],sub_407B6B,"['FindFirstFile', 'FindNextFile']",sub_40FA6B,['CreateFile'],sub_403D1B,['Snapshot']
sub_40CAF3,['Crypt'],,,,,sub_406012,['CreateFile'],,
sub_40BEA3,['Crypt'],,,,,sub_40D77B,['ReadFile'],,
sub_40DC33,['Crypt'],,,,,,,,
sub_40E775,['Crypt'],,,,,,,,
sub_4092E0,['Crypt'],,,,,,,,
sub_40920B,['Crypt'],,,,,,,,
sub_408511,['Crypt'],,,,,,,,
sub_40CA44,['Crypt'],,,,,,,,
sub_405E69,['Crypt'],,,,,,,,
sub_40EA34,['Crypt'],,,,,,,,
sub_40879B,['Crypt'],,,,,,,,
sub_405A9D,['Crypt'],,,,,,,,
sub_402202,['Crypt'],,,,,,,,
sub_40E08D,['Crypt'],,,,,,,,
sub_40696E,['Crypt'],,,,,,,,
sub_404B48,['Crypt'],,,,,,,,
sub_4039E8,['Crypt'],,,,,,,,
sub_40D94E,['Crypt'],,,,,,,,
sub_40E11D,['Crypt'],,,,,,,,
sub_40B93E,['Crypt'],,,,,,,,
sub_40AF57,['Crypt'],,,,,,,,
sub_40D866,['Crypt'],,,,,,,,
sub_408564,['Crypt'],,,,,,,,
sub_407A21,['Crypt'],,,,,,,,
sub_4092C6,['Crypt'],,,,,,,,
sub_4098FE,['Crypt'],,,,,,,,
sub_403557,['Crypt'],,,,,,,,
sub_40B030,['Crypt'],,,,,,,,
sub_40FDE0,['Crypt'],,,,,,,,
sub_4054F5,['Crypt'],,,,,,,,
sub_40B795,['Crypt'],,,,,,,,
sub_400E3D,['Crypt'],,,,,,,,
sub_4018FB,['Crypt'],,,,,,,,
sub_40DC90,['Crypt'],,,,,,,,
sub_40DB73,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_400159,['Crypt'],,,,,,,,
sub_40C1A0,['Crypt'],,,,,,,,
sub_4032C6,['Crypt'],,,,,,,,
sub_40F10A,['Crypt'],,,,,,,,
sub_409AAE,['Crypt'],,,,,,,,
sub_4033CD,['Crypt'],,,,,,,,
sub_40BDC6,['Crypt'],,,,,,,,
sub_4069D1,['Crypt'],,,,,,,,
sub_40311C,['Crypt'],,,,,,,,
sub_40C3A7,['Crypt'],,,,,,,,
sub_408FFC,['Crypt'],,,,,,,,
sub_406217,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40745C,['Crypt'],,,,,,,,
sub_400BFA,['Crypt'],,,,,,,,
sub_40C714,['Crypt'],,,,,,,,
