crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4086BD,['Crypt'],,,sub_408F13,"['FindFirstFile', 'FindNextFile']",,,sub_400AEE,['Snapshot']
sub_409979,['Crypt'],,,sub_40FE15,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40871F,['Crypt'],,,sub_4096AF,"['FindFirstFile', 'FindNextFile']",,,sub_450322,['encrypted']
sub_400F3D,['Crypt'],,,sub_40925C,"['FindFirstFile', 'FindNextFile']",,,,
sub_409FA2,['Crypt'],,,sub_403108,"['FindFirstFile', 'FindNextFile']",,,,
sub_403C33,['Crypt'],,,sub_403EAE,"['FindFirstFile', 'FindNextFile']",,,,
sub_40150B,['Crypt'],,,sub_40588E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F744,['Crypt'],,,sub_41F6A3,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D77E,['Crypt'],,,sub_419DEF,"['FindFirstFile', 'FindNextFile']",,,,
sub_40860A,['Crypt'],,,sub_41DA22,"['FindFirstFile', 'FindNextFile']",,,,
sub_407FA0,['Crypt'],,,,,,,,
sub_40D78F,['Crypt'],,,,,,,,
sub_40BD27,['Crypt'],,,,,,,,
sub_40F3B2,['Crypt'],,,,,,,,
sub_40E7FB,['Crypt'],,,,,,,,
sub_402D91,['Crypt'],,,,,,,,
sub_402550,['Crypt'],,,,,,,,
sub_40BF08,['Crypt'],,,,,,,,
sub_40E862,['Crypt'],,,,,,,,
sub_403BE5,['Crypt'],,,,,,,,
sub_404B26,['Crypt'],,,,,,,,
sub_401448,['Crypt'],,,,,,,,
sub_40D485,['Crypt'],,,,,,,,
sub_409585,['Crypt'],,,,,,,,
sub_408A93,['Crypt'],,,,,,,,
sub_4047C7,['Crypt'],,,,,,,,
sub_407050,['Crypt'],,,,,,,,
sub_407861,['Crypt'],,,,,,,,
sub_404760,['Crypt'],,,,,,,,
sub_405C0A,['Crypt'],,,,,,,,
sub_4071D0,['Crypt'],,,,,,,,
sub_40A10E,['Crypt'],,,,,,,,
sub_401E3E,['Crypt'],,,,,,,,
sub_40FADD,['Crypt'],,,,,,,,
sub_40A3CB,['Crypt'],,,,,,,,
sub_401DBC,['Crypt'],,,,,,,,
sub_403EE4,['Crypt'],,,,,,,,
sub_40BA52,['Crypt'],,,,,,,,
sub_40875F,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4099F4,['Crypt'],,,,,,,,
sub_407239,['Crypt'],,,,,,,,
sub_40C467,['Crypt'],,,,,,,,
sub_407ED8,['Crypt'],,,,,,,,
sub_40AF7A,['Crypt'],,,,,,,,
sub_40CD10,['Crypt'],,,,,,,,
sub_40D23B,['Crypt'],,,,,,,,
sub_40692B,['Crypt'],,,,,,,,
sub_40FC70,['Crypt'],,,,,,,,
sub_40196F,['Crypt'],,,,,,,,
sub_403DAD,['Crypt'],,,,,,,,
sub_4026F0,['Crypt'],,,,,,,,
