crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40FAB0,"['crypt', 'Crypt']",sub_402BAA,['WriteFile'],sub_40CA98,"['FindFirstFile', 'FindNextFile']",sub_40D2BB,['ReadFile'],sub_40F682,['Snapshot']
sub_40BB80,"['crypt', 'Encrypt']",sub_40D2BB,['WriteFile'],sub_40BB80,['PathFindFileName'],sub_40BB80,['CreateFile'],sub_40BB80,['encrypted']
sub_408833,"['crypt', 'Encrypt']",sub_40BB80,['WriteFile'],sub_40CE1B,['PathFindFileName'],sub_408833,['CreateFile'],sub_408833,['encrypted']
sub_4075AC,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",sub_408833,['WriteFile'],sub_40BD54,"['FindFirstFile', 'FindNextFile']",sub_40EE52,['CreateFile'],sub_400C3A,['Snapshot']
sub_40DE89,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",sub_40EE52,['WriteFile'],,,sub_419EDD,['CreateFile'],,
sub_407AFE,Potential encryption or cryptographic hash function involving data content and multiple bitwise operations.,sub_40BD54,"['MoveFile', 'DeleteFile']",,,,,,
sub_406B3B,"The function appears to perform complex bitwise operations and data manipulation consistent with cryptographic algorithms, potentially similar to hash functions or block ciphers.",sub_404861,['MoveFile'],,,,,,
sub_4041D0,Potential encryption or modification of data content read into memory. The function involves multiple bitwise operations on data arrays and matches the general characteristics of a cryptographic function.,sub_41C6F8,['WriteFile'],,,,,,
sub_401C71,Potential encryption or modification of data content using values and operations that suggest structured transformation consistent with encryption algorithms.,sub_41F96B,['WriteFile'],,,,,,
sub_40FA5A,Potential encryption or modification of data content read into memory. The function involves XOR operations and uses lookup tables for modification.,,,,,,,,
sub_408991,Potential encryption function involving various bitwise operations and rotations.,,,,,,,,
sub_406EB7,"This function appears to be setting up tables and constants used in AES encryption, including S-box initialization and lookup tables common in block cipher algorithms.",,,,,,,,
sub_41DF5B,This function appears to implement AES encryption operations using Intel's AES-NI instruction set.,,,,,,,,
sub_413610,This function appears to be performing AES encryption based on the usage of AES instructions such as aesenc and aesenclast.,,,,,,,,
