crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40E81A,['Crypt'],,,sub_406007,"['FindFirstFile', 'FindNextFile']",,,sub_406D07,['Snapshot']
sub_4081EC,['Crypt'],,,sub_406431,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40017B,['Crypt'],,,sub_408A0F,"['FindFirstFile', 'FindNextFile']",,,sub_456B86,['encrypted']
sub_40401F,['Crypt'],,,sub_40DC42,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F65C,['Crypt'],,,sub_40CE37,"['FindFirstFile', 'FindNextFile']",,,,
sub_4044FD,['Crypt'],,,sub_400183,"['FindFirstFile', 'FindNextFile']",,,,
sub_4086B2,['Crypt'],,,sub_40FC02,"['FindFirstFile', 'FindNextFile']",,,,
sub_404B18,['Crypt'],,,sub_414C4D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40FE9C,['Crypt'],,,sub_41B1E4,"['FindFirstFile', 'FindNextFile']",,,,
sub_409879,['Crypt'],,,sub_4181E7,"['FindFirstFile', 'FindNextFile']",,,,
sub_40035A,['Crypt'],,,,,,,,
sub_400804,['Crypt'],,,,,,,,
sub_40632A,['Crypt'],,,,,,,,
sub_40ACA0,['Crypt'],,,,,,,,
sub_40CCDF,['Crypt'],,,,,,,,
sub_40E3D8,['Crypt'],,,,,,,,
sub_40D42B,['Crypt'],,,,,,,,
sub_4053CD,['Crypt'],,,,,,,,
sub_40B4C6,['Crypt'],,,,,,,,
sub_403B3C,['Crypt'],,,,,,,,
sub_407117,['Crypt'],,,,,,,,
sub_4031A5,['Crypt'],,,,,,,,
sub_40A686,['Crypt'],,,,,,,,
sub_4006AC,['Crypt'],,,,,,,,
sub_406229,['Crypt'],,,,,,,,
sub_4077DD,['Crypt'],,,,,,,,
sub_404299,['Crypt'],,,,,,,,
sub_40E8CD,['Crypt'],,,,,,,,
sub_403917,['Crypt'],,,,,,,,
