crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_403D34,['Crypt'],sub_409B85,['WriteFile'],sub_406097,"['FindFirstFile', 'FindNextFile']",sub_40DFD9,['CreateFile'],sub_408075,['Snapshot']
sub_40EC81,['Crypt'],,,,,sub_40895F,['CreateFile'],,
sub_4016E6,['Crypt'],,,,,sub_40CCA0,['ReadFile'],,
sub_403914,['Crypt'],,,,,,,,
sub_40EBFA,['Crypt'],,,,,,,,
sub_40DD4F,['Crypt'],,,,,,,,
sub_403A53,['Crypt'],,,,,,,,
sub_400D11,['Crypt'],,,,,,,,
sub_40BB00,['Crypt'],,,,,,,,
sub_407A8B,['Crypt'],,,,,,,,
sub_4046A7,['Crypt'],,,,,,,,
sub_40C86E,['Crypt'],,,,,,,,
sub_40EDAA,['Crypt'],,,,,,,,
sub_401543,['Crypt'],,,,,,,,
sub_4067F6,['Crypt'],,,,,,,,
sub_406042,['Crypt'],,,,,,,,
sub_40D969,['Crypt'],,,,,,,,
sub_40EDD4,['Crypt'],,,,,,,,
sub_401BE6,['Crypt'],,,,,,,,
sub_402B5E,['Crypt'],,,,,,,,
sub_40D252,['Crypt'],,,,,,,,
sub_405D72,['Crypt'],,,,,,,,
sub_40E330,['Crypt'],,,,,,,,
sub_400FBE,['Crypt'],,,,,,,,
sub_40F5B5,['Crypt'],,,,,,,,
sub_40E5B4,['Crypt'],,,,,,,,
sub_405E49,['Crypt'],,,,,,,,
sub_40A3DB,['Crypt'],,,,,,,,
sub_40E6D7,['Crypt'],,,,,,,,
sub_401809,['Crypt'],,,,,,,,
sub_40B6CF,['Crypt'],,,,,,,,
sub_401A5E,['Crypt'],,,,,,,,
sub_4008ED,['Crypt'],,,,,,,,
sub_40D52B,['Crypt'],,,,,,,,
sub_408AD5,['Crypt'],,,,,,,,
sub_4024FB,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40BDFA,['Crypt'],,,,,,,,
sub_40CC39,['Crypt'],,,,,,,,
sub_4095E2,['Crypt'],,,,,,,,
sub_40BF43,['Crypt'],,,,,,,,
sub_40B7C1,['Crypt'],,,,,,,,
sub_407921,['Crypt'],,,,,,,,
sub_40BFAE,['Crypt'],,,,,,,,
sub_40B726,['Crypt'],,,,,,,,
sub_4046EA,['Crypt'],,,,,,,,
sub_403509,['Crypt'],,,,,,,,
sub_4006F7,['Crypt'],,,,,,,,
sub_401141,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40503A,['Crypt'],,,,,,,,
sub_40F4F7,['Crypt'],,,,,,,,
sub_40139C,['Crypt'],,,,,,,,
sub_40A8BE,['Crypt'],,,,,,,,
sub_40FAA1,['Crypt'],,,,,,,,
sub_40379E,['Crypt'],,,,,,,,
sub_406C66,['Crypt'],,,,,,,,
sub_40DED5,['Crypt'],,,,,,,,
sub_40BA2D,['Crypt'],,,,,,,,
sub_406730,['Crypt'],,,,,,,,
sub_40A4F9,['Crypt'],,,,,,,,
sub_4085A2,['Crypt'],,,,,,,,
sub_404299,['Crypt'],,,,,,,,
sub_405FFD,['Crypt'],,,,,,,,
sub_40B843,['Crypt'],,,,,,,,
sub_4063DB,['Crypt'],,,,,,,,
sub_40C4C5,['Crypt'],,,,,,,,
sub_402FBE,['Crypt'],,,,,,,,
sub_4016B1,['Crypt'],,,,,,,,
sub_40AA8E,['Crypt'],,,,,,,,
sub_40F180,['Crypt'],,,,,,,,
sub_40C7C3,['Crypt'],,,,,,,,
sub_403EC9,['Crypt'],,,,,,,,
sub_40FD00,['Crypt'],,,,,,,,
sub_40DD77,['Crypt'],,,,,,,,
sub_40504C,['Crypt'],,,,,,,,
sub_40F77A,['Crypt'],,,,,,,,
sub_4006ED,['Crypt'],,,,,,,,
sub_407330,['Crypt'],,,,,,,,
sub_404E45,['Crypt'],,,,,,,,
sub_40F242,['Crypt'],,,,,,,,
sub_405C3A,['Crypt'],,,,,,,,
sub_4008D0,['Crypt'],,,,,,,,
sub_406432,['Crypt'],,,,,,,,
sub_406B7A,['Crypt'],,,,,,,,
sub_40C240,['Crypt'],,,,,,,,
sub_40B145,['Crypt'],,,,,,,,
sub_402559,"['crypt', 'Crypt']",,,,,,,,
sub_40FB11,['Crypt'],,,,,,,,
sub_400633,['Crypt'],,,,,,,,
sub_40ABA2,['Crypt'],,,,,,,,
sub_40DDFD,['Crypt'],,,,,,,,
sub_40A76B,['Crypt'],,,,,,,,
sub_40B3EA,['Crypt'],,,,,,,,
sub_40EC81,['Crypt'],,,,,,,,
sub_4082F1,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40D312,['Crypt'],,,,,,,,
sub_402652,['Crypt'],,,,,,,,
sub_40F555,['Crypt'],,,,,,,,
sub_40ECE2,['Crypt'],,,,,,,,
sub_401BE9,['Crypt'],,,,,,,,
sub_40246C,['Crypt'],,,,,,,,
sub_403B03,['Crypt'],,,,,,,,
sub_406726,['Crypt'],,,,,,,,
sub_408E99,['Crypt'],,,,,,,,
sub_40CD43,['Crypt'],,,,,,,,
sub_406576,['Crypt'],,,,,,,,
sub_403A21,['Crypt'],,,,,,,,
sub_4096C9,['Crypt'],,,,,,,,
sub_40C705,['Crypt'],,,,,,,,
sub_404AC1,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40F93C,['Crypt'],,,,,,,,
sub_400E20,['Crypt'],,,,,,,,
sub_401EF9,['Crypt'],,,,,,,,
sub_40B01F,['Crypt'],,,,,,,,
sub_4046F8,['Crypt'],,,,,,,,
sub_40604C,['Crypt'],,,,,,,,
sub_40B9BC,['Crypt'],,,,,,,,
sub_40DEDC,['Crypt'],,,,,,,,
