crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_400432,['crypt'],sub_415297,['WriteFile'],sub_404AF9,"['FindFirstFile', 'FindNextFile']",,,sub_400432,['encrypted']
sub_40A8EB,['crypt'],,,,,,,sub_4CEC0B,['Snapshot']
sub_40778C,['crypt'],,,,,,,,
sub_4000F2,['crypt'],,,,,,,,
sub_40AAB5,['crypt'],,,,,,,,
sub_402427,['crypt'],,,,,,,,
sub_404B9B,['crypt'],,,,,,,,
sub_40F436,['crypt'],,,,,,,,
sub_4037FA,['crypt'],,,,,,,,
sub_4035F5,['crypt'],,,,,,,,
sub_405A6D,['crypt'],,,,,,,,
sub_40F2A8,['crypt'],,,,,,,,
sub_40C7E4,['crypt'],,,,,,,,
sub_40F46D,['crypt'],,,,,,,,
sub_40B383,['crypt'],,,,,,,,
sub_403259,['crypt'],,,,,,,,
sub_400827,['crypt'],,,,,,,,
sub_40E367,['crypt'],,,,,,,,
sub_40EB28,['crypt'],,,,,,,,
sub_404D4D,['crypt'],,,,,,,,
sub_40939F,['crypt'],,,,,,,,
sub_404648,['crypt'],,,,,,,,
sub_4008AF,['crypt'],,,,,,,,
sub_40F0DB,['crypt'],,,,,,,,
sub_40A993,['crypt'],,,,,,,,
sub_41CA3F,['crypt'],,,,,,,,
sub_419449,['crypt'],,,,,,,,
sub_417F7A,['crypt'],,,,,,,,
sub_415789,['crypt'],,,,,,,,
sub_4108A2,['crypt'],,,,,,,,
sub_41A466,['crypt'],,,,,,,,
sub_4118B2,['crypt'],,,,,,,,
sub_41166D,['crypt'],,,,,,,,
sub_41FA40,['crypt'],,,,,,,,
sub_41A882,['crypt'],,,,,,,,
sub_41F652,['crypt'],,,,,,,,
sub_414697,['crypt'],,,,,,,,
sub_41C161,['crypt'],,,,,,,,
sub_415CB0,['crypt'],,,,,,,,
sub_4159B4,['crypt'],,,,,,,,
sub_41396C,['crypt'],,,,,,,,
sub_413267,['crypt'],,,,,,,,
sub_415143,['crypt'],,,,,,,,
sub_41FDC0,['crypt'],,,,,,,,
sub_41EC60,['crypt'],,,,,,,,
sub_4170C7,['crypt'],,,,,,,,
sub_41FE66,['crypt'],,,,,,,,
sub_41DB72,['crypt'],,,,,,,,
sub_41AB7E,['crypt'],,,,,,,,
sub_41B574,['crypt'],,,,,,,,
sub_41557A,['crypt'],,,,,,,,
sub_410BC8,['crypt'],,,,,,,,
sub_4127F5,['crypt'],,,,,,,,
sub_4135CC,['crypt'],,,,,,,,
sub_41CB98,['crypt'],,,,,,,,
sub_41DD21,['crypt'],,,,,,,,
sub_4169E4,['crypt'],,,,,,,,
sub_41FD4B,['crypt'],,,,,,,,
sub_413A00,['crypt'],,,,,,,,
sub_41F3B7,['crypt'],,,,,,,,
sub_4152D1,['crypt'],,,,,,,,
sub_412388,['crypt'],,,,,,,,
sub_4149A0,['crypt'],,,,,,,,
sub_417759,['crypt'],,,,,,,,
sub_4120A6,['crypt'],,,,,,,,
sub_419F51,['crypt'],,,,,,,,
sub_411370,['crypt'],,,,,,,,
sub_41B628,['crypt'],,,,,,,,
sub_41DB6A,['crypt'],,,,,,,,
sub_41CB4C,['crypt'],,,,,,,,
sub_414E69,['crypt'],,,,,,,,
sub_419292,['crypt'],,,,,,,,
sub_412B8D,['crypt'],,,,,,,,
sub_418F57,['crypt'],,,,,,,,
sub_419576,['crypt'],,,,,,,,
sub_419DBF,['crypt'],,,,,,,,
sub_41FE69,['crypt'],,,,,,,,
sub_4100F3,['crypt'],,,,,,,,
sub_414340,['crypt'],,,,,,,,
sub_4138CB,['crypt'],,,,,,,,
sub_41F861,['crypt'],,,,,,,,
sub_4171D5,['crypt'],,,,,,,,
sub_41B2AC,['crypt'],,,,,,,,
sub_41A605,['crypt'],,,,,,,,
sub_41E0BA,['crypt'],,,,,,,,
sub_41A7F7,['crypt'],,,,,,,,
sub_412C70,['crypt'],,,,,,,,
sub_41620C,['crypt'],,,,,,,,
sub_41AE24,['crypt'],,,,,,,,
sub_41F125,['crypt'],,,,,,,,
sub_41C3C2,['crypt'],,,,,,,,
sub_415370,['crypt'],,,,,,,,
sub_410780,['crypt'],,,,,,,,
sub_418ED6,['crypt'],,,,,,,,
sub_41B90A,['crypt'],,,,,,,,
sub_41288C,['crypt'],,,,,,,,
sub_4182D1,['crypt'],,,,,,,,
sub_414C31,['crypt'],,,,,,,,
sub_425BD7,['crypt'],,,,,,,,
sub_427B5C,['crypt'],,,,,,,,
sub_42B2D7,['crypt'],,,,,,,,
sub_4281AA,['crypt'],,,,,,,,
sub_42D144,['crypt'],,,,,,,,
sub_429839,['crypt'],,,,,,,,
sub_42CB9B,['crypt'],,,,,,,,
sub_42236D,['crypt'],,,,,,,,
sub_42A177,['crypt'],,,,,,,,
sub_42CF4A,['crypt'],,,,,,,,
sub_42E1C7,['crypt'],,,,,,,,
sub_426608,['crypt'],,,,,,,,
sub_427D18,['crypt'],,,,,,,,
sub_429EE5,['crypt'],,,,,,,,
sub_424251,['crypt'],,,,,,,,
sub_42CF79,['crypt'],,,,,,,,
sub_42697D,['crypt'],,,,,,,,
sub_42865C,['crypt'],,,,,,,,
sub_42DEE4,['crypt'],,,,,,,,
sub_42ACCC,['crypt'],,,,,,,,
sub_42CCB7,['crypt'],,,,,,,,
sub_4230DD,['crypt'],,,,,,,,
sub_42E40A,['crypt'],,,,,,,,
sub_4226DC,['crypt'],,,,,,,,
sub_42D259,['crypt'],,,,,,,,
sub_426AF2,['crypt'],,,,,,,,
sub_42F239,['crypt'],,,,,,,,
sub_42C3E9,['crypt'],,,,,,,,
sub_42E36E,['crypt'],,,,,,,,
sub_426D59,['crypt'],,,,,,,,
sub_425E92,['crypt'],,,,,,,,
sub_4287F6,['crypt'],,,,,,,,
sub_420C43,['crypt'],,,,,,,,
sub_428F86,['crypt'],,,,,,,,
sub_4247AD,['crypt'],,,,,,,,
sub_42CE14,['crypt'],,,,,,,,
sub_42B1BD,['crypt'],,,,,,,,
sub_424D01,['crypt'],,,,,,,,
sub_428332,['crypt'],,,,,,,,
sub_42C82F,['crypt'],,,,,,,,
sub_423D99,['crypt'],,,,,,,,
sub_42B46E,['crypt'],,,,,,,,
sub_42EC86,['crypt'],,,,,,,,
sub_42DBFB,['crypt'],,,,,,,,
sub_42757C,['crypt'],,,,,,,,
sub_423DA3,['crypt'],,,,,,,,
sub_42A606,['crypt'],,,,,,,,
sub_42E6C1,['crypt'],,,,,,,,
sub_42F03C,['crypt'],,,,,,,,
sub_425043,['crypt'],,,,,,,,
sub_4253AC,['crypt'],,,,,,,,
sub_42CC8F,['crypt'],,,,,,,,
sub_422F6A,['crypt'],,,,,,,,
sub_4262BB,['crypt'],,,,,,,,
sub_42EB1A,['crypt'],,,,,,,,
sub_42F6C3,['crypt'],,,,,,,,
sub_429FE7,['crypt'],,,,,,,,
sub_42A887,['crypt'],,,,,,,,
sub_42AF95,['crypt'],,,,,,,,
sub_426319,['crypt'],,,,,,,,
sub_4241DE,['crypt'],,,,,,,,
sub_42E294,['crypt'],,,,,,,,
sub_42ED39,['crypt'],,,,,,,,
sub_42F0F1,['crypt'],,,,,,,,
sub_42A652,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",,,,,,,,
sub_42BF29,['crypt'],,,,,,,,
sub_426C58,['crypt'],,,,,,,,
sub_42CA4B,['crypt'],,,,,,,,
sub_422D37,['crypt'],,,,,,,,
sub_42F837,['crypt'],,,,,,,,
sub_42FF25,['crypt'],,,,,,,,
sub_42A96B,['crypt'],,,,,,,,
sub_427977,['crypt'],,,,,,,,
sub_421216,['crypt'],,,,,,,,
sub_426DED,['crypt'],,,,,,,,
sub_42C3B5,['crypt'],,,,,,,,
sub_423A3A,['crypt'],,,,,,,,
sub_423ECD,['crypt'],,,,,,,,
sub_42BD3C,['crypt'],,,,,,,,
sub_42C461,['crypt'],,,,,,,,
sub_43E0FA,['crypt'],,,,,,,,
sub_43BF05,['crypt'],,,,,,,,
sub_43C1BA,['crypt'],,,,,,,,
sub_430E5A,['crypt'],,,,,,,,
sub_43CFDD,['crypt'],,,,,,,,
sub_43EEFB,['crypt'],,,,,,,,
sub_432AE9,['crypt'],,,,,,,,
sub_4347B1,['crypt'],,,,,,,,
sub_435E29,['crypt'],,,,,,,,
sub_43DB97,['crypt'],,,,,,,,
sub_435DFE,['crypt'],,,,,,,,
sub_432D82,['crypt'],,,,,,,,
sub_43D77B,['crypt'],,,,,,,,
sub_43D7D2,['crypt'],,,,,,,,
sub_43DA3D,['crypt'],,,,,,,,
sub_430C84,['crypt'],,,,,,,,
sub_434669,['crypt'],,,,,,,,
sub_43CE69,['crypt'],,,,,,,,
sub_430746,['crypt'],,,,,,,,
sub_4335E9,['crypt'],,,,,,,,
sub_43873B,['crypt'],,,,,,,,
sub_433173,['crypt'],,,,,,,,
sub_43CCAE,['crypt'],,,,,,,,
sub_439272,['crypt'],,,,,,,,
sub_43BE7E,['crypt'],,,,,,,,
sub_43443A,['crypt'],,,,,,,,
sub_43AC78,['crypt'],,,,,,,,
sub_43538E,['crypt'],,,,,,,,
sub_435259,['crypt'],,,,,,,,
sub_43FBFA,['crypt'],,,,,,,,
sub_43E0AD,['crypt'],,,,,,,,
sub_4326C3,['crypt'],,,,,,,,
sub_4341AE,['crypt'],,,,,,,,
sub_439E50,['crypt'],,,,,,,,
sub_432F81,['crypt'],,,,,,,,
sub_43184B,['crypt'],,,,,,,,
sub_439BC7,['crypt'],,,,,,,,
sub_4395A2,['crypt'],,,,,,,,
sub_43D5BE,['crypt'],,,,,,,,
sub_431081,['crypt'],,,,,,,,
sub_43081F,['crypt'],,,,,,,,
sub_431CE3,['crypt'],,,,,,,,
sub_434847,['crypt'],,,,,,,,
sub_43B1C9,['crypt'],,,,,,,,
sub_439AB1,['crypt'],,,,,,,,
sub_438B6C,['crypt'],,,,,,,,
sub_43C2FF,['crypt'],,,,,,,,
sub_43BB73,['crypt'],,,,,,,,
sub_434059,['crypt'],,,,,,,,
sub_43A124,['crypt'],,,,,,,,
sub_431388,['crypt'],,,,,,,,
sub_435A75,['crypt'],,,,,,,,
sub_4318E9,['crypt'],,,,,,,,
sub_437ED1,['crypt'],,,,,,,,
sub_43765C,['crypt'],,,,,,,,
sub_43446C,['crypt'],,,,,,,,
sub_431C56,['crypt'],,,,,,,,
sub_434CFF,['crypt'],,,,,,,,
sub_43C21C,['crypt'],,,,,,,,
sub_430D34,['crypt'],,,,,,,,
sub_43AE35,['crypt'],,,,,,,,
sub_43C65D,['crypt'],,,,,,,,
sub_430A21,['crypt'],,,,,,,,
sub_430E0A,['crypt'],,,,,,,,
sub_43576D,['crypt'],,,,,,,,
sub_436A92,['crypt'],,,,,,,,
sub_4314EE,['crypt'],,,,,,,,
sub_43BC60,['crypt'],,,,,,,,
sub_435747,['crypt'],,,,,,,,
sub_430418,['crypt'],,,,,,,,
sub_4349A9,['crypt'],,,,,,,,
sub_43873C,['crypt'],,,,,,,,
sub_434610,['crypt'],,,,,,,,
sub_438E4B,['crypt'],,,,,,,,
sub_437A84,['crypt'],,,,,,,,
sub_433478,['crypt'],,,,,,,,
sub_43ED1A,['crypt'],,,,,,,,
sub_439243,['crypt'],,,,,,,,
sub_4390CE,['crypt'],,,,,,,,
sub_439E69,['crypt'],,,,,,,,
sub_43FAB8,['crypt'],,,,,,,,
sub_43530F,['Crypt'],,,,,,,,
sub_43CC2F,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_4356C6,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_436C95,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
