crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404DDF,"['Crypt', 'CryptAcquireContext']",sub_405E7C,['WriteFile'],sub_40F053,"['FindFirstFile', 'FindNextFile']",sub_4071D1,['CreateFile'],sub_4005B6,['Snapshot']
sub_40BA62,"['CryptGenRandom', 'crypt', 'Crypt']",sub_40BA62,"['MoveFile', 'WriteFile']",sub_409FAE,"['FindFirstFile', 'FindNextFile']",sub_40BA62,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_40F053,['WriteFile'],,,sub_40F053,['CreateFile'],,
sub_40EC0E,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_407D5F,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_41E462,"Function sub_41E462 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_41E17F,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_4083CB,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_418EAD,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_40D385,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
