crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_402C23,['Crypt'],,,sub_408166,"['FindFirstFile', 'FindNextFile']",,,sub_405CBC,['Snapshot']
sub_40C8D6,['Crypt'],,,sub_40B430,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_4063EC,['Crypt'],,,sub_40CA1A,"['FindFirstFile', 'FindNextFile']",,,sub_4514E1,['encrypted']
sub_40B554,['Crypt'],,,sub_400ED9,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F40D,['Crypt'],,,sub_409D00,"['FindFirstFile', 'FindNextFile']",,,,
sub_40BEA3,['Crypt'],,,sub_408988,"['FindFirstFile', 'FindNextFile']",,,,
sub_4025B5,['Crypt'],,,sub_4061DA,"['FindFirstFile', 'FindNextFile']",,,,
sub_40CA5E,['Crypt'],,,sub_41C9DB,"['FindFirstFile', 'FindNextFile']",,,,
sub_40FE3A,['Crypt'],,,sub_41F240,"['FindFirstFile', 'FindNextFile']",,,,
sub_4024F6,['Crypt'],,,sub_414930,"['FindFirstFile', 'FindNextFile']",,,,
sub_40EB7E,['Crypt'],,,,,,,,
sub_406288,['Crypt'],,,,,,,,
sub_406C6D,['Crypt'],,,,,,,,
sub_406487,['Crypt'],,,,,,,,
sub_4009E0,['Crypt'],,,,,,,,
sub_400014,['Crypt'],,,,,,,,
sub_40B6BF,['Crypt'],,,,,,,,
sub_406942,['Crypt'],,,,,,,,
sub_4016C7,['Crypt'],,,,,,,,
sub_40C7FE,['Crypt'],,,,,,,,
sub_408239,['Crypt'],,,,,,,,
sub_401E40,['Crypt'],,,,,,,,
sub_40FC75,['Crypt'],,,,,,,,
sub_401EB4,['Crypt'],,,,,,,,
sub_40DA45,['Crypt'],,,,,,,,
sub_40C2B8,['Crypt'],,,,,,,,
sub_400D67,['Crypt'],,,,,,,,
sub_407CEE,['Crypt'],,,,,,,,
sub_40D231,['Crypt'],,,,,,,,
sub_40BF39,['Crypt'],,,,,,,,
sub_40C2D5,['Crypt'],,,,,,,,
sub_405055,['Crypt'],,,,,,,,
sub_400E9C,['Crypt'],,,,,,,,
sub_407F4B,['Crypt'],,,,,,,,
sub_401525,['Crypt'],,,,,,,,
sub_40C981,['Crypt'],,,,,,,,
sub_408136,['Crypt'],,,,,,,,
sub_405A14,['Crypt'],,,,,,,,
sub_4081F3,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4050B1,['Crypt'],,,,,,,,
sub_409471,['Crypt'],,,,,,,,
sub_403136,['Crypt'],,,,,,,,
sub_40E5BB,['Crypt'],,,,,,,,
sub_40B29F,['Crypt'],,,,,,,,
sub_40004B,['Crypt'],,,,,,,,
sub_405235,['Crypt'],,,,,,,,
sub_4028DA,['Crypt'],,,,,,,,
sub_40147F,['Crypt'],,,,,,,,
sub_40ED96,['Crypt'],,,,,,,,
sub_405B6B,['Crypt'],,,,,,,,
sub_401F2B,['Crypt'],,,,,,,,
sub_400389,['Crypt'],,,,,,,,
sub_408487,['Crypt'],,,,,,,,
sub_40B74F,['Crypt'],,,,,,,,
sub_400BB5,['Crypt'],,,,,,,,
sub_40E159,['Crypt'],,,,,,,,
sub_40F155,['Crypt'],,,,,,,,
sub_40436E,['Crypt'],,,,,,,,
sub_401C77,['Crypt'],,,,,,,,
sub_4053A0,['Crypt'],,,,,,,,
sub_4022AC,['Crypt'],,,,,,,,
sub_40BC35,['Crypt'],,,,,,,,
sub_4042F6,['Crypt'],,,,,,,,
sub_406D1F,['Crypt'],,,,,,,,
sub_406409,['Crypt'],,,,,,,,
sub_40ECE0,['Crypt'],,,,,,,,
sub_40EFB0,['Crypt'],,,,,,,,
sub_40CB0C,['Crypt'],,,,,,,,
sub_405861,['Crypt'],,,,,,,,
sub_408166,['crypt'],,,,,,,,
sub_41C9DB,['crypt'],,,,,,,,
sub_41F240,['crypt'],,,,,,,,
sub_41D949,['Crypt'],,,,,,,,
sub_41840A,['Crypt'],,,,,,,,
sub_41C449,['Crypt'],,,,,,,,
sub_412AFA,['Crypt'],,,,,,,,
sub_41AAFC,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_41ECEA,['Crypt'],,,,,,,,
sub_4194B2,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41BACA,['Crypt'],,,,,,,,
sub_41923D,['Crypt'],,,,,,,,
sub_41D989,['Crypt'],,,,,,,,
sub_41BDF0,['Crypt'],,,,,,,,
sub_41798C,['Crypt'],,,,,,,,
sub_41C827,['Crypt'],,,,,,,,
sub_418BC4,['Crypt'],,,,,,,,
sub_41704D,['Crypt'],,,,,,,,
sub_41B88E,['Crypt'],,,,,,,,
sub_410EEC,['Crypt'],,,,,,,,
sub_411F45,['Crypt'],,,,,,,,
sub_416D19,['Crypt'],,,,,,,,
sub_41FD96,['Crypt'],,,,,,,,
sub_4122DE,['Crypt'],,,,,,,,
sub_41A253,['Crypt'],,,,,,,,
sub_4115E0,['Crypt'],,,,,,,,
sub_41B916,['Crypt'],,,,,,,,
sub_41B0E7,['Crypt'],,,,,,,,
sub_410299,['Crypt'],,,,,,,,
sub_41AA4E,['Crypt'],,,,,,,,
sub_41B403,['Crypt'],,,,,,,,
sub_41734C,['Crypt'],,,,,,,,
sub_419237,['Crypt'],,,,,,,,
sub_4192D6,['Crypt'],,,,,,,,
sub_417A9B,['Crypt'],,,,,,,,
sub_42A503,['Crypt'],,,,,,,,
sub_42319E,['Crypt'],,,,,,,,
sub_424EA2,['Crypt'],,,,,,,,
sub_42EE75,['Crypt'],,,,,,,,
sub_42EA20,['Crypt'],,,,,,,,
sub_425FFD,['Crypt'],,,,,,,,
sub_42E644,['Crypt'],,,,,,,,
sub_42D01B,['Crypt'],,,,,,,,
sub_429E96,['Crypt'],,,,,,,,
sub_4270BC,['Crypt'],,,,,,,,
sub_42B221,['Crypt'],,,,,,,,
sub_425D55,['Crypt'],,,,,,,,
sub_421686,['Crypt'],,,,,,,,
sub_43B1CD,['Crypt'],,,,,,,,
sub_435F81,['Crypt'],,,,,,,,
sub_431DE7,['Crypt'],,,,,,,,
sub_43D389,['Crypt'],,,,,,,,
sub_43CE74,['Crypt'],,,,,,,,
sub_437B23,['Crypt'],,,,,,,,
sub_435FAE,['Crypt'],,,,,,,,
sub_4309C4,['Crypt'],,,,,,,,
sub_43CAB2,['Crypt'],,,,,,,,
sub_4328B6,['Crypt'],,,,,,,,
sub_433B3E,['Crypt'],,,,,,,,
sub_43D2EB,['Crypt'],,,,,,,,
sub_438F0E,['Crypt'],,,,,,,,
sub_43023C,['Crypt'],,,,,,,,
sub_43AE78,['Crypt'],,,,,,,,
sub_438A05,['Crypt'],,,,,,,,
sub_439F0F,['Crypt'],,,,,,,,
sub_43189E,['Crypt'],,,,,,,,
sub_430144,['Crypt'],,,,,,,,
sub_43172D,['Crypt'],,,,,,,,
sub_43FF7B,['Crypt'],,,,,,,,
sub_43CA11,"['crypt', 'Crypt']",,,,,,,,
sub_43F96D,['Crypt'],,,,,,,,
sub_43D10A,['Crypt'],,,,,,,,
sub_43DCC2,['Crypt'],,,,,,,,
sub_438DD6,['Crypt'],,,,,,,,
sub_439DE7,['Crypt'],,,,,,,,
sub_4376F7,['Crypt'],,,,,,,,
sub_4396FE,['Crypt'],,,,,,,,
sub_43B5DE,['Crypt'],,,,,,,,
sub_4303FB,['Crypt'],,,,,,,,
sub_432F57,['Crypt'],,,,,,,,
sub_43A014,['Crypt'],,,,,,,,
sub_43D135,['Crypt'],,,,,,,,
sub_43A55C,['Crypt'],,,,,,,,
sub_43674C,['Crypt'],,,,,,,,
sub_43CEF3,['Crypt'],,,,,,,,
sub_43123B,['Crypt'],,,,,,,,
sub_430FC6,['Crypt'],,,,,,,,
sub_431775,['Crypt'],,,,,,,,
sub_43E560,['Crypt'],,,,,,,,
sub_43FFF0,"['crypt', 'Crypt']",,,,,,,,
sub_436D07,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4339EB,['Crypt'],,,,,,,,
sub_4317F4,['Crypt'],,,,,,,,
sub_43A50D,['Crypt'],,,,,,,,
sub_430126,['Crypt'],,,,,,,,
sub_4339C4,['Crypt'],,,,,,,,
sub_4382C5,['Crypt'],,,,,,,,
sub_4348CB,['Crypt'],,,,,,,,
sub_4398AD,['Crypt'],,,,,,,,
sub_4351B1,"['crypt', 'Crypt']",,,,,,,,
sub_438D77,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_437E42,['Crypt'],,,,,,,,
sub_43046D,['Crypt'],,,,,,,,
sub_43205E,['Crypt'],,,,,,,,
sub_437DD3,['Crypt'],,,,,,,,
sub_43C10D,['Crypt'],,,,,,,,
sub_435DCF,['Crypt'],,,,,,,,
sub_434435,['Crypt'],,,,,,,,
sub_4394C6,['Crypt'],,,,,,,,
sub_43856F,['Crypt'],,,,,,,,
sub_4359DD,['Crypt'],,,,,,,,
sub_4309C5,['Crypt'],,,,,,,,
sub_431C5E,['Crypt'],,,,,,,,
sub_43744B,['Crypt'],,,,,,,,
sub_437673,['Crypt'],,,,,,,,
sub_43AC96,['Crypt'],,,,,,,,
sub_43044A,['Crypt'],,,,,,,,
sub_439303,['Crypt'],,,,,,,,
sub_439E59,['Crypt'],,,,,,,,
sub_43A33F,['Crypt'],,,,,,,,
sub_43296E,['Crypt'],,,,,,,,
sub_43C383,['Crypt'],,,,,,,,
sub_4334AF,['Crypt'],,,,,,,,
sub_435562,['Crypt'],,,,,,,,
sub_438043,['Crypt'],,,,,,,,
sub_43B4B0,['Crypt'],,,,,,,,
sub_4378A6,['Crypt'],,,,,,,,
sub_43A1A7,['Crypt'],,,,,,,,
sub_435A43,['Crypt'],,,,,,,,
sub_438017,['Crypt'],,,,,,,,
sub_439C79,['Crypt'],,,,,,,,
sub_43D7B0,['Crypt'],,,,,,,,
sub_4305C6,['Crypt'],,,,,,,,
sub_433582,['Crypt'],,,,,,,,
sub_43AE08,['Crypt'],,,,,,,,
sub_43FACA,['Crypt'],,,,,,,,
sub_431C62,['Crypt'],,,,,,,,
sub_43944B,['Crypt'],,,,,,,,
sub_430047,['Crypt'],,,,,,,,
sub_43F786,['Crypt'],,,,,,,,
sub_43AA71,['Crypt'],,,,,,,,
sub_439CC9,['Crypt'],,,,,,,,
sub_432AD8,['Crypt'],,,,,,,,
sub_43BE61,['Crypt'],,,,,,,,
sub_432986,['Crypt'],,,,,,,,
sub_43160E,['Crypt'],,,,,,,,
sub_44D215,['Crypt'],,,,,,,,
sub_442A10,['Crypt'],,,,,,,,
sub_44641D,['Crypt'],,,,,,,,
sub_446F01,['Crypt'],,,,,,,,
sub_440A77,['Crypt'],,,,,,,,
sub_447D49,['Crypt'],,,,,,,,
sub_4440F7,['Crypt'],,,,,,,,
sub_449B14,['Crypt'],,,,,,,,
sub_44DB20,['Crypt'],,,,,,,,
sub_449C9A,['Crypt'],,,,,,,,
sub_4476D5,['Crypt'],,,,,,,,
sub_449328,['Crypt'],,,,,,,,
sub_44EC03,['Crypt'],,,,,,,,
sub_44954B,['Crypt'],,,,,,,,
sub_44CEF2,['Crypt'],,,,,,,,
sub_4452A5,['Crypt'],,,,,,,,
sub_446C52,['Crypt'],,,,,,,,
sub_44205C,['Crypt'],,,,,,,,
sub_445CDD,['Crypt'],,,,,,,,
sub_44A812,['Crypt'],,,,,,,,
sub_44D675,['Crypt'],,,,,,,,
sub_440719,['Crypt'],,,,,,,,
sub_44F03F,['Crypt'],,,,,,,,
sub_44CFFC,['Crypt'],,,,,,,,
sub_445703,['Crypt'],,,,,,,,
sub_44EB42,['Crypt'],,,,,,,,
sub_4454A1,['Crypt'],,,,,,,,
sub_44F80C,['Crypt'],,,,,,,,
sub_44026C,['Crypt'],,,,,,,,
sub_44C865,['Crypt'],,,,,,,,
sub_440D50,['Crypt'],,,,,,,,
sub_44317E,['Crypt'],,,,,,,,
sub_44AC1A,['Crypt'],,,,,,,,
sub_450EF8,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45CC48,['Crypt'],,,,,,,,
sub_455855,['Crypt'],,,,,,,,
sub_453C65,['Crypt'],,,,,,,,
sub_45A9E0,['Crypt'],,,,,,,,
sub_45BA9F,['Crypt'],,,,,,,,
sub_45F7B5,['Crypt'],,,,,,,,
sub_459EE3,['Crypt'],,,,,,,,
sub_459754,['Crypt'],,,,,,,,
sub_45897E,['Crypt'],,,,,,,,
sub_45C158,['Crypt'],,,,,,,,
sub_45D0FB,['Crypt'],,,,,,,,
sub_45060C,['Crypt'],,,,,,,,
sub_45DE9B,['Crypt'],,,,,,,,
sub_4582C6,['Crypt'],,,,,,,,
sub_45BDEE,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45EC4B,['Crypt'],,,,,,,,
sub_45EDC1,['Crypt'],,,,,,,,
sub_456614,['Crypt'],,,,,,,,
sub_45BC17,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_457078,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45BE06,['Crypt'],,,,,,,,
sub_45BA6F,['Crypt'],,,,,,,,
sub_45D662,['Crypt'],,,,,,,,
sub_45CFBE,['Crypt'],,,,,,,,
sub_45298B,['Crypt'],,,,,,,,
sub_45BA41,['Crypt'],,,,,,,,
sub_451399,['Crypt'],,,,,,,,
sub_45A8DE,['Crypt'],,,,,,,,
sub_45299F,['Crypt'],,,,,,,,
sub_458072,['Crypt'],,,,,,,,
sub_45D46E,['Crypt'],,,,,,,,
sub_4541FB,['Crypt'],,,,,,,,
sub_4597EB,['Crypt'],,,,,,,,
sub_45A298,['Crypt'],,,,,,,,
sub_459247,['Crypt'],,,,,,,,
sub_45BAE5,['Crypt'],,,,,,,,
sub_45FF7B,['Crypt'],,,,,,,,
sub_45B61E,['Crypt'],,,,,,,,
sub_457202,['Crypt'],,,,,,,,
sub_456ED4,['Crypt'],,,,,,,,
sub_4583AC,['Crypt'],,,,,,,,
sub_4547F5,['Crypt'],,,,,,,,
sub_45A53D,['Crypt'],,,,,,,,
sub_45FF72,['Crypt'],,,,,,,,
sub_45943E,['Crypt'],,,,,,,,
sub_45FA92,['Crypt'],,,,,,,,
sub_453439,['Crypt'],,,,,,,,
sub_4553D8,['Crypt'],,,,,,,,
sub_458ADB,"['Crypt', 'CryptAcquireContext']",,,,,,,,
sub_456639,['Crypt'],,,,,,,,
sub_454158,['Crypt'],,,,,,,,
sub_452EE0,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_451138,"['CryptGenRandom', 'Crypt']",,,,,,,,
sub_45FC57,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_4593F0,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext']",,,,,,,,
sub_45FFBF,['RijnDael_AES_inv_LONG'],,,,,,,,
sub_457DAE,['RijnDael_AES_LONG'],,,,,,,,
sub_450B85,['RijnDael_AES_LONG'],,,,,,,,
sub_45A32B,['Crypt'],,,,,,,,
sub_45C67F,['Crypt'],,,,,,,,
sub_45C8D6,['Crypt'],,,,,,,,
sub_45F14D,['Crypt'],,,,,,,,
sub_45E2AC,['Crypt'],,,,,,,,
sub_4514E1,"['crypt', 'Crypt']",,,,,,,,
sub_459E23,['Crypt'],,,,,,,,
sub_456B29,['Crypt'],,,,,,,,
sub_458656,['Crypt'],,,,,,,,
sub_4547EC,['Crypt'],,,,,,,,
sub_45BE39,['Crypt'],,,,,,,,
sub_459EC0,['Crypt'],,,,,,,,
sub_4527A1,['Crypt'],,,,,,,,
sub_455A07,['Crypt'],,,,,,,,
sub_453674,['Crypt'],,,,,,,,
sub_454DE1,['Crypt'],,,,,,,,
sub_453234,['Crypt'],,,,,,,,
sub_45ACD1,['Crypt'],,,,,,,,
sub_453FCA,['Crypt'],,,,,,,,
sub_45C365,['Crypt'],,,,,,,,
sub_45E798,['Crypt'],,,,,,,,
sub_4654EB,['Crypt'],,,,,,,,
sub_46C60C,['Crypt'],,,,,,,,
sub_467ACE,['Crypt'],,,,,,,,
sub_460357,['Crypt'],,,,,,,,
sub_468D86,['Crypt'],,,,,,,,
sub_469871,['Crypt'],,,,,,,,
sub_46E35A,['Crypt'],,,,,,,,
sub_463C93,['Crypt'],,,,,,,,
sub_469AD1,['Crypt'],,,,,,,,
sub_46D0F4,['Crypt'],,,,,,,,
sub_46BEB4,['Crypt'],,,,,,,,
sub_46DEE8,['Crypt'],,,,,,,,
sub_464BC2,['Crypt'],,,,,,,,
sub_47CB6D,['advapi32.dll'],,,,,,,,
sub_4B28A6,['Crypt'],,,,,,,,
sub_4B15FB,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_4BC2F9,['Crypt'],,,,,,,,
sub_450437,"Potential SHA-256 hash computation function, involving bitwise operations, constant tables, and integration with SIMD instructions on __m128i data type.",,,,,,,,
sub_453B4A,"The function shows characteristics of a cryptographic algorithm, potentially modifying input data through multiple bitwise operations and mathematical manipulations in rounds. It resembles an implementation of hash or block cipher algorithm like SHA-1 or similar.",,,,,,,,
sub_45DD53,Potential encryption function detected. The function seems to involve a series of bitwise operations and data transformations commonly found in encryption algorithms.,,,,,,,,
sub_463BB2,"This function appears to perform cryptographic operations potentially related to encryption. It utilizes SIMD instructions and multiple XOR operations, which are common in encryption algorithms.",,,,,,,,
sub_42BA7E,This function appears to implement the Mersenne Twister PRNG (MT6B837). It indicates an encryption-related functionality since PRNGs like Mersenne Twister are often used in cryptographic applications to generate pseudorandom numbers.,,,,,,,,
sub_45B17B,"This function demonstrates multiple characteristics of cryptographic operations. It utilizes SIMD instructions (such as _mm_load_si128, _mm_xor_si128, _mm_add_epi32, etc.), and involves a series of XOR operations, shifts, and arithmetic operations typically found in encryption algorithms.",,,,,,,,
