crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_14AA222F0,['crypt'],main,['WriteFile'],sub_140A3D180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_14AA22470,['crypt'],sub_14E16A670,['WriteFile'],sub_140A3D690,"['FindFirstFile', 'FindNextFile']",sub_141B6C7FC,['CreateFile'],,
sub_14AA22550,['crypt'],,,sub_140A3DBC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_14AA22690,['crypt'],,,,,,,,
sub_14AA227A0,['crypt'],,,,,,,,
sub_14AA22B00,['crypt'],,,,,,,,
sub_14AA22CD0,['crypt'],,,,,,,,
sub_14AA22F20,['crypt'],,,,,,,,
sub_1446F3080,['crypt'],,,,,,,,
sub_1446F3390,['crypt'],,,,,,,,
sub_1446F3600,['crypt'],,,,,,,,
sub_1446F36D0,['crypt'],,,,,,,,
sub_1446F3920,['crypt'],,,,,,,,
sub_1446F3980,['crypt'],,,,,,,,
sub_1446F3A70,['crypt'],,,,,,,,
sub_1446F3C10,['crypt'],,,,,,,,
sub_1446F3FD0,['crypt'],,,,,,,,
sub_1412FD0A0,['crypt'],,,,,,,,
sub_1412FD140,['crypt'],,,,,,,,
sub_1412FD290,['crypt'],,,,,,,,
sub_1412FD460,['crypt'],,,,,,,,
sub_1412FD530,['crypt'],,,,,,,,
sub_1412FD7D0,['crypt'],,,,,,,,
sub_141D390C0,['crypt'],,,,,,,,
sub_141D39A10,['crypt'],,,,,,,,
sub_141D39B00,['crypt'],,,,,,,,
sub_141D39C20,['crypt'],,,,,,,,
sub_141D39D40,['crypt'],,,,,,,,
sub_147A40440,['crypt'],,,,,,,,
sub_147A40560,['crypt'],,,,,,,,
sub_147A408E0,['crypt'],,,,,,,,
sub_147A40A70,['crypt'],,,,,,,,
sub_147A40BF0,['crypt'],,,,,,,,
sub_147A40C80,['crypt'],,,,,,,,
sub_147A40E90,['crypt'],,,,,,,,
sub_147A40FE0,['crypt'],,,,,,,,
sub_1470D1070,['crypt'],,,,,,,,
sub_1470D11C0,['crypt'],,,,,,,,
sub_1470D1240,['crypt'],,,,,,,,
sub_1470D12D0,['crypt'],,,,,,,,
sub_1470D1350,['crypt'],,,,,,,,
sub_1470D1650,['crypt'],,,,,,,,
sub_1470D1A60,['crypt'],,,,,,,,
sub_1470D1AB0,['crypt'],,,,,,,,
sub_1470D1B10,['crypt'],,,,,,,,
sub_1470D1BE0,['crypt'],,,,,,,,
sub_1470D1D20,['crypt'],,,,,,,,
sub_1470D1D80,['crypt'],,,,,,,,
sub_1470D1DD0,['crypt'],,,,,,,,
sub_1470D1E30,['crypt'],,,,,,,,
sub_142C80010,['crypt'],,,,,,,,
sub_142C80090,['crypt'],,,,,,,,
sub_142C800E0,['crypt'],,,,,,,,
sub_142C80150,['crypt'],,,,,,,,
sub_142C801E0,['crypt'],,,,,,,,
sub_142C80300,['crypt'],,,,,,,,
sub_142C80380,['crypt'],,,,,,,,
sub_142C80400,['crypt'],,,,,,,,
sub_142C80480,['crypt'],,,,,,,,
sub_142C80500,['crypt'],,,,,,,,
sub_142C80580,['crypt'],,,,,,,,
sub_142C80670,['crypt'],,,,,,,,
sub_142C80770,['crypt'],,,,,,,,
sub_142C807F0,['crypt'],,,,,,,,
sub_142C808F0,['crypt'],,,,,,,,
sub_142C809F0,['crypt'],,,,,,,,
sub_142C80A70,['crypt'],,,,,,,,
sub_142C80CC0,['crypt'],,,,,,,,
sub_14E16AA70,['crypt'],,,,,,,,
sub_143370E00,['crypt'],,,,,,,,
sub_143370F50,['crypt'],,,,,,,,
sub_145D523D0,['crypt'],,,,,,,,
sub_145D52700,['crypt'],,,,,,,,
sub_145D52890,['crypt'],,,,,,,,
sub_145D52980,['crypt'],,,,,,,,
sub_145D52A60,['crypt'],,,,,,,,
sub_145D52C50,['crypt'],,,,,,,,
sub_145D52CE0,['crypt'],,,,,,,,
sub_145D52D20,['crypt'],,,,,,,,
sub_145D52D70,['crypt'],,,,,,,,
sub_1420A81E0,['crypt'],,,,,,,,
sub_1420A8350,['crypt'],,,,,,,,
sub_1420A8520,['crypt'],,,,,,,,
sub_1420A86E0,['crypt'],,,,,,,,
sub_1420A87B0,['crypt'],,,,,,,,
sub_1420A8840,['crypt'],,,,,,,,
sub_14B6CF200,['crypt'],,,,,,,,
sub_14B6CF3B0,['crypt'],,,,,,,,
sub_14B6CF9B0,['crypt'],,,,,,,,
sub_14B6CFC40,['crypt'],,,,,,,,
sub_14B6CFCD0,['crypt'],,,,,,,,
sub_14B6CFD40,['crypt'],,,,,,,,
sub_140F3A040,['crypt'],,,,,,,,
sub_140F3A330,['crypt'],,,,,,,,
sub_140F3A500,['crypt'],,,,,,,,
sub_140F3A760,['crypt'],,,,,,,,
sub_140F3A8D0,['crypt'],,,,,,,,
sub_140F3AD30,['crypt'],,,,,,,,
sub_140F3AEA0,['crypt'],,,,,,,,
sub_140F3AF50,['crypt'],,,,,,,,
sub_141D09000,['crypt'],,,,,,,,
sub_141D090B0,['crypt'],,,,,,,,
sub_141D091E0,['crypt'],,,,,,,,
sub_141D09500,['crypt'],,,,,,,,
sub_141D09970,['crypt'],,,,,,,,
sub_141D09A90,['crypt'],,,,,,,,
sub_141D09D60,['crypt'],,,,,,,,
sub_141D09E80,['crypt'],,,,,,,,
sub_141D09FE0,['crypt'],,,,,,,,
sub_145CA21A0,['crypt'],,,,,,,,
sub_145CA22C0,['crypt'],,,,,,,,
sub_145CA2430,['crypt'],,,,,,,,
sub_145CA2E50,['crypt'],,,,,,,,
sub_14792FAC0,['crypt'],,,,,,,,
sub_14792FDE0,['crypt'],,,,,,,,
sub_14911E030,['crypt'],,,,,,,,
sub_14911E0F0,['crypt'],,,,,,,,
sub_14911E1A0,['crypt'],,,,,,,,
sub_14991A070,['crypt'],,,,,,,,
sub_14991A450,['crypt'],,,,,,,,
sub_14991AA80,['crypt'],,,,,,,,
sub_1457B7EA0,['crypt'],,,,,,,,
sub_142D521E0,['crypt'],,,,,,,,
sub_142D52380,['crypt'],,,,,,,,
sub_142D52490,['crypt'],,,,,,,,
sub_142D529E0,['crypt'],,,,,,,,
sub_14B50C4D0,['crypt'],,,,,,,,
sub_14B50C850,['crypt'],,,,,,,,
sub_14B50C930,['crypt'],,,,,,,,
sub_14B50CC70,['crypt'],,,,,,,,
sub_144CF3040,['Crypt'],,,,,,,,
sub_144CF3920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_144CF3B70,['Crypt'],,,,,,,,
sub_144CF3ED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14CCB35E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14CCB36B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_14CCB38C0,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_14CCB3F20,['Crypt'],,,,,,,,
sub_140E41120,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140E41520,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140E418A0,['Crypt'],,,,,,,,
sub_140E41BF0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_140E41F70,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_1446CB000,"['crypt', 'Crypt']",,,,,,,,
sub_1446CB2D0,['Crypt'],,,,,,,,
sub_1446CBA80,['crypt'],,,,,,,,
sub_1446CBBB0,['crypt'],,,,,,,,
sub_1446CBC10,['crypt'],,,,,,,,
sub_14C15F050,['crypt'],,,,,,,,
sub_14C15F0D0,['crypt'],,,,,,,,
sub_14C15F180,['crypt'],,,,,,,,
sub_14C15F2F0,['crypt'],,,,,,,,
sub_14C15F410,['crypt'],,,,,,,,
sub_14C15F540,['crypt'],,,,,,,,
sub_14C15F5E0,['crypt'],,,,,,,,
sub_14C15F710,['crypt'],,,,,,,,
sub_14C15F7A0,['crypt'],,,,,,,,
sub_14C15FFD0,['crypt'],,,,,,,,
sub_149738EA0,['crypt'],,,,,,,,
sub_149738F30,['crypt'],,,,,,,,
sub_14F0964B0,['crypt'],,,,,,,,
sub_14F0968F0,['crypt'],,,,,,,,
sub_14F096B30,['crypt'],,,,,,,,
sub_14F096C90,['crypt'],,,,,,,,
sub_14F096E00,['crypt'],,,,,,,,
sub_14F499290,['crypt'],,,,,,,,
sub_14F4994B0,['crypt'],,,,,,,,
sub_14F499570,['crypt'],,,,,,,,
sub_14F499640,['crypt'],,,,,,,,
sub_14F499740,['crypt'],,,,,,,,
sub_14F499980,['crypt'],,,,,,,,
sub_14F499C20,['crypt'],,,,,,,,
sub_14F499D80,['crypt'],,,,,,,,
sub_14F499E50,['crypt'],,,,,,,,
sub_1463CB2B0,['crypt'],,,,,,,,
sub_1463CB710,['crypt'],,,,,,,,
sub_1463CBAE0,['crypt'],,,,,,,,
sub_14CC5E260,['crypt'],,,,,,,,
sub_14CC5E4D0,['crypt'],,,,,,,,
sub_14CC5E690,['crypt'],,,,,,,,
sub_14CC5E980,['crypt'],,,,,,,,
sub_14CC5EB10,['crypt'],,,,,,,,
sub_14CC5EB70,['crypt'],,,,,,,,
sub_14CC5ECA0,['crypt'],,,,,,,,
sub_14CC5EE40,['crypt'],,,,,,,,
sub_14CC5EEC0,['crypt'],,,,,,,,
sub_14EF93140,['crypt'],,,,,,,,
sub_14EF933C0,['crypt'],,,,,,,,
sub_14EF93430,['crypt'],,,,,,,,
sub_14EF93AB0,['crypt'],,,,,,,,
sub_14EF93C70,['crypt'],,,,,,,,
sub_14EF93E60,['crypt'],,,,,,,,
sub_141F7A110,['crypt'],,,,,,,,
sub_141F7AC10,['crypt'],,,,,,,,
sub_141F7AD20,['crypt'],,,,,,,,
sub_14C1B1A00,['crypt'],,,,,,,,
sub_14C1B1ED0,['crypt'],,,,,,,,
sub_1420FE060,['crypt'],,,,,,,,
sub_1420FE440,['crypt'],,,,,,,,
sub_14258F080,['crypt'],,,,,,,,
sub_14258F150,['crypt'],,,,,,,,
sub_14258F580,['crypt'],,,,,,,,
sub_14258F5E0,['crypt'],,,,,,,,
sub_14258FA20,['crypt'],,,,,,,,
sub_14258FC70,['crypt'],,,,,,,,
sub_14258FE80,['crypt'],,,,,,,,
sub_14258FF60,['crypt'],,,,,,,,
sub_14D55B790,['crypt'],,,,,,,,
sub_14D55BDC0,['crypt'],,,,,,,,
sub_14D55BE80,['crypt'],,,,,,,,
sub_143B611A0,['crypt'],,,,,,,,
sub_143B61240,['crypt'],,,,,,,,
sub_143B612D0,['crypt'],,,,,,,,
sub_143B61420,['crypt'],,,,,,,,
sub_143B614A0,['crypt'],,,,,,,,
sub_143B61620,['crypt'],,,,,,,,
sub_143B61C70,['crypt'],,,,,,,,
sub_143B61D70,['crypt'],,,,,,,,
sub_149028B20,['crypt'],,,,,,,,
sub_148ABE1D0,['crypt'],,,,,,,,
sub_148ABE4C0,['crypt'],,,,,,,,
sub_148ABE7E0,['crypt'],,,,,,,,
sub_148ABEA70,['crypt'],,,,,,,,
sub_148ABED90,['crypt'],,,,,,,,
sub_148ABEDE0,['crypt'],,,,,,,,
sub_1476F03B0,['crypt'],,,,,,,,
sub_1476F0790,['crypt'],,,,,,,,
sub_1476F0880,['crypt'],,,,,,,,
sub_1476F0E40,['crypt'],,,,,,,,
sub_1477D2090,['crypt'],,,,,,,,
sub_1477D2450,['crypt'],,,,,,,,
sub_1477D2570,['crypt'],,,,,,,,
sub_1477D25D0,['crypt'],,,,,,,,
sub_1477D2720,['crypt'],,,,,,,,
sub_1477D2780,['crypt'],,,,,,,,
sub_1477D2B90,['crypt'],,,,,,,,
sub_1477D2EB0,['crypt'],,,,,,,,
sub_1460D5020,['crypt'],,,,,,,,
sub_1460D5160,['crypt'],,,,,,,,
sub_1460D52D0,['crypt'],,,,,,,,
sub_1460D5430,['crypt'],,,,,,,,
sub_1460D5640,['crypt'],,,,,,,,
sub_1460D5B30,['crypt'],,,,,,,,
sub_1460D5CF0,['crypt'],,,,,,,,
sub_1460D5FA0,['crypt'],,,,,,,,
sub_14EDF0460,['crypt'],,,,,,,,
sub_14EDF0550,['crypt'],,,,,,,,
sub_14EDF0880,['crypt'],,,,,,,,
sub_14EDF0A00,['crypt'],,,,,,,,
sub_14EDF0B60,['crypt'],,,,,,,,
sub_14EDF0D30,['crypt'],,,,,,,,
sub_14E3F2290,['crypt'],,,,,,,,
sub_14E3F23B0,['crypt'],,,,,,,,
sub_14E3F2560,['crypt'],,,,,,,,
sub_14E3F2650,['crypt'],,,,,,,,
sub_14E3F2AF0,['crypt'],,,,,,,,
sub_14E3F2BE0,['crypt'],,,,,,,,
sub_14E3F2EE0,['crypt'],,,,,,,,
sub_14C6F8130,['crypt'],,,,,,,,
sub_14C6F8890,['crypt'],,,,,,,,
sub_14C6F8A90,['crypt'],,,,,,,,
sub_14C6F8B90,['crypt'],,,,,,,,
sub_14C6F8F00,['crypt'],,,,,,,,
sub_144B25000,['crypt'],,,,,,,,
sub_144B25090,['crypt'],,,,,,,,
sub_144B25150,['crypt'],,,,,,,,
sub_144B255A0,['crypt'],,,,,,,,
sub_144B25920,['crypt'],,,,,,,,
sub_144B25990,['crypt'],,,,,,,,
sub_14B2B0360,['crypt'],,,,,,,,
sub_14B2B0650,['crypt'],,,,,,,,
sub_14B2B0940,['crypt'],,,,,,,,
sub_14B2B09C0,['crypt'],,,,,,,,
sub_14B2B0C70,['crypt'],,,,,,,,
sub_14B2B0D40,['crypt'],,,,,,,,
sub_14B2B0F50,['crypt'],,,,,,,,
sub_14BDB9020,['crypt'],,,,,,,,
sub_14BDB91A0,['crypt'],,,,,,,,
sub_14BDB92A0,['crypt'],,,,,,,,
sub_14BDB95C0,['crypt'],,,,,,,,
sub_14BDB9980,['crypt'],,,,,,,,
sub_14BDB9CB0,['crypt'],,,,,,,,
sub_140F4B770,['crypt'],,,,,,,,
sub_140F4B960,['crypt'],,,,,,,,
sub_14D7D40F0,['crypt'],,,,,,,,
sub_14D7D4380,['crypt'],,,,,,,,
sub_14D7D4740,['crypt'],,,,,,,,
sub_14D7D4AA0,['crypt'],,,,,,,,
sub_14D7D4C80,['crypt'],,,,,,,,
sub_147457110,['crypt'],,,,,,,,
sub_1474577F0,['crypt'],,,,,,,,
sub_147457A20,['crypt'],,,,,,,,
sub_147457D00,['crypt'],,,,,,,,
sub_147A05150,['crypt'],,,,,,,,
sub_147A05490,['crypt'],,,,,,,,
sub_147A055F0,['crypt'],,,,,,,,
sub_147A05DF0,['crypt'],,,,,,,,
sub_147A05FC0,['crypt'],,,,,,,,
sub_148A0B8C0,['crypt'],,,,,,,,
sub_147FD5610,['crypt'],,,,,,,,
sub_142431B20,['crypt'],,,,,,,,
sub_142431F80,['crypt'],,,,,,,,
sub_14D9732C0,['crypt'],,,,,,,,
sub_14D973B50,['crypt'],,,,,,,,
sub_146F17AC0,['crypt'],,,,,,,,
sub_1485A7D80,['crypt'],,,,,,,,
sub_1485A7E10,['crypt'],,,,,,,,
sub_1485A7EE0,['crypt'],,,,,,,,
sub_1485A7FA0,['crypt'],,,,,,,,
sub_14F4BA010,['crypt'],,,,,,,,
sub_14F4BA0C0,['crypt'],,,,,,,,
sub_14F4BA110,['crypt'],,,,,,,,
sub_14F4BA1B0,['crypt'],,,,,,,,
sub_1408BCAD0,['crypt'],,,,,,,,
sub_14DCFF380,['crypt'],,,,,,,,
sub_14DCFF710,['crypt'],,,,,,,,
