crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4015A8,['Crypt'],sub_406CE6,['WriteFile'],sub_40D93C,"['FindFirstFile', 'FindNextFile']",sub_402581,['CreateFile'],sub_408EEC,['Snapshot']
sub_400C0B,['Crypt'],,,,,sub_40D662,['CreateFile'],,
sub_4014ED,['Crypt'],,,,,sub_40B07D,['ReadFile'],,
sub_40046C,['Crypt'],,,,,,,,
sub_405D3B,['Crypt'],,,,,,,,
sub_4082D6,['Crypt'],,,,,,,,
sub_403CCB,['Crypt'],,,,,,,,
sub_4004AB,['Crypt'],,,,,,,,
sub_40610B,['Crypt'],,,,,,,,
sub_40CEA6,['Crypt'],,,,,,,,
sub_405D79,['Crypt'],,,,,,,,
sub_404928,['Crypt'],,,,,,,,
sub_40C270,['Crypt'],,,,,,,,
sub_40E2B8,['Crypt'],,,,,,,,
sub_40A409,['Crypt'],,,,,,,,
sub_40D021,['Crypt'],,,,,,,,
sub_4060E5,['Crypt'],,,,,,,,
sub_40F59C,['Crypt'],,,,,,,,
sub_405B7D,['Crypt'],,,,,,,,
sub_40210B,['Crypt'],,,,,,,,
sub_40A53C,['Crypt'],,,,,,,,
sub_40EFC8,['Crypt'],,,,,,,,
sub_404054,['Crypt'],,,,,,,,
sub_408730,['Crypt'],,,,,,,,
sub_406D88,['Crypt'],,,,,,,,
sub_405BB7,['Crypt'],,,,,,,,
sub_406DA0,['Crypt'],,,,,,,,
sub_403E28,['Crypt'],,,,,,,,
sub_40267D,['Crypt'],,,,,,,,
sub_40EC04,['Crypt'],,,,,,,,
sub_4040D0,['Crypt'],,,,,,,,
sub_402E7E,['Crypt'],,,,,,,,
sub_40760E,['Crypt'],,,,,,,,
sub_406560,['Crypt'],,,,,,,,
sub_4031A3,['Crypt'],,,,,,,,
sub_406409,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_404E18,['Crypt'],,,,,,,,
sub_402D32,['Crypt'],,,,,,,,
sub_4039F4,['Crypt'],,,,,,,,
sub_40102F,['Crypt'],,,,,,,,
sub_40932C,['Crypt'],,,,,,,,
sub_40CF72,['Crypt'],,,,,,,,
sub_40623C,['Crypt'],,,,,,,,
sub_406F3F,['Crypt'],,,,,,,,
sub_402A2E,['Crypt'],,,,,,,,
sub_400C87,['Crypt'],,,,,,,,
sub_407EE8,['Crypt'],,,,,,,,
sub_407453,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40D5C0,['Crypt'],,,,,,,,
sub_402E69,['Crypt'],,,,,,,,
sub_402E55,['Crypt'],,,,,,,,
sub_40933A,['Crypt'],,,,,,,,
sub_402EAD,['Crypt'],,,,,,,,
sub_40A615,['Crypt'],,,,,,,,
sub_408034,['Crypt'],,,,,,,,
sub_401947,['Crypt'],,,,,,,,
sub_40EFF8,['Crypt'],,,,,,,,
sub_4024C8,['Crypt'],,,,,,,,
sub_407C3F,['Crypt'],,,,,,,,
sub_40BBCD,['Crypt'],,,,,,,,
sub_407AD6,['Crypt'],,,,,,,,
sub_406E78,['Crypt'],,,,,,,,
sub_40A1E3,['Crypt'],,,,,,,,
sub_40FD82,['Crypt'],,,,,,,,
sub_400925,['Crypt'],,,,,,,,
sub_409987,['Crypt'],,,,,,,,
sub_40761D,['Crypt'],,,,,,,,
