crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401936,['Crypt'],sub_40205D,['WriteFile'],sub_40D9B4,"['FindFirstFile', 'FindNextFile']",sub_4031C5,['CreateFile'],sub_40B577,['Snapshot']
sub_4082BA,['Crypt'],,,,,sub_40B8B1,['CreateFile'],,
sub_4085B2,['Crypt'],,,,,sub_40FE5B,['ReadFile'],,
sub_40FDA0,['Crypt'],,,,,,,,
sub_4006B6,['Crypt'],,,,,,,,
sub_40F0BD,['Crypt'],,,,,,,,
sub_4068B9,['Crypt'],,,,,,,,
sub_408E69,['Crypt'],,,,,,,,
sub_40F99A,['Crypt'],,,,,,,,
sub_408BB7,['Crypt'],,,,,,,,
sub_405E7B,['Crypt'],,,,,,,,
sub_400019,['Crypt'],,,,,,,,
sub_40B77A,['Crypt'],,,,,,,,
sub_40AA00,['Crypt'],,,,,,,,
sub_40F5A7,['Crypt'],,,,,,,,
sub_4098E9,['Crypt'],,,,,,,,
sub_4057DD,['Crypt'],,,,,,,,
sub_40E901,['Crypt'],,,,,,,,
sub_40DA47,['Crypt'],,,,,,,,
sub_40C295,['Crypt'],,,,,,,,
sub_407922,['Crypt'],,,,,,,,
sub_40D4E4,['Crypt'],,,,,,,,
sub_40937A,['Crypt'],,,,,,,,
sub_40FA90,['Crypt'],,,,,,,,
sub_403A44,['Crypt'],,,,,,,,
sub_40379A,['Crypt'],,,,,,,,
sub_40089E,['Crypt'],,,,,,,,
sub_40CFF1,['Crypt'],,,,,,,,
sub_406710,['Crypt'],,,,,,,,
sub_4025E8,['Crypt'],,,,,,,,
sub_408701,['Crypt'],,,,,,,,
sub_40B6C3,['Crypt'],,,,,,,,
sub_400BD5,['Crypt'],,,,,,,,
sub_4076D7,['Crypt'],,,,,,,,
sub_400562,['Crypt'],,,,,,,,
sub_4022EA,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_409533,['Crypt'],,,,,,,,
sub_4032C1,['Crypt'],,,,,,,,
sub_408F35,['Crypt'],,,,,,,,
sub_40FD5E,['Crypt'],,,,,,,,
sub_409C09,['Crypt'],,,,,,,,
sub_40454C,['Crypt'],,,,,,,,
sub_404F5A,['Crypt'],,,,,,,,
sub_40671D,['Crypt'],,,,,,,,
sub_403109,['Crypt'],,,,,,,,
sub_40CFD2,['Crypt'],,,,,,,,
sub_4004A2,['Crypt'],,,,,,,,
sub_40EE18,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_404E44,['Crypt'],,,,,,,,
sub_40F63A,['Crypt'],,,,,,,,
sub_407726,['Crypt'],,,,,,,,
sub_404CB1,['Crypt'],,,,,,,,
sub_40D5DE,['Crypt'],,,,,,,,
sub_4034BF,['Crypt'],,,,,,,,
sub_40F38B,['Crypt'],,,,,,,,
sub_40347C,['Crypt'],,,,,,,,
sub_408E6A,['Crypt'],,,,,,,,
sub_401443,['Crypt'],,,,,,,,
sub_40B58E,['Crypt'],,,,,,,,
sub_404FD0,['Crypt'],,,,,,,,
sub_400D48,['Crypt'],,,,,,,,
sub_402D63,['Crypt'],,,,,,,,
sub_401DC4,['Crypt'],,,,,,,,
sub_40C554,['Crypt'],,,,,,,,
sub_402528,['Crypt'],,,,,,,,
sub_401BCA,['Crypt'],,,,,,,,
sub_40C45F,['Crypt'],,,,,,,,
sub_40BFC2,['Crypt'],,,,,,,,
sub_405ED3,['Crypt'],,,,,,,,
sub_406A73,['Crypt'],,,,,,,,
sub_401718,['Crypt'],,,,,,,,
sub_409113,['Crypt'],,,,,,,,
sub_40A33B,['Crypt'],,,,,,,,
sub_406304,['Crypt'],,,,,,,,
sub_406FFD,['Crypt'],,,,,,,,
sub_402A84,['Crypt'],,,,,,,,
sub_40651C,['Crypt'],,,,,,,,
sub_4092CB,['Crypt'],,,,,,,,
sub_405AC6,['Crypt'],,,,,,,,
sub_405412,['Crypt'],,,,,,,,
sub_40EDA5,['Crypt'],,,,,,,,
sub_40944A,['Crypt'],,,,,,,,
sub_4036AE,['Crypt'],,,,,,,,
sub_401568,['Crypt'],,,,,,,,
sub_4011CC,['Crypt'],,,,,,,,
sub_4097FD,"['crypt', 'Crypt']",,,,,,,,
sub_402E09,['Crypt'],,,,,,,,
sub_40C50E,['Crypt'],,,,,,,,
sub_40CDC8,['Crypt'],,,,,,,,
sub_406C63,['Crypt'],,,,,,,,
sub_405E37,['Crypt'],,,,,,,,
sub_40AA8D,['Crypt'],,,,,,,,
sub_4082BA,['Crypt'],,,,,,,,
sub_403EBB,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_404E3B,['Crypt'],,,,,,,,
sub_400DA9,['Crypt'],,,,,,,,
sub_406FED,['Crypt'],,,,,,,,
sub_4091FA,['Crypt'],,,,,,,,
sub_40D51A,['Crypt'],,,,,,,,
sub_402F36,['Crypt'],,,,,,,,
sub_40F57A,['Crypt'],,,,,,,,
sub_40DE60,['Crypt'],,,,,,,,
sub_400012,['Crypt'],,,,,,,,
sub_40212B,['Crypt'],,,,,,,,
sub_400CCA,['Crypt'],,,,,,,,
sub_405EDA,['Crypt'],,,,,,,,
sub_40BEC7,['Crypt'],,,,,,,,
