crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40AAFB,['crypt'],sub_4193E5,['WriteFile'],sub_402D86,"['FindFirstFile', 'FindNextFile']",,,sub_40AAFB,['encrypted']
sub_4083B0,['crypt'],,,,,,,sub_4C2409,['Snapshot']
sub_40703D,['crypt'],,,,,,,,
sub_405514,['crypt'],,,,,,,,
sub_40AB05,['crypt'],,,,,,,,
sub_40F3FC,['crypt'],,,,,,,,
sub_4090A5,['crypt'],,,,,,,,
sub_4085E6,['crypt'],,,,,,,,
sub_406100,['crypt'],,,,,,,,
sub_40630F,['crypt'],,,,,,,,
sub_40B76E,['crypt'],,,,,,,,
sub_40F541,['crypt'],,,,,,,,
sub_40BAD9,['crypt'],,,,,,,,
sub_40AD22,['crypt'],,,,,,,,
sub_40C455,['crypt'],,,,,,,,
sub_401A17,['crypt'],,,,,,,,
sub_404E33,['crypt'],,,,,,,,
sub_40F91B,['crypt'],,,,,,,,
sub_40A520,['crypt'],,,,,,,,
sub_408F04,['crypt'],,,,,,,,
sub_40C8DE,['crypt'],,,,,,,,
sub_408784,['crypt'],,,,,,,,
sub_40E68F,['crypt'],,,,,,,,
sub_40B98B,['crypt'],,,,,,,,
sub_403093,['crypt'],,,,,,,,
sub_412A95,['crypt'],,,,,,,,
sub_417251,['crypt'],,,,,,,,
sub_414189,['crypt'],,,,,,,,
sub_41E05A,['crypt'],,,,,,,,
sub_411D34,['crypt'],,,,,,,,
sub_41F4FC,['crypt'],,,,,,,,
sub_41659F,['crypt'],,,,,,,,
sub_41B607,['crypt'],,,,,,,,
sub_41D12C,['crypt'],,,,,,,,
sub_41BC5E,['crypt'],,,,,,,,
sub_41DD73,['crypt'],,,,,,,,
sub_41ADB5,['crypt'],,,,,,,,
sub_414182,['crypt'],,,,,,,,
sub_416ADE,['crypt'],,,,,,,,
sub_41C269,['crypt'],,,,,,,,
sub_4129F2,['crypt'],,,,,,,,
sub_411F28,['crypt'],,,,,,,,
sub_41785F,['crypt'],,,,,,,,
sub_41ECB0,['crypt'],,,,,,,,
sub_417C3D,['crypt'],,,,,,,,
sub_417535,['crypt'],,,,,,,,
sub_415760,['crypt'],,,,,,,,
sub_41ACFC,['crypt'],,,,,,,,
sub_4152A0,['crypt'],,,,,,,,
sub_416828,['crypt'],,,,,,,,
sub_41D774,['crypt'],,,,,,,,
sub_41754F,['crypt'],,,,,,,,
sub_417C38,['crypt'],,,,,,,,
sub_41F66B,['crypt'],,,,,,,,
sub_415584,['crypt'],,,,,,,,
sub_41A19A,['crypt'],,,,,,,,
sub_41AB94,['crypt'],,,,,,,,
sub_411C14,['crypt'],,,,,,,,
sub_41CE6B,['crypt'],,,,,,,,
sub_41747E,['crypt'],,,,,,,,
sub_415A5A,['crypt'],,,,,,,,
sub_41BE22,['crypt'],,,,,,,,
sub_41B49C,['crypt'],,,,,,,,
sub_416AF8,['crypt'],,,,,,,,
sub_4159DD,['crypt'],,,,,,,,
sub_412189,['crypt'],,,,,,,,
sub_418D44,['crypt'],,,,,,,,
sub_41A520,['crypt'],,,,,,,,
sub_414713,['crypt'],,,,,,,,
sub_4182D5,['crypt'],,,,,,,,
sub_41422B,['crypt'],,,,,,,,
sub_41BB47,['crypt'],,,,,,,,
sub_41373C,['crypt'],,,,,,,,
sub_4179A8,['crypt'],,,,,,,,
sub_418E5E,['crypt'],,,,,,,,
sub_41C349,['crypt'],,,,,,,,
sub_4184BB,['crypt'],,,,,,,,
sub_41D6E9,['crypt'],,,,,,,,
sub_415456,['crypt'],,,,,,,,
sub_41AE2A,['crypt'],,,,,,,,
sub_4170CF,['crypt'],,,,,,,,
sub_4104B1,['crypt'],,,,,,,,
sub_419A66,['crypt'],,,,,,,,
sub_418067,['crypt'],,,,,,,,
sub_41F1AA,['crypt'],,,,,,,,
sub_419E27,['crypt'],,,,,,,,
sub_41AAC6,['crypt'],,,,,,,,
sub_4114AB,['crypt'],,,,,,,,
sub_41439E,['crypt'],,,,,,,,
sub_4147D5,['crypt'],,,,,,,,
sub_41CDAE,['crypt'],,,,,,,,
sub_416DCE,['crypt'],,,,,,,,
sub_414742,['crypt'],,,,,,,,
sub_41C1CE,['crypt'],,,,,,,,
sub_4159A4,['crypt'],,,,,,,,
sub_41057B,['crypt'],,,,,,,,
sub_413347,['crypt'],,,,,,,,
sub_412EF5,['crypt'],,,,,,,,
sub_423B41,['crypt'],,,,,,,,
sub_42B6BC,['crypt'],,,,,,,,
sub_421BD4,['crypt'],,,,,,,,
sub_424E1B,['crypt'],,,,,,,,
sub_420C9C,['crypt'],,,,,,,,
sub_42A25B,['crypt'],,,,,,,,
sub_424CA6,['crypt'],,,,,,,,
sub_421F74,['crypt'],,,,,,,,
sub_42A7B2,['crypt'],,,,,,,,
sub_420CE8,['crypt'],,,,,,,,
sub_42CFFC,['crypt'],,,,,,,,
sub_42E8B7,['crypt'],,,,,,,,
sub_420C43,['crypt'],,,,,,,,
sub_42A94B,['crypt'],,,,,,,,
sub_42744B,['crypt'],,,,,,,,
sub_42CEE2,['crypt'],,,,,,,,
sub_42C8C3,['crypt'],,,,,,,,
sub_42E4FB,['crypt'],,,,,,,,
sub_42A42A,['crypt'],,,,,,,,
sub_422C1F,['crypt'],,,,,,,,
sub_4296B2,['crypt'],,,,,,,,
sub_428E83,['crypt'],,,,,,,,
