crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_405DBE,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_40A8B9,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_40392D,['RijnDael_AES_LONG'],sub_401DBD,['WriteFile'],sub_401DBD,"['FindFirstFile', 'FindNextFile']",sub_40A8B9,['CreateFile'],,
Function,['crypt'],,,,,sub_401DBD,['CreateFile'],,
sub_40C26E,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_4093B2,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_405FBE,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_406241,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_402825,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_404D22,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
