crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_405AD9,"['Crypt', 'CryptAcquireContext']",sub_40068C,['WriteFile'],sub_4075BF,"['FindFirstFile', 'FindNextFile']",sub_405F2E,['CreateFile'],sub_404B6B,['Snapshot']
sub_409FF6,"['CryptGenRandom', 'crypt', 'Crypt']",sub_409FF6,"['MoveFile', 'WriteFile']",sub_40C835,"['FindFirstFile', 'FindNextFile']",sub_409FF6,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_4075BF,['WriteFile'],,,sub_4075BF,['CreateFile'],,
sub_400586,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_4068EC,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_41D2A7,"Function sub_41D2A7 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_4149C0,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_406642,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_417498,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_406AEE,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
