crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4DF2A5,['RijnDael_AES_LONG'],sub_407748,['WriteFile'],sub_404153,['FindFirstFile'],sub_42AABD,['CreateFile'],,
sub_4DEB64,['RijnDael_AES_inv_LONG'],sub_40A40B,['WriteFile'],sub_40F745,['FindFirstFile'],sub_42BB33,['CreateFile'],,
sub_4DC92D,['crypt'],sub_42072C,['WriteFile'],sub_4D028F,['FindFirstFile'],sub_42E69A,['ReadFile'],,
sub_40753B,['crypt'],sub_42978B,['WriteFile'],sub_4D78F3,['FindFirstFile'],sub_4D526F,['CreateFile'],,
sub_4DE155,['crypt'],sub_4DE155,['WriteFile'],sub_4EC5AD,['FindFirstFile'],sub_4D2DE5,"['CreateFile', 'ReadFile']",,
sub_4D8734,['crypt'],sub_4D8734,['WriteFile'],sub_4E96FF,['FindNextFile'],sub_40753B,"['CreateFile', 'ReadFile']",,
sub_4D1E03,['crypt'],sub_4E7FF6,['WriteFile'],,,sub_4DE155,['CreateFile'],,
sub_4E96FF,['crypt'],sub_4E367B,['WriteFile'],,,sub_4D8734,['CreateFile'],,
sub_4DFFD5,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4EAB62,"['MoveFile', 'DeleteFile']",,,sub_4EE183,['CreateFile'],,
sub_4D07EA,Function performing Base64 encoding on input data.,,,,,sub_4E7FF6,['ReadFile'],,
,,,,,,sub_4E367B,['CreateFile'],,
,,,,,,sub_4EF4C8,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4EF7CB,['CreateFile'],,
