crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40628D,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_4042E9,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_40CE96,['RijnDael_AES_LONG'],sub_40817F,['WriteFile'],sub_40817F,"['FindFirstFile', 'FindNextFile']",sub_4042E9,['CreateFile'],,
Function,['crypt'],,,,,sub_40817F,['CreateFile'],,
sub_4062E8,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_40266F,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_40C874,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_405D72,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_402DAA,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_406C47,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
