crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404819,['Crypt'],,,sub_404EA3,"['FindFirstFile', 'FindNextFile']",,,sub_40AFA6,['Snapshot']
sub_40C010,['Crypt'],,,sub_40855C,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_4003F7,['Crypt'],,,sub_406FDB,"['FindFirstFile', 'FindNextFile']",,,sub_45F594,['encrypted']
sub_40BFDB,['Crypt'],,,sub_404050,"['FindFirstFile', 'FindNextFile']",,,,
sub_40BBA8,['Crypt'],,,sub_403DBF,"['FindFirstFile', 'FindNextFile']",,,,
sub_402811,['Crypt'],,,sub_4067D5,"['FindFirstFile', 'FindNextFile']",,,,
sub_400604,['Crypt'],,,sub_40EAE4,"['FindFirstFile', 'FindNextFile']",,,,
sub_404DE5,['Crypt'],,,sub_417613,"['FindFirstFile', 'FindNextFile']",,,,
sub_40710F,['Crypt'],,,sub_415E95,"['FindFirstFile', 'FindNextFile']",,,,
sub_402102,['Crypt'],,,sub_4147D2,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D608,['Crypt'],,,,,,,,
sub_40DABF,['Crypt'],,,,,,,,
sub_407ED7,['Crypt'],,,,,,,,
sub_409ADC,['Crypt'],,,,,,,,
sub_40404A,['Crypt'],,,,,,,,
sub_405B06,['Crypt'],,,,,,,,
sub_409C96,['Crypt'],,,,,,,,
sub_401C54,['Crypt'],,,,,,,,
sub_408123,['Crypt'],,,,,,,,
sub_401A61,['Crypt'],,,,,,,,
sub_40B096,['Crypt'],,,,,,,,
sub_4096A3,['Crypt'],,,,,,,,
sub_406AB1,['Crypt'],,,,,,,,
sub_4001A8,['Crypt'],,,,,,,,
sub_4029FE,['Crypt'],,,,,,,,
sub_4058B1,['Crypt'],,,,,,,,
sub_400311,['Crypt'],,,,,,,,
sub_4080CB,['Crypt'],,,,,,,,
sub_40989E,['Crypt'],,,,,,,,
sub_402261,['Crypt'],,,,,,,,
sub_40A76A,['Crypt'],,,,,,,,
sub_40CDA0,['Crypt'],,,,,,,,
sub_406C17,['Crypt'],,,,,,,,
sub_409762,['Crypt'],,,,,,,,
sub_406D36,['Crypt'],,,,,,,,
sub_40A6AB,['Crypt'],,,,,,,,
sub_4054EE,['Crypt'],,,,,,,,
sub_40AFEA,['Crypt'],,,,,,,,
sub_40E869,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4046C8,['Crypt'],,,,,,,,
sub_40D238,['Crypt'],,,,,,,,
sub_40654E,['Crypt'],,,,,,,,
sub_40FE90,['Crypt'],,,,,,,,
sub_40D53C,['Crypt'],,,,,,,,
sub_4097E8,['Crypt'],,,,,,,,
sub_40078F,['Crypt'],,,,,,,,
sub_40BFB2,['Crypt'],,,,,,,,
sub_408626,['Crypt'],,,,,,,,
sub_40F85A,['Crypt'],,,,,,,,
sub_40F355,['Crypt'],,,,,,,,
sub_402615,['Crypt'],,,,,,,,
sub_40ADB2,['Crypt'],,,,,,,,
sub_406200,['Crypt'],,,,,,,,
sub_4034E7,['Crypt'],,,,,,,,
sub_408C10,['Crypt'],,,,,,,,
sub_40F1B6,['Crypt'],,,,,,,,
sub_40FCA0,['Crypt'],,,,,,,,
sub_4061E4,['Crypt'],,,,,,,,
sub_40FEC3,['Crypt'],,,,,,,,
sub_4054BF,['Crypt'],,,,,,,,
sub_40F603,['Crypt'],,,,,,,,
sub_40A204,['Crypt'],,,,,,,,
sub_40B117,['Crypt'],,,,,,,,
sub_403F21,['Crypt'],,,,,,,,
sub_4009B3,['Crypt'],,,,,,,,
sub_40B0FF,['Crypt'],,,,,,,,
sub_40C273,['Crypt'],,,,,,,,
sub_402400,['Crypt'],,,,,,,,
sub_4094E4,['Crypt'],,,,,,,,
sub_404EA3,['crypt'],,,,,,,,
sub_417613,['crypt'],,,,,,,,
sub_415E95,['crypt'],,,,,,,,
sub_41A38A,['Crypt'],,,,,,,,
