crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40592F,['crypt'],sub_41D5B6,['WriteFile'],sub_403C62,"['FindFirstFile', 'FindNextFile']",,,sub_40592F,['encrypted']
sub_40891E,['crypt'],,,,,,,sub_4CC5E3,['Snapshot']
sub_404999,['crypt'],,,,,,,,
sub_4054A7,['crypt'],,,,,,,,
sub_409E22,['crypt'],,,,,,,,
sub_407E93,['crypt'],,,,,,,,
sub_4043B8,['crypt'],,,,,,,,
sub_40EE05,['crypt'],,,,,,,,
sub_40E72B,['crypt'],,,,,,,,
sub_40C6EF,['crypt'],,,,,,,,
sub_4051B5,['crypt'],,,,,,,,
sub_406A0D,['crypt'],,,,,,,,
sub_40C3CD,['crypt'],,,,,,,,
sub_400E23,['crypt'],,,,,,,,
sub_401913,['crypt'],,,,,,,,
sub_403A57,['crypt'],,,,,,,,
sub_409782,['crypt'],,,,,,,,
sub_40F413,['crypt'],,,,,,,,
sub_4080CB,['crypt'],,,,,,,,
sub_407C4A,['crypt'],,,,,,,,
sub_405949,['crypt'],,,,,,,,
sub_40F7EB,['crypt'],,,,,,,,
sub_4094C2,['crypt'],,,,,,,,
sub_40BA94,['crypt'],,,,,,,,
sub_40697C,['crypt'],,,,,,,,
sub_414810,['crypt'],,,,,,,,
sub_41A0AE,['crypt'],,,,,,,,
sub_41B148,['crypt'],,,,,,,,
sub_412A9D,['crypt'],,,,,,,,
sub_41F3AC,['crypt'],,,,,,,,
sub_4172E6,['crypt'],,,,,,,,
sub_419C35,['crypt'],,,,,,,,
sub_418311,['crypt'],,,,,,,,
sub_415460,['crypt'],,,,,,,,
sub_4150B8,['crypt'],,,,,,,,
sub_41231F,['crypt'],,,,,,,,
sub_411E5A,['crypt'],,,,,,,,
sub_417D4E,['crypt'],,,,,,,,
sub_41C9F3,['crypt'],,,,,,,,
sub_41ED99,['crypt'],,,,,,,,
sub_41171D,['crypt'],,,,,,,,
sub_418AA6,['crypt'],,,,,,,,
sub_412492,['crypt'],,,,,,,,
sub_411A5E,['crypt'],,,,,,,,
sub_419924,['crypt'],,,,,,,,
sub_41F69E,['crypt'],,,,,,,,
sub_41C3FB,['crypt'],,,,,,,,
sub_41AA8A,['crypt'],,,,,,,,
sub_415A20,['crypt'],,,,,,,,
sub_416667,['crypt'],,,,,,,,
sub_4131C0,['crypt'],,,,,,,,
sub_4106A7,['crypt'],,,,,,,,
sub_4188FC,['crypt'],,,,,,,,
sub_4180FD,['crypt'],,,,,,,,
sub_41A93E,['crypt'],,,,,,,,
sub_41C0C9,['crypt'],,,,,,,,
sub_41111A,['crypt'],,,,,,,,
sub_412EE5,['crypt'],,,,,,,,
sub_41DBF7,['crypt'],,,,,,,,
sub_41D83C,['crypt'],,,,,,,,
sub_41DD2A,['crypt'],,,,,,,,
sub_41B70B,['crypt'],,,,,,,,
sub_417327,['crypt'],,,,,,,,
sub_419408,['crypt'],,,,,,,,
sub_4114B1,['crypt'],,,,,,,,
sub_412E40,['crypt'],,,,,,,,
sub_41B51E,['crypt'],,,,,,,,
sub_41105E,['crypt'],,,,,,,,
sub_41D195,['crypt'],,,,,,,,
sub_417815,['crypt'],,,,,,,,
sub_417C10,['crypt'],,,,,,,,
sub_412E9D,['crypt'],,,,,,,,
sub_4187EC,['crypt'],,,,,,,,
sub_41EA87,['crypt'],,,,,,,,
sub_411693,['crypt'],,,,,,,,
sub_41E501,['crypt'],,,,,,,,
sub_41683B,['crypt'],,,,,,,,
sub_418EA5,['crypt'],,,,,,,,
sub_4128BB,['crypt'],,,,,,,,
sub_41DA2C,['crypt'],,,,,,,,
sub_414D08,['crypt'],,,,,,,,
sub_41FC21,['crypt'],,,,,,,,
sub_4113AC,['crypt'],,,,,,,,
sub_41FD32,['crypt'],,,,,,,,
sub_414A29,['crypt'],,,,,,,,
sub_41594A,['crypt'],,,,,,,,
sub_410762,['crypt'],,,,,,,,
sub_41F612,['crypt'],,,,,,,,
sub_41EC8B,['crypt'],,,,,,,,
sub_41CA03,['crypt'],,,,,,,,
sub_4114CD,['crypt'],,,,,,,,
sub_411BF4,['crypt'],,,,,,,,
sub_41A53C,['crypt'],,,,,,,,
sub_4115A4,['crypt'],,,,,,,,
sub_410050,['crypt'],,,,,,,,
