Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Ground_truth,Name,Predicted
100,0,100,0,FALSE,0,9e784ba34d9b50d98be783a255c397575f3f5a752174101af6e90e78d7758e71,1
34,24,0,10,FALSE,0,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,0
1,1,0,0,TRUE,0,05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2,0
100,0,100,0,FALSE,0,067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,1
100,0,100,0,FALSE,0,06b323e0b626dc4f051596a39f52c46b35f88ea6f85a56de0fd76ec73c7f3851,1
100,0,100,0,FALSE,0,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,1
16,12,0,4,TRUE,0,0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,0
100,0,100,0,FALSE,0,0cf5c4b3399d094fa0c58399fac521e4b2902db7ae1692aa502f5784ac755d49,1
100,0,100,0,FALSE,0,0e66029132a885143b87b1e49e32663a52737bbff4ab96186e9e5e829aa2915f,1
3,3,0,0,TRUE,0,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,0
100,0,100,0,FALSE,0,12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,1
3,2,0,1,TRUE,0,1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,0
100,0,100,0,FALSE,0,22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,1
34,24,0,10,FALSE,0,26690dae115f47a1e0167750209a30cc68f51c5090e3b908105c93967e5156fa,0
100,0,100,0,FALSE,0,2b9838da7edb0decd32b086e47a31e8f5733b5981ad8247a2f9508e232589bff,1
100,0,100,0,FALSE,0,2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,1
100,0,100,0,FALSE,0,31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,1
100,0,100,0,FALSE,0,37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,1
14,10,1,3,TRUE,0,38e05d599877bf18855ad4d178bcd76718cfad1505328d0444363d1f592b0838,0
14,9,0,5,TRUE,0,3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,0
48,35,0,13,TRUE,0,4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,0
5,2,0,3,TRUE,0,41302ba84885fcc5960d4e474d71f6af7c2a631c24d691179ff0a733eb1a4970,0
41,21,2,18,TRUE,0,41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,0
24,13,1,10,TRUE,0,416235b085b6b86640cac3a78f0bd52583eed7154fc3666f5338bde96db10fab,0
23,18,0,5,TRUE,0,422e0e4e01c826c8a9f31cb3a3b37ba29fb4b4b8c4841e16194258435056d8a3,0
1,1,0,0,TRUE,0,435781ab608ff908123d9f4758132fa45d459956755d27027a52b8c9e61f9589,0
